verdict	id	region	name	city	url	action	evidence	source_url
CONFIRMED	3	CO	Gracie Jiu-Jitsu Aurora	Aurora	https://www.graciebjjcolorado.com/	SET_OVERRIDE	601 Salida Way Suite B6 Aurora CO 80011; (720) 436-7093; Gracie Jiu Jitsu Aurora named on page	https://www.graciebjjcolorado.com/
CONFIRMED	11	CO	719 Fight Team MMA	Colorado Springs	https://www.facebook.com/719FightTeamMma/	SET_OVERRIDE	2551 Airport Rd #110 Colorado Springs CO 80909; bio lists MMA BJJ Greco Muay Thai; 1.9K followers	https://www.facebook.com/719FightTeamMma/
DEAD	19	CO	Guetho BJJ Denver	Englewood		KEEP_BLANK	guetho.com is a Hostinger parked-domain lander; guethobjjdenver.com and engelwoodbjj.com both fail to resolve in browser	https://guetho.com/
CONFIRMED	29	CO	Kingsnake Jiu-Jitsu	Loveland	https://www.facebook.com/p/Kingsnake-Jiu-Jitsu-100068959263196/	SET_OVERRIDE	1343 S. Garfield Ave Loveland CO 80537; bio: Brazilian Jiu-Jitsu dojo focused on self-defense	https://www.facebook.com/p/Kingsnake-Jiu-Jitsu-100068959263196/
CONFIRMED	30	CO	Ground Zero Roaring Fork Valley BJJ	New Castle	https://ground-zero-roaring-fork.square.site/	SET_OVERRIDE	413 9th Street Glenwood Springs underneath the YouthZone building; named BJJ kids/adult classes	https://ground-zero-roaring-fork.square.site/
CONFIRMED	31	CO	Rocky Mountain Jiu Jitsu	Northglenn	https://www.instagram.com/rockymountainjj/	SET_OVERRIDE	IG bio: 425 west 115th ave suite 4, Northglenn, Colorado 80229; Brazilian Jiu Jitsu self defense and Muay Thai; rockymountainjj.com itself is dead in browser	https://www.instagram.com/rockymountainjj/
UNRESOLVED	35	LA	Vermilion Martial Arts Academy	Abbeville		FLAG	FB page gives 2108 Charity St Abbeville LA 70510 but IG bio gives 2780 Rodeo Rd; no live page names BJJ or grappling as a class (youth MMA / SKILLZ only); vmaaskillz.com dead	https://www.facebook.com/VMAAacademy/
UNRESOLVED	39	LA	Stockwell Martial Arts Academy	Bossier City		FLAG	FB page lists only city Bossier City LA 71111-5735 and phone (318) 295-0079; no street address, no named BJJ/grappling class, and top post is an equipment FOR SALE Need Gone ASAP notice	https://www.facebook.com/stockwellmartialartsacademy/
CONFIRMED	40	LA	Fight to Win Lafayette Jiu -Jitsu	Broussard	https://www.roycegraciebroussard.com/	SET_OVERRIDE	817 Albertson Parkway Suite E Broussard LA 70518; 337-362-3083; head instructor Marshall Kinghorn; same FB page renamed from Fight To Win Lafayette - Royce Gracie Jiu Jitsu	https://www.roycegraciebroussard.com/
CONFIRMED	41	LA	Louisiana Judo. Louisiana Muay Thai	Broussard	https://www.louisianajudo.com/	SET_OVERRIDE	222 Burgess Dr. Broussard LA 70518; 337-256-2322; named Kids/Adult Judo classes (grappling); no BJJ class named	https://www.louisianajudo.com/contact
CONFIRMED	48	LA	Reeds Elite Mixed Martial Arts	Jennings	https://www.facebook.com/p/Reeds-Elite-Mixed-Martial-Arts-100057438790150/	SET_OVERRIDE	518 N Main St Jennings LA 70546-5346 on live FB page; reedselitemma.com now ERR_CONNECTION_TIMED_OUT; caution - no live page names a BJJ class	https://www.facebook.com/p/Reeds-Elite-Mixed-Martial-Arts-100057438790150/
CONFIRMED	51	LA	Lake Area Brazilian Jiu-Jitsu	Lake Charles	https://www.facebook.com/LABJJ/	SET_OVERRIDE	6102 Common Street Lake Charles LA 70607; bio: Established in 1998 The Lake Area's best in BJJ MMA & Self Defense; labjj.com serves a browser error page	https://www.facebook.com/LABJJ/
UNRESOLVED	52	LA	Ground Zero Combat Sports Academy	Leesville		FLAG	Exact-name FB page groundzerospark1000 gives only city Leesville LA 71446 + (337) 353-6707 and names MMA/Boxing/Kickboxing/Wrestling not BJJ; a separate Ground Zero Mix Martial Arts Academy page lists 107 S Third St Leesville and does name Brazilian Jiu Jitsu - continuity between the two not provable	https://www.facebook.com/groundzerospark1000/
