verdict	ref	region	name	city	url	action	evidence	source_url
CONFIRMED	b10-3	CA	Javier Blanchard Brazilian Jiu Jitsu / BJJ Anaheim CA 92801	Anaheim	https://www.facebook.com/javierblanchardbrazilianjiujitsu/	SET_OVERRIDE	FB page Details lists 2139 W Lincoln Ave, Anaheim, CA 92801 (matches the record zip) and the bio names Jiu Jitsu under Rickson Gracie and the Machado brothers; javierblanchard.com is NXDOMAIN in-browser.	https://www.facebook.com/javierblanchardbrazilianjiujitsu/
DEAD	b10-15	CA	Fabio Prado Brazilian Jiu-Jitsu Academy	Dixon		KEEP_BLANK	fabiopradobjj.com redirects to /lander and renders the GoDaddy "parked free, courtesy of GoDaddy.com" template with Related Search Topics; the only other presence is a personal FB profile, not a school page.	https://fabiopradobjj.com/lander
CONFIRMED	b10-18	CA	Checkmat Fresno-Roots Brazilian Jiu-Jitsu	Fresno	https://www.facebook.com/rootsbjjfresno/	SET_OVERRIDE	FB page "Checkmat Fresno is the Brazilian Jiu Jitsu academy with world-class instructor Matheus Luna" lists 1835 E Dakota Ave, Fresno, CA 93726; checkmatfresno.com and rootsbjj.com are both dead.	https://www.facebook.com/rootsbjjfresno/
CONFIRMED	b10-26	CA	Team Oyama MMA & Fitness	Irvine	https://teamoyama.com/	SET_OVERRIDE	Site footer gives 16632 Hale Ave #100, Irvine, CA 92606 and (949) 250-3117; class list includes a named No-Gi Jiu-Jitsu class and Ron Turner appears on the instructor roster.	https://teamoyama.com/about
DEAD	b10-33	CA	Hollywood BJJ	Los Angeles		KEEP_BLANK	Both hollywoodbjj.com and www.hollywoodbjj.com render a bare nginx "404 Not Found" page - the domain resolves but serves no site.	https://hollywoodbjj.com/
UNRESOLVED	b10-34	CA	Independent Jiu-Jitsu	Los Angeles		FLAG	http://independentjiujitsu.com renders an empty WordPress skeleton reading "WELCOME TO INDEPENDENT JIU JITSU / Fight based jiu jitsu" and "NOTHING FOUND" with no address, phone or city; the HTTPS certificate is invalid (Privacy error).	http://www.independentjiujitsu.com/
CONFIRMED	b10-36	CA	Merced Academy of Jiu Jitsu	Merced	https://www.facebook.com/mercedacademyofjiujitsu/	SET_OVERRIDE	FB Details section gives 1725 G st Suite B, Merced, CA 95340, category Martial Arts School - a different address from the known-wrong mercedjiujitsu.com (530 W Olive Ave).	https://www.facebook.com/mercedacademyofjiujitsu/
CONFIRMED	b10-45	CA	Flawless Victory MMA	Ridgecrest	https://www.facebook.com/FlawlessVictoryMma/	SET_OVERRIDE	FB page gives 737 W Ridgecrest Blvd, Ridgecrest, CA 93555 and the bio names "Brazilian Jiu Jitsu, kickboxing, submission grappling, Muay Thai, and MMA"; fvmma.com, flawlessvictorymma.com and .net are all NXDOMAIN.	https://www.facebook.com/FlawlessVictoryMma/
CONFIRMED	b10-54	CA	Watts Brazilian Jiu-Jitsu & Muay Thai Academy	Simi Valley	https://www.paragonsimivalley.com/	SET_OVERRIDE	About page states the school was founded by Dion Watts and "Known then as Watts Brazilian Jiu-Jitsu and Muay Thai Academy" before joining Paragon in 2015; footer address 4210 E Los Angeles Ave, Simi Valley, CA 93063 matches - a self-declared rebrand, not a succession.	https://www.paragonsimivalley.com/about-us
CONFIRMED	b10-57	CA	DE LA O Jiu-Jitsu	Stanton	https://www.facebook.com/p/De-La-O-Jiu-Jitsu-Training-Center-Stanton-CA-100067935109362/	SET_OVERRIDE	FB page "De La O Jiu Jitsu Training Center (Stanton, CA)" lists 8381 Katella Ave, Stanton, CA 90680 and (714) 527-1845; delaojiujitsu.com and delaojj.com are both NXDOMAIN in-browser.	https://www.facebook.com/p/De-La-O-Jiu-Jitsu-Training-Center-Stanton-CA-100067935109362/
CONFIRMED	b10-71	CA	Buena Vida Jiu Jitsu Academy	West Sacramento	https://www.facebook.com/BuenaVidaJiuJitsuAcademy/	SET_OVERRIDE	FB page bio "We are a Brazilian Jiu-Jitsu Academy based out of West Sacramento California" with address 2551 Del Monte, West Sacramento, CA 95691.	https://www.facebook.com/BuenaVidaJiuJitsuAcademy/
CONFIRMED	b10-72	CA	Gracie Jiu-Jitsu Whittier	Whittier	https://graciejiu-jitsuwhittier.com/	SET_OVERRIDE	Live site headed "Welcome to Gracie Jiu-Jitsu Whittier" listing named Gracie BullyProof and Gracie Combatives classes and Mon-Wed 05:30pm-08:30pm hours; caveat - the site publishes hours but no street address or phone, so identity rests on the name and city.	https://graciejiu-jitsuwhittier.com/
UNRESOLVED	b9-7	FL	Champion Mma of Bradenton	Bradenton		FLAG	FB page CHAMPIONS MMA BRADENTON renders but its Details section shows no address or phone and names no BJJ or grappling class; the site it links, bradentonmma.com, is NXDOMAIN in-browser.	https://www.facebook.com/p/CHAMPIONS-MMA-BRADENTON-100057168082220/
CONFIRMED	b9-11	FL	Grady's Family Mixed Martial Arts	Clearwater	https://www.facebook.com/gradysmma/	SET_OVERRIDE	FB page bio "Mixed Martial Arts Gym based out of Clearwater FL - Boxing, Kickboxing, Submission Grappling, Self-Defense" with location Clearwater, FL 33764; note the page gives city and zip only, no street address.	https://www.facebook.com/gradysmma/
UNRESOLVED	b9-13	FL	Real World M.M.A. Training Center	Coral Springs		FLAG	realworldmma.com is NXDOMAIN in-browser and the only facebook.com/RealWorldMMA page is "Real World Mixed Martial Arts" in Fowlerville MI, a different gym; no readable first-party page for the Coral Springs school.	https://realworldmma.com/
DEAD	b9-19	FL	Burns Bros Jiu Jitsu	Deerfield Beach		KEEP_BLANK	burns-bjj.com now fails in-browser (www.burns-bjj.com ERR_CONNECTION_CLOSED, apex NXDOMAIN) and facebook.com/burnsbjj is a "Sports team" page for the Burns brothers' BJJ system with no address or city.	https://www.facebook.com/burnsbjj/
DEAD	b9-20	FL	Carlson Gracie Manny Soares	Delray Beach		KEEP_BLANK	southfljiujitsu.com over http serves a default "Web Hosting - courtesy of www.bluehost.com" placeholder and refuses connections over https; the alternate carlsongraciedelraybeach.org is NXDOMAIN.	http://southfljiujitsu.com/
UNRESOLVED	b9-23	FL	Fight Zone MMA	Fort Myers		FLAG	FB page Fight Zone DMMA confirms 7050 winkler rd, Fort Myers, FL 33919 and (239) 878-5750, but both the main page and the About tab describe only "MMA, fitness, and all sports training facility" with no named BJJ or grappling class.	https://www.facebook.com/fightzonechamps/about
UNRESOLVED	b9-24	FL	Gainesville BJJ Florida	Gainesville		FLAG	Two distinct live academies exist and neither can be tied to this record: jiujitsugainesville.com is Ricardo Rezende at 3437 W University Ave, and bjjgainesville.com is the Marcelo Garcia Jiu Jitsu Association of Gainesville; stored gainesvillebjjfl.com is dead.	https://www.jiujitsugainesville.com/
CONFIRMED	b9-28	FL	Gladiator Sports Fitness MMA	Hialeah	https://www.facebook.com/gladiatorsportsfitnessmma/	SET_OVERRIDE	FB page lists 224 w 29 st, Hialeah, FL 33012 and (786) 304-0801; bio names classes in "Judo, kick boxing, mma, Mauhy thai" - judo is the grappling class here, there is no named BJJ.	https://www.facebook.com/gladiatorsportsfitnessmma/
UNRESOLVED	b9-30	FL	Round 5 MMA and Jiu-Jitsu	Hialeah		FLAG	round5mma.com loaded but froze the renderer on three separate attempts over both http and https (CDP Runtime.evaluate timed out, page text extraction reported an error page), so no content could be read.	https://round5mma.com/
UNRESOLVED	b9-34	FL	Armory Training Center	Jupiter		FLAG	thearmory.tv is NXDOMAIN; The Armory's own Instagram @teamarmory ("Brazilian Jiu Jitsu Facility", 730 W Indiantown Road) links jupiterselfdefense.com, which renders as "Brazilian Top Team - Jupiter" at 711 West Indiantown Rd Unit A5 - an apparent rebrand the site itself never confirms.	https://jupiterselfdefense.com/
UNRESOLVED	b9-37	FL	Hardkore MMA & Jiu-Jitsu	Lake City		FLAG	hardkoremma.com is NXDOMAIN; the FB page HardKore MMA gives only "Lake City, FL 32025" with no street address, and both the bio and About tab read only "Private Mixed Martial Arts Academy" with no named jiu-jitsu class.	https://www.facebook.com/HardKoreMMA/about
UNRESOLVED	b9-49	FL	Gracie Jiu-Jitsu North Miami Beach	North Miami Beach		FLAG	No first-party site exists for this record; directory listings place it at 16360 NE 26th Ave, which is Valente Brothers' academy - the candidate I was directed not to confirm. I did not fetch a page for this row.	
DEAD	b9-53	FL	Gracie Jiu-Jitsu Ocoee	Ocoee		KEEP_BLANK	Established in the prior pass: graciejiujitsuocoee.com renders a GoDaddy "parked free" domain-for-sale lander, not a school. Not re-fetched by me.	
DEAD	b9-60	FL	Trident Jiu Jitsu	Ormond Beach		KEEP_BLANK	tridentjiujitsu.com and www.tridentjiujitsu.com are both NXDOMAIN in-browser, and tridentbjj.com redirects to a parked /lander page with no content.	https://tridentbjj.com/lander
NOT_BJJ	b9-63	FL	Team Gladiator MMA & Fitness	Pine Hills		FLAG	FB page confirms 4823 Silver Star Rd, Ste 180, Orlando, FL 32808 and (407) 535-0213 but describes only "MMA personal training, ZUMBA classes, Weight Loss Body Transformation program, and The Fight Against Obesity and Bullying kids program" - no BJJ or grappling class.	https://www.facebook.com/p/Team-Gladiator-MMA-Fitness-100054515197067/
CONFIRMED	b9-68	FL	GB Sebring	Sebring	https://gbsebring.com/	SET_OVERRIDE	Page reads "Gracie Barra Jiu-Jitsu Sebring, 99 Robin Avenue, Sebring, Florida 33870" with phone (863) 658-5689 and info@GBsebring.com, plus named Group Classes and Private Lessons.	https://gbsebring.com/
UNRESOLVED	b9-70	FL	Full Circle MMA	St. Cloud		FLAG	nucfl.com is NXDOMAIN in-browser; Instagram @fullcirclemma is branded "Full Circle Martial Arts" (kids/adult karate, MMA conditioning, wrestling) with no address and links fullcirclemartialarts.net, so it cannot be tied to the St. Cloud gym.	https://www.instagram.com/fullcirclemma/
DEAD	b9-86	NL	Labrador City BJJ	Labrador City		KEEP_BLANK	novauniaocanada.com/lab-city renders the Wix placeholder "This domain isn't connected to a site"; the stored novauniao.ca is NXDOMAIN.	https://www.novauniaocanada.com/lab-city
UNRESOLVED	b10-76	TX	Revolutionary Fitness & MMA	Abilene		FLAG	revfitmma.com and futurefitnessteam.com are both NXDOMAIN in-browser; the FB page gives only "Abilene, TX" and (325) 660-8923, and its bio and About tab name only a Certified Muay Thai program with no BJJ or grappling class.	https://www.facebook.com/RevfitMMA/about
DEAD	b10-88	TX	Carlos Machado Jiu-Jitsu Mid Cities	Bedford		KEEP_BLANK	carlosmachadojiujitsumidcities.com is NXDOMAIN in-browser despite still being indexed, and midcitiesjiujitsu.com redirects to a GoDaddy Auctions "available on GoDaddy Auctions" lander.	https://midcitiesjiujitsu.com/lander
