id	region	name	city	proposed_url
3	CO	Gracie Jiu-Jitsu Aurora	Aurora	https://www.graciebjjcolorado.com/
11	CO	719 Fight Team MMA	Colorado Springs	https://www.facebook.com/719FightTeamMma/
29	CO	Kingsnake Jiu-Jitsu	Loveland	https://www.facebook.com/p/Kingsnake-Jiu-Jitsu-100068959263196/
30	CO	Ground Zero Roaring Fork Valley BJJ	New Castle	https://ground-zero-roaring-fork.square.site/
31	CO	Rocky Mountain Jiu Jitsu	Northglenn	https://www.instagram.com/rockymountainjj/
40	LA	Fight to Win Lafayette Jiu -Jitsu	Broussard	https://www.roycegraciebroussard.com/
41	LA	Louisiana Judo. Louisiana Muay Thai	Broussard	https://www.louisianajudo.com/
51	LA	Lake Area Brazilian Jiu-Jitsu	Lake Charles	https://www.facebook.com/LABJJ/
59	LA	Criterion Jiu Jitsu	Prairieville	https://www.facebook.com/people/Criterion-Jiu-Jitsu/100064091672810/
64	LA	Gracie Stonewall Jiu Jitsu Academy	Stonewall	https://www.facebook.com/Gatorpitbjj/
70	NJ	Clay Jiu Jitsu	Browns Mills	https://www.facebook.com/clayjiujitsu/
76	NJ	Jaguar BJJ	Edison	https://www.instagram.com/jaguarbrazilianjiujitsu/
77	NJ	Golden Eagle Judo & Jiu-Jitsu	Elizabeth	https://www.facebook.com/Goldeneaglejudo/
106	NJ	Rolles Gracie Academy - Long Branch Jiu Jitsu & Muay Thai	West Long Branch	https://rrmartialarts.com/
120	OK	Lucas Martial Arts	Duncan	https://www.facebook.com/LucasMartialArts/
123	OK	Kudos	Edmond	https://www.facebook.com/p/Kudos-Jiujitsu-100063489492758/
126	OK	Shah Mat Brazilian Jiu Jitsu	Enid	https://www.facebook.com/ShahMatBJJ/
137	OK	Clinch Martial Arts Academy - Owasso	Owasso	https://www.facebook.com/teamclinch/
139	OK	Oklahoma Combat Sports / KORE BJJ	Poteau	https://www.facebook.com/ocskorebjj/
143	OK	Ryan Brazilian Jiu Jitsu	Tulsa	https://www.facebook.com/Ryanbrazilianjiujitsu/
