name	region	city	stored_url	alt_host
101 Academy Jiu Jitsu	AB	Calgary	https://101academyjiujitsu.com	www.101academyjiujitsu.com
Alliance Jiu Jitsu Calgary	AB	Calgary	https://alliancejiujitsucalgary.com	www.alliancejiujitsucalgary.com
Calera Fitness and MMA	AL	Calera	https://www.calerafitness.com/Calera_Fitness_%26_MMA/Home.html	calerafitness.com
Samuel Puccio Brazilian Jiu-Jitsu	AL	Birmingham	https://bhmbjj.com/	www.bhmbjj.com
ONE HEART DOJO	AR	El Dorado	https://www.eldoradomartialarts.com/	eldoradomartialarts.com
Black Flag Submission Co.	AZ	Glendale	https://www.blackflagsubco.com/	blackflagsubco.com
Checkmat Phoenix	AZ	Phoenix	https://mkbjj.com/	www.mkbjj.com
Fury Brazilian Jiu Jitsu	AZ	Phoenix	https://www.furybjj.com/	furybjj.com
The Desert Dojo	AZ	Chandler	https://thedesertdojo.com/	www.thedesertdojo.com
Alliance Jiu Jitsu Vancouver	BC	Vancouver	https://alliancejiujitsuvancouver.com	www.alliancejiujitsuvancouver.com
Mission BC BJJ	BC	Mission	https://missionbcbjj.com	www.missionbcbjj.com
Pinnacle MMA	BC	Richmond	https://pinncalemma.com	www.pinncalemma.com
Poderoso Jiu Jitsu	BC	Abbotsford	https://poderosojiujitsu.com	www.poderosojiujitsu.com
SBG Victoria	BC	Victoria	https://sbgvictoria.com	www.sbgvictoria.com
Marcelo Garcia Academy LA	CA	Los Angeles	https://marcelogarciaacademy.com/la	www.marcelogarciaacademy.com
Alliance Jiu Jitsu Boulder	CO	Boulder	https://alliancejiujitsububoulder.com	www.alliancejiujitsububoulder.com
Alliance Jiu Jitsu Colorado	CO	Aurora	https://alliancejiujitsucolorado.com	www.alliancejiujitsucolorado.com
Cheyenne Mountain BJJ	CO	Colorado Springs	https://cheyennemountainbjj.com	www.cheyennemountainbjj.com
Durango BJJ	CO	Durango	https://durangobjj.com	www.durangobjj.com
Capital City BJJ	DC	Washington	https://capitalcitybjj.com	www.capitalcitybjj.com
Capitol Hill BJJ	DC	Washington	https://capitolhillbjj.com	www.capitolhillbjj.com
DC BJJ Academy	DC	Washington	https://dcbjjacademy.com	www.dcbjjacademy.com
Dover AFB BJJ	DE	Dover	https://doverafbbjj.com	www.doverafbbjj.com
First State BJJ	DE	Middletown	https://firststatebjj.com	www.firststatebjj.com
Milford BJJ Delaware	DE	Milford	https://milfordbjjde.com	www.milfordbjjde.com
5th St. Gym	FL	Miami Beach	https://www.5thstreetgym.com/	5thstreetgym.com
Alliance South Florida Team Rollyson	FL	Hollywood	https://alliancesouthflorida.com/	www.alliancesouthflorida.com
Alpha Dogs Martial Arts	FL	Jacksonville	https://alphadogsmartialarts.com/	www.alphadogsmartialarts.com
American Tigers Martial Arts	FL	Sunrise	https://americantigers.com/	www.americantigers.com
Burns Bros Jiu Jitsu	FL	Deerfield Beach	https://burnsbrosjiujitsu.com/	www.burnsbrosjiujitsu.com
