name	region	url
BVJJ	BC	https://bvjj.ca
Bairro Brazilian Jiu-Jitsu Academy	AB	https://bairro.ca
Bairro Martial Arts Academy South	AB	https://bairro.ca
Bakersfield Brazilian Jiu Jitsu / BJJ Bakersfield CA 93313	CA	https://www.mattbakerbjj.com/
Balance Jiu Jitsu	MB	https://www.balancebjjwinnipeg.com
Bar Harbor Brazilian Jiu Jitsu	ME	https://barharborbjj.com
BarnYard MMA	KY	https://barnyardmma.com/
Barrie BJJ	ON	https://705bjj.com/
Base Camp Brazilian Jiu Jitsu	CA	https://www.basecampbjj.com/
BattleGround Jiu-Jitsu Academy	MA	https://battlegroundjiujitsu.com
Battles Jiu Jitsu	ID	https://www.battlesjiujitsu.com
Bayou Jiu Jitsu & Self Defense Baton Rouge	LA	https://bayoujiujitsu.us/
Be Jiu Jitsu	LA	https://be-jj.com
Bearclan Jiujitsu	ME	https://bearclanjiujitsu.com
Beaufort MMA	SC	https://www.beaufortmma.com
Believe Jiu Jitsu	SC	https://believejiujitsu.com
Bellevue Academy of Brazilian Jiu Jitsu	NE	https://bellevuebjj.com
Bellingham BJJ	WA	https://bellinghambjj.com
Bellum Brazilian Jiu Jitsu	MN	https://bellumbrazilianjiujitsu.com
Bemidji BJJ	MN	https://www.bemidjibjj.com
Bergen County Brazilian Jiu-Jitsu	NJ	https://www.jiujitsutrainingnj.com/
Big Country - Orillia	ON	https://bigcountryorillia.gymdesk.com
Bindner Academy	ON	https://bindner.academy
Binghamton Brazilian Jiu Jitsu	NY	https://broomecountymartialarts.com/
Birmingham Brazilian Jiu Jitsu Spartan Fitness	AL	https://spartanfitnessmma.com/classes/Brazilian-Jiu-Jitsu
Bismarck MMA	ND	https://bismarckmma.com
Bitterroot Warrior Arts Stevensville	MT	https://www.bugoutmt.com/bitterrootwarriorarts
Bjj Québec	QC	https://bjjquebec.com
Black Arrow Martial Arts	MN	https://www.blackarrowmartialarts.com
Black Cat MMA	WV	https://morgantownmma.com/
Black Diamond Grappling Club	MO	https://www.bevierjiujitsu.com/
Black Gold Jiu-Jitsu Academy	AB	https://www.blackgoldbjj.com
Black Hills Brazilian Jiu-Jitsu	SD	https://www.bhbjj.com
Black Hole Jiu Jitsu	NY	https://blackholejj.com
Black House Miami Beach	FL	https://blackhousemiamibeach.com/
Black Label BJJ of Cheyenne	WY	https://blacklabel307.com
Black Label Martial Arts	SC	https://blacklabelmartialarts.com
Black Lion Jiu Jitsu Academy	MI	https://www.blacklionjiujitsu.com/
Black Sails Brazilian Jiu Jitsu	AB	https://www.blacksailsbjj.com
Blackfoot Jiu Jitsu and Fitness	ID	https://blackfootjiujitsu.com
Blackout Mixed Martial Arts	AZ	https://www.blackoutmmaandfitness.com/
Blue Ridge Jiu Jitsu	NC	https://blueridgejj.com/
Blue Wave Brazilian Jiu Jitsu	NH	https://bluewavejiujitsu.com
Bobby Lawrence Karate Orem	UT	https://oremkarate.com
Bom Jitsu Brazilian Jiu Jitsu	CO	https://bomjitsu.com
Bora Jiu-Jitsu	ON	https://borabjj.com
Bossier Jiu-Jitsu: Louisiana Black Belt Academy	LA	https://bossierjiujitsu.com/
Boston Brazilian Jiu-Jitsu Woburn	MA	https://bostonbjjwoburn.com
Boxer's Rebellion Martial Arts	AZ	https://www.boxersrebellionmartialarts.com/
Bozeman JuJitsu	MT	https://bozemanjujitsu.com
Bragiao BJJ MMA	HI	https://www.mmaonkauai.com
Braman Jiu Jitsu	RI	https://www.bramanjiujitsu.com
Brampton Brazilian Jiu Jitsu Academy	ON	https://bramptonbjj.com
Brasa Comprido BJJ	IL	https://compridobjj.com/
Brasa Jiu-Jitsu Highwood	IL	https://highwood.compridobjj.com/
Brattleboro Jiu-Jitsu	VT	https://www.brattleborojiujitsu.com
Bravado BJJ Rive-Sud	QC	https://www.bravadobjjrivesud.com
Brave BJJ Boise	ID	https://www.brave-bjj.com
Brave Martial Arts Institute	ON	https://bravemai.com
Bravé MMA and Fitness	AB	https://bravemmaandfitness.com
Brazil Academy USA	KS	https://www.brazilacademyusa.com
Brazil-021 Winnipeg	MB	https://www.brazil021wpg.com
Brazilian Black Belt Buffalo Grove	IL	https://brazilianblackbelt.com/buffalo-grove-brazilian-jiu-jitsu
Brazilian Fight Factory	TX	https://fightfactoryjiujitsu.com/
Brazilian Jiu Jitsu Academy Cape Coral	FL	https://steve6139.wixsite.com/bjjacademy
Brazilian Top Team Back Bay	MA	https://bttbackbay.co
Brazilian Top Team Londonderry	NH	https://bttlondonderry.com
Brazilian Top Team North Dallas	TX	https://www.bttnorthdallas.com
Brazilian Top Team Texas	TX	https://bttsa.com
Breaking Point Jiu-Jitsu Bettendorf	IA	https://breakingpointbjj.com
Breaking Point Jiu-Jitsu Davenport	IA	https://breakingpointbjj.com
Breakthrough BJJ	NS	https://www.breakthroughbjj.ca
Bronx Martial Arts Academy	NY	https://www.bronxmartialarts.com
Brooklyn Brazilian Jiu Jitsu	NY	https://brooklynbjj.com
Brooklyn Mixed Martial Arts & Fitness	NY	https://www.brooklynmixedmartialarts.com
Brothers Jiu Jitsu	OK	https://brothersjiujitsu.wordpress.com/
Brunswick Martial Arts Academy	ME	https://brunswickmartialarts.com
Buckhead Jiu-Jitsu	GA	https://www.buckheadjj.com/
Budo Mixed Martial Arts Burnaby	BC	https://budoburnaby.com
Buffalo Brazilian Jiu Jitsu Academy	NY	https://www.buffalobjj.com/
Buffalo United Martial Arts	NY	https://buffalounitedmartialarts.com
Bullpen Fight Club WV	WV	https://bullpenfightclub.com
Burgess Academy of BJJ and MMA	NH	https://burgessmma.com
Burlington BJJ	ON	https://burlingtonbjj.ca
Burns Martial Arts	KS	https://www.burnsmartialarts.com
Clockwork Brazilian Jiu-Jitsu	NY	https://www.clockworkbjj.com
Club MMA	KY	https://www.club-mma.com/
Cobra BJJ	AL	https://www.cobrabjjtuscaloosa.com/
Cobra BJJ Chelsea	AL	https://cobrabjjchelsea.com/
Cogito Jiu Jitsu	FL	https://www.sanfordmartialarts.com/
Cohesion Brazilian Jiu-Jitsu & Judo Academy	OK	https://www.cohesiontrainingacademy.com/
Colorado Springs Brazilian Jiu Jitsu	CO	https://csbjj.com
Colossal Fight Company	ID	https://www.colossalfightcompany.com
Combat Base Shasta/ Mendes Brazilian Jiu-Jitsu	CA	https://www.reddingselfdefense.com/
Combat Club Cottonwood	AZ	https://cottonwoodbjj.com/
Combat Club Lake Worth	FL	https://www.combatclub.com/
Combat Fitness MMA	VT	https://combatfitnessmma.com
Combat Jujitsu	LA	https://www.combatjujitsu.biz/
Combat Syndicate	OK	https://combatsyndicate.org/
Combative Sports Center	KS	https://www.cscmhk.com
Complete Fitness and Martial Arts	AB	https://www.stalbertmartialarts.com
Comprido BJJ	IL	https://highwood.compridobjj.com/
Conde Koma Brazilian Jiu-Jitsu Academy	CA	https://www.condekomabjj.com
Conifer Jiu Jitsu & Fitness	CO	https://www.conifermartialarts.com/
Connect Brazilian Jiu Jitsu	CA	https://www.connectbjj.com/
Connection Rio Jiu-Jitsu Academy	OR	https://connectionriobjj.com/
Constant Expansion Jiu Jitsu / MMA	GA	https://www.10psav.com
Control Jiu-Jitsu	FL	https://controljiujitsu.com/
Cookeville Jiu-Jitsu	TN	https://www.cookevillejiujitsu.com
Copperhead Jiu Jitsu	OR	https://copperheadjiujitsu.com/
Core Combat Sports	IL	https://coremma.com
Core Combat Sports Louisville	KY	https://corelouisville.com
Core Jiu Jitsu	ID	https://corejjidaho.com
Core Jiu-Jitsu	ON	https://bjjmississauga.com
Cornerstone Jiu Jitsu	TX	https://cornerstonejiujitsuacademy.com/
Cosens MMA	MI	https://cosensmma.com/
Cosens Martial Arts Grand Blanc LLC	MI	https://cosensmmagrandblanc.com/
Cosens Martial Arts Midland LLC	MI	https://cosensmmamidland.com/
Cosens Martial Arts Mt. Pleasant LLC	MI	https://cosensmmamtpleasant.com/
Cosens Martial Arts Saginaw LLC	MI	https://cosensmmasaginaw.com/
Cosmic Training Center Brazilian Jiu Jitsu	CA	https://www.cosmictrainingcenter.com/
Courtenay Brazilian Jiu-Jitsu	BC	https://courtenaybjj.ca
Cove Jiu Jitsu	AZ	https://covejiujitsu.com/
Coventry Brazilian Jiu Jitsu	RI	https://coventryribjj.com
Coyote Brazilian Jiu Jitsu Academy	NM	https://coyotebjj.com
Cranbrook Brazilian Jiu-Jitsu	BC	https://cranbrookbjj.com
Creed BJJ	FL	https://www.creedbjj.com
Creighton MMA & Fitness Academy	GA	https://paulcreighton.com/
Crest Brazilian Jiu Jitsu	NC	https://bjjhampstead.com/
Criterion Brazilian Jiu Jitsu of Louisville	KY	https://criterionbjj.com
Cross Collar Jiu Jitsu - An Ed Ramos Affiliate	TX	https://www.edramosclearlake.com/
Crossville MMA	TN	https://www.crossvillemma.com
Crown BJJ	UT	https://crownbjj.com
Crypto Jiu Jitsu - Peoria, Arizona	AZ	https://www.cryptojiujitsu.com/
Cultivate Power Fighting Arts	CA	https://cultivatepower.net/
Current Jiu Jitsu	ON	https://currentbjj.com
Cyclone Brazilian Jiu Jitsu & Combatives	LA	https://cyclonecombatives.com
D's Jiu-Jitsu Academy	WY	https://dsbjjcasper.com
DNA Brazilian Jiu Jitsu	ON	https://dnabjj.com
DNC Defense	AR	https://dncdefense.com
Da Firma Training Center	VA	https://dafirmatc.com/
Dan Henderson's Athletic Fitness Center - Formerly Team Quest	CA	https://dhathleticfitcenter.com/
Daniel Gracie Academy Falmouth	MA	https://daniel-gracie.com/
Daniel Gracie BJJ	PA	https://www.danielgraciephilly.com
Danny Savery BJJ and Martial Arts Academy	RI	https://dannysaverybjj.com
Dante Rivera Brazilian Jiu-Jitsu Academy	NJ	https://danteriverabjj.com/
Darcio Lira Brazilian Jiu Jitsu and Martial Arts	CA	https://www.darciolirajiujitsu.com/
Darfight Martial Arts	NY	https://darfight.com
David Branch Jiu Jitsu	NJ	https://dbjjhoboken.com/
DeBrazil Jiu-Jitsu Academy	AZ	https://debraziljiujitsu.com/
Decorah Martial Arts	IA	https://www.decorahmartialarts.com
Delta BJJ British Columbia	BC	https://deltabjj.ca
Derby City MMA	KY	https://derbycitymartialarts.com
Des Moines Jiu-Jitsu Academy	IA	https://iowabjj.com
Desert Dynasty MMA	NM	https://www.desertdynastymma.com
Destin Academy of Mixed Martial Arts	FL	https://www.destinmma.com/About/about.html
Detroit Academy of Martial Arts	MI	https://martialartstroy.com/
Detroit Jiu Jitsu	MI	https://detroitjiujitsu.com
Devine Jiu Jitsu - Brunswick	GA	https://www.devinejiujitsu.com/schools/brunswick/
Diamond State Martial Arts	AR	https://diamondstatemartialarts.com
Diaz Combat Sports	BC	https://diazcombatsports.com
Diego Saraiva BJJ - Nova Uniao Atlanta GA	GA	https://saraivabjj.com/
Diego Saraiva BJJ - Roswell/Crabapple GA	GA	https://saraivabjjroswell.com/
Divinus Lux Jiu Jitsu	SC	https://www.divinusluxjiujitsu.com
Dodge City House of Grappling	KS	https://www.dodgecitygrappling.com
Dojo Fusion	QC	https://dojofusion.ca
Dojo USA South BJJ Missoula	MT	https://dojousa.co
Dominion BJJ	VA	https://dominionbjj.com/
Dragon Gym Malvern	PA	https://www.dragongym.com/
Dragon Within Mixed Martial Arts	MA	https://www.dragonwithinmartialarts.com/
Duality BJJ	WY	https://dualitybjj.com
Dubuque Jiu-Jitsu	IA	https://dubuquebjj.com
Dynamic MMA Calgary	AB	https://www.dynamicmma.ca
E-town/Bowling Green Clube de Jiu-Jitsu	KY	https://e-townbjj.com/
E3 Jiu-Jitsu	KS	https://www.e3sf.org
East Athens Jiu Jitsu	GA	https://eastathensjiujitsu.com/
East Bay Academy Jiu Jitsu	CA	https://www.ebajiujitsu.com/
East York Brazilian Jiu Jitsu	PA	https://yorkbjj.com
Eco Submission Grappling	AR	https://ecosubmissiongrappling.com
Edge Effect Fitness and Martial Arts	VA	https://www.edgeeffectfitness.com/
Edmonton BJJ	AB	https://edmontonbjj.com
Edmonton Gracie Jiu-Jitsu	AB	https://edmontongraciejiujitsu.com/
El Niño Training Center	CA	http://www.elninomma.com
Electric Jiu Jitsu	CA	https://electricjiujitsu.com
Elemental Jiu Jitsu	ON	https://elementaljiujitsu.com
Elements MMA	NH	https://www.elements-mma.com
Elevated Academy of Martial Arts	CA	https://www.elevatedbjj.com/
Elite Academy of Martial Arts	GA	https://eliteacademyofmartialarts.com/
Elite Academy of Martial Arts Junction City	KS	https://eliteacademyma.com
Elite BJJ	ND	https://elitebjj.org
Elite Combat Sports Center	KS	https://elitecombatsportscenter.com
Elite Martial Arts Calgary	AB	https://calgarymartialarts.com
Elite Martial Arts and MMA	WV	https://www.elitemartialartsandmma.com
Elite Mixed Martial Arts - Atascocita	TX	https://www.elite-mma.com/claim-free-session
Elite Performance Gym (Jeremy Horn's)	UT	https://eliteperformancegym.com
Elite Taekwondo and Brazilian Jiu Jitsu	AB	https://eliteedmonton.ca
Embrace Jiu Jitsu	NC	https://embracemartialarts.com
Empire Brazilian Jiu Jitsu	ME	https://empirebjjmaine.com
Eris Martial Arts Academy	ON	https://erismartialarts.com
Eternal BJJ	BC	https://eternalbjj.ca
Eternal Warrior Brazilian Jiu-Jitsu	AR	https://eternalwarriorbjj.com/
Ethos BJJ	NC	https://ethosjitsu.com/
Ethos BJJ Wichita	KS	https://ethosjj.com
Ethos Jiu Jitsu and Martial Arts	TX	https://www.ethosjiujitsutyler.com
Etobicoke BJJ	ON	https://etobicoke-bjj.com
Evolution Athletix	ME	https://evolutionathletix.com
Evolution Martial Arts NL	NL	https://evolutionmartialartsnl.com
Evolution Training Centre	NB	https://www.evolutiontrainingcenter.ca
Evolve MMA & Fitness	ON	https://evolvemma.ca
EvolveAll - Martial Arts and Training Studio	VA	https://evolveall.com/
Excellence School of Jiu Jitsu	AZ	https://www.esjjprescott.com/
Exodus Jiu-Jitsu	AZ	https://exodusjjphx.com/
Exodus Martial Arts Academy	HI	https://exodusmaahawaii.squarespace.com
Expedition Brazilian Jiu-Jitsu	SK	https://expeditionbjj.ca
Extreme Mix Martial Arts	LA	https://extremefitnessmma.com
FLORENCE BRAZILIAN JIU-JITSU ACADEMY	AL	https://www.florencebjj.com/
FORCA MMA	AR	https://forcamma.com
Fabin Rosa BJJ Altamonte Springs	FL	https://bjjorlando.com/altamonte
Fabin Rosa Brazilian Jiu Jitsu Academy	FL	https://bjjorlando.com/orlando
Fabio Novaes Brazilian Jiu-jitsu Lakeland	FL	https://fabionovaesbjj.com/
Faction Combat Mixed Martial Arts Gym	AZ	https://www.factioncombat.com/
Factory Fresh Jiu Jitsu	BC	https://factoryfreshbjj.com
Faiferlick Martial Arts	IA	https://fortdodgemartialarts.com
Fairfax Jiu Jitsu Academy	VA	https://www.fairfaxjj.com/
Family Martial Arts and Gracie Jiu-Jitsu Beckley	WV	https://fmawv.com
Fargo BJJ	ND	https://fargobjj.com
Farmington Jiu Jitsu Academy	NM	https://farmingtonjiujitsu.com
Fayetteville Brazilian Jiu-Jitsu	AR	https://fayetteville-jiujitsu.com/
