name	region	url
Cross Collar Jiu Jitsu - An Ed Ramos Affiliate	TX	https://www.edramosclearlake.com/
Crossville MMA	TN	https://www.crossvillemma.com
Crown BJJ	UT	https://crownbjj.com
Crypto Jiu Jitsu - Peoria, Arizona	AZ	https://www.cryptojiujitsu.com/
Cultivate Power Fighting Arts	CA	https://cultivatepower.net/
Current Jiu Jitsu	ON	https://currentbjj.com
Cyclone Brazilian Jiu Jitsu & Combatives	LA	https://cyclonecombatives.com
D's Jiu-Jitsu Academy	WY	https://dsbjjcasper.com
DNA Brazilian Jiu Jitsu	ON	https://dnabjj.com
DNC Defense	AR	https://dncdefense.com
Da Firma Training Center	VA	https://dafirmatc.com/
Dan Henderson's Athletic Fitness Center - Formerly Team Quest	CA	https://dhathleticfitcenter.com/
Daniel Gracie Academy Falmouth	MA	https://daniel-gracie.com/
Daniel Gracie BJJ	PA	https://www.danielgraciephilly.com
Danny Savery BJJ and Martial Arts Academy	RI	https://dannysaverybjj.com
Dante Rivera Brazilian Jiu-Jitsu Academy	NJ	https://danteriverabjj.com/
Darcio Lira Brazilian Jiu Jitsu and Martial Arts	CA	https://www.darciolirajiujitsu.com/
Darfight Martial Arts	NY	https://darfight.com
David Branch Jiu Jitsu	NJ	https://dbjjhoboken.com/
DeBrazil Jiu-Jitsu Academy	AZ	https://debraziljiujitsu.com/
Decorah Martial Arts	IA	https://www.decorahmartialarts.com
Delta BJJ British Columbia	BC	https://deltabjj.ca
Derby City MMA	KY	https://derbycitymartialarts.com
Des Moines Jiu-Jitsu Academy	IA	https://iowabjj.com
Desert Dynasty MMA	NM	https://www.desertdynastymma.com
Destin Academy of Mixed Martial Arts	FL	https://www.destinmma.com/About/about.html
Detroit Academy of Martial Arts	MI	https://martialartstroy.com/
Detroit Jiu Jitsu	MI	https://detroitjiujitsu.com
Devine Jiu Jitsu - Brunswick	GA	https://www.devinejiujitsu.com/schools/brunswick/
Diamond State Martial Arts	AR	https://diamondstatemartialarts.com
Diaz Combat Sports	BC	https://diazcombatsports.com
