verdict	name	region	url	evidence
CLEAN	All Star Jiu Jitsu	IL	https://www.allstarjiujitsu.com/	clean
CLEAN	Alliance BJJ Calgary	AB	https://www.alliancebjjcalgary.com/	clean
CLEAN	Alliance BJJ Houston	TX	https://alliancebjjhouston.com	clean
CLEAN	Alliance BJJ Vancouver	BC	https://www.alliancebjjteam.com	clean
CLEAN	Alliance Coral Springs	FL	https://alliancecoralsprings.com	clean
CLEAN	Alliance Jiu Jitsu	FL	https://alliancejjkb.com/	clean
CLEAN	Alliance Jiu Jitsu - Northwest Arkansas	AR	https://alliancejjnorthwestarkansas.com/	clean
CLEAN	Alliance Jiu Jitsu - Tucson	AZ	https://alliancejiujitsutucson.com/	clean
UNREACHABLE	Alliance Jiu Jitsu - Vail	AZ	https://alliancejiujitsuvail.com/	SSL privacy error interstitial; page will not load
CLEAN	Alliance Jiu Jitsu Anderson	SC	https://allianceanderson.com	clean
UNREACHABLE	Alliance Jiu Jitsu Eagle	ID	https://www.allianceboise.org	Chrome network error page; domain will not load
CLEAN	Alliance Jiu Jitsu Easley	SC	https://alliancejjeasley.com	clean
UNREACHABLE	Alliance Jiu Jitsu East Boise	ID	https://www.allianceboise.org	Chrome network error page; domain will not load
CLEAN	Alliance Jiu Jitsu Los Angeles	CA	https://www.cobrinhabjj.com/	clean
CLEAN	Alliance Jiu Jitsu MPLS	MN	https://alliancebjjmn.com	clean
CLEAN	Alliance Jiu Jitsu Montreal	QC	https://brazilianjiujitsumontreal.com	clean
CLEAN	Alliance Jiu Jitsu Montréal - Rosemère	QC	https://brazilianjiujitsumontreal.com	clean
CLEAN	Alliance Jiu Jitsu Orlando	FL	https://brunomalfacine.com/	clean
CLEAN	Alliance Jiu Jitsu San Diego	CA	https://alliancesandiego.com/	clean
CLEAN	Alliance Jiu Jitsu Twin Falls	ID	https://alliancetf.com	clean
CLEAN	Alliance Kelowna	BC	https://www.alliancekelowna.com	clean
CLEAN	Alliance San Diego	CA	https://alliancesandiego.com	clean
CLEAN	Aloisio Silva Brazilian Jiu-Jitsu Academy	TX	https://silvabjjtx.com/	clean
CLEAN	Alpha Omega BJJ / jiu jitsu Laredo TX 78041	TX	https://alphaomegabjj.wordpress.com/	clean
UNREACHABLE	Alton Family Martial Arts & Fitness	IL	https://www.altonfma.com/	Chrome DNS error page; domain does not resolve
CLEAN	Altruist Mixed Martial Arts	NV	https://www.altruistmixedmartialarts.com	clean
CLEAN	Alvarez Brazilian Jiu-Jitsu Arlington	TX	https://alvarezbjj.com/	clean
UNREACHABLE	American Combat Club	FL	http://americancombatclub.com/	serves empty page; no content or links
CLEAN	American Elite Mixed Martial Arts	OK	https://www.americanelitemma.com/	clean
CLEAN	American Jiu Jitsu Academy	AR	https://jiujitsu4america.com/	clean
CLEAN	American Kickboxing Academy	CA	https://www.americankickboxingacademy.com/	clean
CLEAN	American Kickboxing Academy Texas	TX	https://akasanantonio.com/	clean
CLEAN	American MMA	MN	https://american-mma.com	clean
CLEAN	American Revolution Muay Thai & Submission Center	TX	https://www.americanrevolutionmma.com/	clean
CLEAN	American TKA Martial Arts	FL	https://www.americantka.com/	clean
CLEAN	American Top Team Ashburn	VA	https://attashburn.com/	clean
CLEAN	American Top Team Aventura	FL	https://www.attaventuranmb.com/	clean
UNREACHABLE	American Top Team Nevada	NV	https://attnevada.com/	serves empty page; no content or links
CLEAN	American Top Team Tuscaloosa - Kickboxing, MMA, Brazilian Jiu-Jitsu and Fitness Kickboxing	AL	https://www.summitfitnesskickboxing.com/	clean
CLEAN	American Top Team of Gwinnett	GA	https://attofgwinnett.com/	clean
CLEAN	American Top Team – Vero Beach	FL	https://rtmartialartsvb.com/	clean
CLEAN	Americana Brazilian-Jiu Jitsu	CA	https://americanabjj.com/	clean
CLEAN	Anaconda Brazilian Jiu-Jitsu North Bergen	NJ	https://anacondabjjnjny.com/	clean
CLEAN	Anchor Combat Academy	NL	https://www.anchorcombatacademy.com	clean
CLEAN	Anchor Jiu Jitsu & Fitness	GA	https://anchorjiujitsu.com/	clean
CLEAN	Anchorage Grappling Academy	AK	https://www.anchoragegrapplingcoop.com/	clean
CLEAN	Anderson's Martial Arts Academy	NY	https://www.andersonsmartialarts.com	clean
CLEAN	Andover Jiu Jitsu	KS	https://andoverjiujitsu.com	clean
CLEAN	Andrew Pardee Brazilian Jiu-Jitsu Academy	WV	https://andrewpardeebjj.com	clean
CLEAN	Animal House FC	KS	https://www.animalhousefc.com	clean
CLEAN	Anthony Mitchell Jiu Jitsu Studio	MS	https://bigantbjj.com	clean
CLEAN	Apex Grappling Academy	NM	https://ufdeming.com/apex	clean
CLEAN	Apex Martial Arts Academy	KY	https://theapexmaa.com	clean
CLEAN	Area 502 MMA - Carlson Gracie Team	KY	https://area502mma.com/	clean
CLEAN	Arena Training Center	CA	https://www.arenastrong.com	clean
CLEAN	Ares Arizona Brazilian Jiu Jitsu	AZ	https://www.aresazbjj.com/	clean
CLEAN	Ares BJJ Academy Association	AZ	https://aresbjjphoenix.com/	clean
CLEAN	Ares BJJ Phoenix	AZ	https://aresbjjphoenix.com/	clean
CLEAN	Ares Brazilian Jiu-Jitsu Omaha	NE	https://nebraskabjj.com	clean
CLEAN	Ares Combat Training Center	OH	https://www.arescombatsportacademy.com/	clean
CLEAN	Ares East Mesa BJJ Academy	AZ	https://areseastmesabjj.com/	clean
CLEAN	Arevalo Academy	AZ	https://arevaloacademy.com/	clean
CLEAN	Arise Brazilian Jiu-Jitsu Academy	KS	https://arisebjj.org	clean
CLEAN	Arlington MMA	TX	https://arlingtonmma.com/	clean
CLEAN	Arnett's Martial Arts America	ID	https://martialartsamericaid.com	clean
CLEAN	Arroyo Grappling Academy	IA	https://arroyograppling.com	clean
CLEAN	Arsenal Brazilian Jiu Jitsu	IL	https://www.arsenalbjj.com	clean
CLEAN	Art of Movement: MMA, BJJ & Fitness	NJ	https://aommma.com/	clean
CLEAN	Art of War Jiu Jitsu	FL	https://aowjj.com	clean
CLEAN	Arte Suave Jiu Jitsu Academy	WV	https://artesuavebeckley.com	clean
CLEAN	Arts Martiaux DeRocque BJJ	QC	https://derocquebjj.com	clean
CLEAN	Arts Martiaux K2V	QC	https://www.ecolekaratebromont.com	clean
CLEAN	Arts Martiaux KJS	QC	https://www.artsmartiauxkjs.com	clean; thin JS shell, 8KB raw HTML, no keywords
CLEAN	Ascendant Martial Arts	SK	https://ascendantmartialarts.ca	clean
CLEAN	Ascension Mixed Martial Arts (Cumming)	GA	https://ascensionmma.com/	clean
CLEAN	Ascent Jiu Jitsu	IA	https://ascent-jiujitsu.com	clean
CLEAN	Ashland BJJ	OR	https://ashlandbjj.com	clean
CLEAN	Ashland Mixed Martial Art	OR	https://ashlandheroacademy.com/	clean
CLEAN	Athens BJJ	GA	https://athensbjj.com	clean
SUSPICIOUS	Athens Fitness and MMA	GA	https://sbgathens.com/	"poker" in owner bio prose; no hidden gambling links
CLEAN	Athens Jiu Jitsu	AL	https://www.ajjathens.com	clean
CLEAN	Atlantic MMA	NC	https://fightforitcompany.com/	clean
CLEAN	Atlas Jiu Jitsu	ID	https://atlas-jiujitsu.com	clean
CLEAN	Atlas Jiu Jitsu Glens Falls	NY	https://www.atlasjiujitsu.com/glenns-falls	clean
CLEAN	Atlas Jiu Jitsu Waltham	MA	https://www.atlasjiujitsu.com/waltham-massachusetts	clean
CLEAN	Atmosphere Martial Arts Academy	KY	https://www.atmospheremartialarts.com/	clean
CLEAN	Atos	CA	https://atosjiujitsuhq.com	clean
