verdict	id	region	name	url	note	source
EMPTY	11	AL	New Legacy Martial Arts Academy Fight Gym	http://www.facebook.com/newlegacymartialartsacademyathletics		verdict-1.tsv
EMPTY	24	AZ	Attitude First MMA	http://www.attitudefirst.net/		verdict-1.tsv
EMPTY	27	AZ	The Lab	http://www.mmalab.com/		verdict-1.tsv
EMPTY	33	AZ	Southwest MMA	http://southwestmma.com/		verdict-1.tsv
EMPTY	42	AZ	BJJ Social Club	http://www.bjjsocialclubaz.com		verdict-1.tsv
EMPTY	66	CA	Modern Combatives Mixed Martial Arts	http://www.moderncombatives.com/		verdict-1.tsv
EMPTY	76	CA	Alliance Jiu-Jitsu Carlsbad / BJJ Carlsbad CA 92008	http://www.alliancecarlsbad.com/home-5/		verdict-1.tsv
EMPTY	83	CA	Vital Force Muay Thai & MMA	http://www.vitalforcemma.com/		verdict-1.tsv
EMPTY	110	CA	Carlson Gracie Academy of Garden Grove	http://www.carlsongraciegardengrove.com/		verdict-1.tsv
EMPTY	124	CA	10th Planet Irvine	http://www.10thplanetmonstersquad.com/		verdict-2.tsv
EMPTY	127	CA	Lucas Leite Brazilian Jiu-Jitsu	http://www.lucasleitebjj.net/		verdict-2.tsv
EMPTY	131	CA	Royce Gracie Jiu-Jitsu Academy OC	http://www.rgjjoc.com/		verdict-2.tsv
EMPTY	171	CA	Thrive Jiu Jitsu	http://www.thrivemartialarts.com		verdict-2.tsv
EMPTY	181	CA	Riverside MMA	http://mmariverside.com/		verdict-2.tsv
EMPTY	190	CA	Boxing Club	http://theboxingclub.net/		verdict-2.tsv
EMPTY	197	CA	Cesar Gracie Jiu Jitsu	http://graciefighter.com/locations/gracie-fighter-san-francisco/		verdict-2.tsv
EMPTY	207	CA	Tribull MMA Center	http://tribullmma.typepad.com/my_weblog/		verdict-2.tsv
EMPTY	217	CA	Ralph Gracie Jiu Jitsu - Santa Clara	http://www.ralphgraciesc.com/		verdict-2.tsv
EMPTY	220	CA	West Coast Jiu-Jitsu	http://www.westcoastjiujitsu.com/martins.html		verdict-2.tsv
EMPTY	222	CA	Chris Lisciandro's Street Sports BJJ Club	http://www.brazilianjiujitsuclub.com/Welcome.html		verdict-2.tsv
EMPTY	224	CA	UFC GYM Sunnyvale	http://www.ufcgym.com/sunnyvale		verdict-2.tsv
EMPTY	227	CA	Dan Henderson's Athletic Fitness Center	http://dhfitnesscenter.com/		verdict-2.tsv
EMPTY	236	CA	Big John Mccarthy's Ultimate Training Gym	http://www.bjmuta.com/		verdict-2.tsv
EMPTY	239	CA	Elite Team Visalia Bjj	http://www.facebook.com/EliteTeamVisaliaBJJ/		verdict-2.tsv
EMPTY	244	CA	Champions Fitness Brazilian Jiu-JItsu Muay-Thai & Boxing	http://championsbjj.com/		verdict-3.tsv
UNSURE	262	CO	Tribal Society BJJ	http://www.facebook.com/TribalSocietyBJJ		verdict-3.tsv
EMPTY	269	CO	Gracie Jiu-Jitsu Colorado Springs	http://www.gjj-cs.com		verdict-3.tsv
EMPTY	276	CO	Victory MMA	http://www.coloradovictorymma.com		verdict-3.tsv
EMPTY	281	CO	Logos Jiu Jitsu	http://logosjiujitsu.com		verdict-3.tsv
EMPTY	293	CO	Total Ryu Martial Arts	http://www.ftcollinsmartialarts.com		verdict-3.tsv
EMPTY	308	CO	Infinite Jiu-Jitsu Academy	http://www.infinitejiujitsuloveland.com		verdict-3.tsv
EMPTY	314	CO	Kurusan Jiu-Jitsu & Kickboxing	http://www.kurusan.com		verdict-3.tsv
EMPTY	321	CT	Casa of Jiu Jitsu	http://www.casabjj.com/		verdict-3.tsv
EMPTY	330	CT	Northeast Elite Wrestling Center	http://northeastelitewrestling.com/		verdict-3.tsv
EMPTY	338	CT	Underdog Brazilian Jiu-Jitsu	http://www.underdogbjj.com/		verdict-3.tsv
EMPTY	344	CT	New Britain Judo and Dynamic Arts	http://www.newbritainjudo.org/		verdict-3.tsv
UNSURE	353	CT	Viana Brothers Martial Fight Club in Steel Beach Gym	http://www.facebook.com/vianabrosbjjmma		verdict-3.tsv
EMPTY	360	CT	Cruvinel Brothers Brazilian Jiujitsu / GFTeam	http://www.cruvinelbrothers.com/		verdict-3.tsv
EMPTY	361	CT	Iceman's Martial Arts Academy	http://www.icemansmartialarts.com/		verdict-4.tsv
EMPTY	362	CT	IPD Jiujitsu and Fitness	http://www.ipdct.com/		verdict-4.tsv
EMPTY	369	CT	House of Jujitsu	http://houseofjujitsu.com/		verdict-4.tsv
EMPTY	372	CT	Assembly of the Martial Arts Academy	http://www.westhavenmartialartsschools.com/		verdict-4.tsv
EMPTY	380	FL	Black Trunk Martial Arts	http://blacktrunk.net/		verdict-4.tsv
EMPTY	386	FL	ATP Brazilian Jiu Jitsu	http://www.atpbjj.com/		verdict-4.tsv
EMPTY	391	FL	DeLand Brazilian Jiu-Jitsu	http://www.delandjiujitsu.com/		verdict-4.tsv
EMPTY	417	FL	The Jupiter Jiu Jitsu Academy in Jupiter Fl	http://www.jupiterjiujitsu.com/		verdict-4.tsv
EMPTY	437	FL	Miami Beach Brazilian Jiu-Jitsu	http://www.rioheroes-jorgepereira.com		verdict-4.tsv
EMPTY	444	FL	Marcelo Pereira BJJ & MMA	http://brazilianjiujitsunaples.com/		verdict-4.tsv
EMPTY	448	FL	Vital Brothers Brazilian Jiu Jitsu	http://vitalbrothersbjj.com		verdict-4.tsv
