i	region	city	name	url
1	AZ		Attitude First MMA	http://www.attitudefirst.net/
2	AZ		The Lab	http://www.mmalab.com/
3	AZ		Southwest MMA	http://southwestmma.com/
4	AZ		BJJ Social Club	http://www.bjjsocialclubaz.com
5	CA		Modern Combatives Mixed Martial Arts	http://www.moderncombatives.com/
6	CA		Alliance Jiu-Jitsu Carlsbad / BJJ Carlsbad CA 92008	http://www.alliancecarlsbad.com/home-5/
7	CA		Vital Force Muay Thai & MMA	http://www.vitalforcemma.com/
8	CA		Carlson Gracie Academy of Garden Grove	http://www.carlsongraciegardengrove.com/
9	CA		10th Planet Irvine	http://www.10thplanetmonstersquad.com/
10	CA		Lucas Leite Brazilian Jiu-Jitsu	http://www.lucasleitebjj.net/
11	CA		Royce Gracie Jiu-Jitsu Academy OC	http://www.rgjjoc.com/
12	CA		Thrive Jiu Jitsu	http://www.thrivemartialarts.com
13	CA		Riverside MMA	http://mmariverside.com/
14	CA		Boxing Club	http://theboxingclub.net/
15	CA		Cesar Gracie Jiu Jitsu	http://graciefighter.com/locations/gracie-fighter-san-francisco/
16	CA		Tribull MMA Center	http://tribullmma.typepad.com/my_weblog/
17	CA		Ralph Gracie Jiu Jitsu - Santa Clara	http://www.ralphgraciesc.com/
18	CA		West Coast Jiu-Jitsu	http://www.westcoastjiujitsu.com/martins.html
19	CA		Chris Lisciandro's Street Sports BJJ Club	http://www.brazilianjiujitsuclub.com/Welcome.html
20	CA		UFC GYM Sunnyvale	http://www.ufcgym.com/sunnyvale
21	CA		Dan Henderson's Athletic Fitness Center	http://dhfitnesscenter.com/
22	CA		Big John Mccarthy's Ultimate Training Gym	http://www.bjmuta.com/
23	CA		Champions Fitness Brazilian Jiu-JItsu Muay-Thai & Boxing	http://championsbjj.com/
24	CO		Gracie Jiu-Jitsu Colorado Springs	http://www.gjj-cs.com
25	CO		Victory MMA	http://www.coloradovictorymma.com
26	CO		Logos Jiu Jitsu	http://logosjiujitsu.com
27	CO		Total Ryu Martial Arts	http://www.ftcollinsmartialarts.com
28	CO		Infinite Jiu-Jitsu Academy	http://www.infinitejiujitsuloveland.com
29	CO		Kurusan Jiu-Jitsu & Kickboxing	http://www.kurusan.com
30	CT		Casa of Jiu Jitsu	http://www.casabjj.com/
31	CT		Northeast Elite Wrestling Center	http://northeastelitewrestling.com/
32	CT		Underdog Brazilian Jiu-Jitsu	http://www.underdogbjj.com/
33	CT		New Britain Judo and Dynamic Arts	http://www.newbritainjudo.org/
34	CT		Cruvinel Brothers Brazilian Jiujitsu / GFTeam	http://www.cruvinelbrothers.com/
35	CT		Iceman's Martial Arts Academy	http://www.icemansmartialarts.com/
36	CT		IPD Jiujitsu and Fitness	http://www.ipdct.com/
37	CT		House of Jujitsu	http://houseofjujitsu.com/
38	CT		Assembly of the Martial Arts Academy	http://www.westhavenmartialartsschools.com/
39	FL		Black Trunk Martial Arts	http://blacktrunk.net/
40	FL		ATP Brazilian Jiu Jitsu	http://www.atpbjj.com/
41	FL		DeLand Brazilian Jiu-Jitsu	http://www.delandjiujitsu.com/
42	FL		The Jupiter Jiu Jitsu Academy in Jupiter Fl	http://www.jupiterjiujitsu.com/
43	FL		Miami Beach Brazilian Jiu-Jitsu	http://www.rioheroes-jorgepereira.com
44	FL		Marcelo Pereira BJJ & MMA	http://brazilianjiujitsunaples.com/
45	FL		Vital Brothers Brazilian Jiu Jitsu	http://vitalbrothersbjj.com
46	FL		Atos Orlando - Brazilian Jiu-Jitsu (BJJ) and Self-Defense School	http://www.atosorlando.com/
47	FL		Relson Gracie Jiu-Jitsu Academy St. Augustine	http://www.mma4florida.com/
48	FL		Carlson Gracie Winter Haven	http://www.cgwinterhaven.com/
49	GA		Raven Brazilian Jiu-Jitsu	http://ravenjiujitsu.com/contact/
50	GA		Team Kalista Martial Arts	http://teamkalistamartialarts.wodify.com/
51	GA		Fusion MMA	http://fusionfitnessandmma.com/
52	GA		Independent MMA & Fitness	http://www.independentmmafitness.com/
53	GA		Champions Training Center	http://www.ctcsavannah.com
54	GA		Tonchu Martial Arts Academy	http://www.tonchumartialarts.com/
55	GA		Thrive Jiu Jitsu & Fitness	http://www.thrivejj.com/
56	GA		American Top Team Valdosta	http://att229.com/
57	GA		KODA Academy of Martial Arts	http://www.sakurabjj.com/
58	IL		Mequinho Jiu Jitsu	http://www.downersgrovejiujitsu.com
59	IL		Arebalo Jiu Jitsu	http://arebalojiujitsu.com/
60	IL		Evolution Mixed Martial Arts Chicago - Schaumburg	http://www.evolutionmmachicago.com/
61	IL		Team Top Notch	http://www.topnotchmma.com
62	IL		Dave Strasser's Freestyle Academy of MMA	http://www.davestrasser.com/
63	LA		DiBenedetto's Karate Jiu-Jitsu	http://www.dkjla.com/
64	LA		Legacy Fitness Factory	http://legacyfitnessfactory.com/
65	LA		GB Moss Bluff	http://www.gbmossbluff.com/
66	LA		Indigo Brazilian Jiu Jitsu Sulphur	http://indigobjj.com/
67	LA		Zachary Martial Arts	http://www.zacharymartialarts.com/
68	MI		Close Quarters Combat Academy	http://www.cqcacademy.com/contact
69	MI		The Beast Academy	http://www.the-beast.com/
70	MI		East Lansing Underground Martial Arts	http://www.elunderground.com/
71	MI		Myrmidon Training Systems	http://www.myrmidontrained.com/
72	MI		Michigan Muay Thai Academy	http://www.mimuaythaiacademy.com/
73	MI		Gracie Barra Livonia	http://graciebarralivonia.com/
74	MI		Mash Gym	http://www.mashgym.com
75	MO		Cape Martial Arts	http://www.capemartialarts.com/
76	MO		Carrillo's Martial Arts	http://www.carrillosmartialarts.com/
77	MO		ES MMA and Fitness	http://esmmaandfitness.com/
78	MO		Legends MMA	http://www.legendsmmaofparkhills.com/
79	MO		Scr Fight Club	http://www.stlmuaythai.com/
80	MO		Family Martial Arts Fitness Academy	http://clickheretobook.online/nfc
81	MT		Bear Hug Jiu-Jitsu	http://www.bearhugmt.com
82	NC		G13 Brazilian Jiu Jitsu HQ US	http://g13bjj.us/hq/
83	NC		Evolution Fight Academy	http://www.evolutionfightacademy.com/
84	NC		BodyShot Combat & Fitness	http://www.bodyshotcc.com/
85	NC		Fight Flow Academy	http://fightflowmma.com/
86	NC		Basulto Academy Of Defense	http://www.wncbjj.com/
87	NJ		FastKick Martial Arts	http://www.ifastkick.com
88	NJ		Girl Fight	http://gfight.com/
89	NJ		Unity Jiu Jitsu New Jersey	http://unitybjjnj.com
90	NJ		Radji Barrett Jiu Jitsu	http://radjibarrettjiujitsu.com/
91	NJ		Hybrid Academy of Mixed Martial Arts	http://www.hybridacademymma.com/
92	NJ		Evolutionary Martial Arts	http://www.evolutionarymartialarts.com/
93	NJ		Pinelands Brazilian Jiu-Jitsu	http://pinelandsbjj.com/
94	NJ		Bill Scott BJJ Shore Academy	http://billscottbjj.com/
95	NJ		Loyalty BJJ	http://loyaltybjjnj.com/
96	NJ		Brazen Martial Arts	http://www.brazenmartialarts.com/bmablog/
97	NV		Rebel Jiujitsu	http://rebeljiujitsu.com
98	NV		Komainu/Yemaso Brazilian Jiujitsu/MMA Academy	http://jreamacademy.com
99	NV		UFC Gym Green Valley	http://ufcgym.com/greenvalley
100	NV		10th Planet Downtown	http://10thplanetdtlv.com
101	NV		Asylum Fight Team	http://www.asylumfightteam.com
102	NV		Atos Jiu Jitsu Las Vegas	http://www.atosjiujitsulv.com
103	NV		Carlson Gracie Training Center - Cavalcanti Jiu Jitsu	http://www.rcjiujitsu.com
104	NV		Drysdale Fight For Us Jiu Jitsu	http://www.drysdalefightforus.com
105	NV		Nova Uniao Las Vegas	http://www.ryukotrainingcenter.com
106	NV		Ryuko Training Center	http://www.ryukotrainingcenter.com
107	NV		SIMGO Academy	http://ckjj.com
108	NV		Syndicate Mixed Martial Arts	http://www.syndicatemmavegas.com
109	NV		Torres MMA Sport	http://www.torresmmasport.com/Contact-Us.html
110	NV		Vegas Combat	http://www.vegascombat.com
111	NV		Ares BJJ Reno	http://aresbjjreno.com
112	NV		Life Jiu Jitsu Reno	http://lifebjjreno.com
113	NY		MCF Warpath Boxing and MMA Academy	http://mcfmma.com
114	NY		Bronx Jiu-Jitsu	http://bronxjiujitsu.com
115	NY		Next Level Athletic Performance	http://www.nxtleveltraining.com
116	NY		Rockland Brazilian Jiu-Jitsu	http://www.rocklandbjj.com
117	NY		Evolution Muay Thai	http://evolutionmuaythai.com
118	NY		Brazilian Jiu Jitsu of Washington Heights	http://bjjofwashingtonheights.com
119	NY		At Jiu-Jitsu NYC	http://www.atjiujitsunyc.com
120	NY		Dark Arts Muay Thai and Brazilian Jiu Jitsu	http://darkartsroc.com
121	OH		Gotham Gym/ Savage MMA and Fitness LLC	http://gothamgym.gymmasteronline.com/
122	OH		Brown Institute	http://www.browninstitute.com/
123	OH		Buckeye Mixed Martial Arts & Fitness	http://www.buckeyemma.com/
124	OR		Invictus Defense Academy	http://invictusdefenseacademy.com/
125	OR		Anibal Lobo Jiu Jitsu	http://lobojiujitsu.com/
126	OR		Porrada Jiu Jitsu Academy	http://www.porradajiujitsu.com/
127	OR		Northwest Fighting Arts	http://nwfighting.com/
128	OR		Krav Maga Salem	http://www.kravsalem.com/schedule
129	OR		Valhalla Combat	http://valhallacombat.com/
130	PA		High Ground Jiu-Jitsu	http://highgroundbjj.com/
131	PA		Pennsylvania Combat Sports	http://www.pacombatsports.com/
132	PA		Renzo Gracie Pennsylvania	http://www.renzograciepa.com
133	PA		Alliance Pennsylvania Jiu-Jitsu	http://www.bajji.com/
134	TX		Onnit Gym MMA	http://www.onnitgymmma.com/
135	TX		Risen Jiu-Jitsu and Fitness	http://www.risenbjj.com/
136	TX		Full Contact Fight Academy	http://www.fullcontactfightacademy.com/
137	TX		JJ Machado Austin Jiujitsu	http://www.jjmachadoaustin.com/
138	TX		Campuzano Martial Arts	http://www.campuzanomartialarts.com/
139	TX		Gracie Jiu Jitsu Houston	http://www.graciejiujitsuwesthouston.com
140	TX		Henderson's Martial Arts	http://www.hendersonsma.com
141	TX		Solis Martial Arts Academy	http://www.solismartialarts.com/
142	TX		Reyes Jiu-Jitsu	http://www.reyesjiujitsu.com/
143	TX		Grappling Zone Pearland	http://www.grapplingzonepearland.com
144	TX		Eclectic Combat Systems	http://ecsmma.com/
145	TX		Marra Senki Brazilian Jiu-Jitsu	http://marrajj.com/
146	TX		Renzo Gracie Houston	http://graciebarrasugarland.com
147	TX		Ion Jiu Jitsu	http://www.ionjiujitsuandfitness.com/
148	VA		DCB MMA & Athletic Training	http://www.dcbmma.com/
149	VA		Cheeseman Martial Arts Brazilian Jiu Jitsu	http://cheesemanmartialarts.net/
150	VA		Jamerson YMCA Martial Arts: Brazilian Jiu-Jitsu & Kempo Karate	http://lynchburgkempobjj.com/
151	VA		Gustavo Machado Norfolk	http://www.gustavomachadonorfolk.com
152	VA		David Jacobs BJJ Academy	http://www.therockbjj.com
153	IN		Gracie Jiu-Jitsu Brazil	graciebrazilindiana.com
154	IN		Awesome Martial Arts Academy	awesomesportsandcamps.com
155	IN		Corral's Martial Arts Portage	teamcorral.com
156	IN		Corral's Martial Arts Schererville	teamcorral.com
157	IN		Corral’s Martial Arts	teamcorral.com
158	MA		Total Performance Sports	totalperformancesports.com
159	MA		Hudson Combat Academy	hudsoncombat.com
160	MA		Luiz Paulo Brazilian Jiu Jitsu 7th Coral Belt	luizpaulojiujitsu.com
161	MA		Combate Real School of Jiu Jitsu	combaterealjiujitsu.com
162	MA		Mena Fitness Training & Brazilian Jiu Jitsu	menafitnesstraining.com
163	MD		Ferocity Mixed Martial Arts	ferocitymmaclub.com
164	MD		Interactive Fitness Gym & MMA	interactivefitnessgym.com
165	OK		Pejak Martial Arts	pejakmartialarts.com
166	OK		Mana Martial Arts	mmaok.com
167	OK		Redline Jiu-Jitsu	redlinebjj.com
168	OK		The Forge Brazilian Jiu Jitsu	theforgebjj.com
169	OK		Quest Grappling Academy	questgrapplingacademy.com
170	OK		New Limits Academy - Mixed Martial Arts in OKC	newlimitsmma.com
171	OK		OKC Combat Sports	okccombatsports.com
172	OK		Relevant Martial Arts	relevantmartialarts.com
173	OK		Yukon Martial Arts	yukonokmartialarts.com
174	TN		Station 6 Fitness and Martial Arts	station6fitness.com
175	WA		AKA MMA & Fitness	www.arlingtonkickboxingacademy.com
176	WA		Sik-Jitsu Mixed Martial Arts	excitefight.com
177	WA		Spokane Valley Brazilian Jiu-Jitsu	www.spokanevalleybjj.com
178	WA		The Base Vancouver	vancouverjiujitsu.com
179	WA		Vancouver Elite Martial Arts	www.vancouverelitemma.com
180	WI		Gracie Barra Madison	graciebarramadison.com
181	WI		Academy Martial Arts	academynl.com
182	WI		Neutral Ground West Bend	westbendbjj.com
183	MD		Ground Control Owings Mills	groundcontrolom.com
184	WI		Leadership Academy Martial Arts and Fitness	leadershipacademyinc.com
185	WI		Gracie Barra Waunakee	graciebarramadison.com
186	WA		Burien Brazilian Jiu Jitsu	www.burienbjj.com
187	MD		Synergy Martial Arts	synergykarate.com
188	IN		Endurance Brazilian Jiu-Jitsu	endurancebjj.com
189	WA		Laercio Fernandes BJJ	www.jitzlifeandfitness.com
190	MA		Hyannis Mixed Martial Arts of Cape Cod	hyannismixedmartialarts.com
191	WI		BigWater BJJ	bigwaterbjj.com
192	MA		Mmaxout Fitness And Martial Arts	bostonfight.com
