id	risk	region	city	name	url
241	http-only	CA	Walnut	Caique Jiu Jitsu Walnut Academy	http://www.cjjwalnut.com/
242	http-only	CA	Walnut	Sampa Brazilian Jiu Jitsu Walnut	http://sampabjj.com/
243	http-only	CA	Walnut Creek	10th Planet Walnut Creek	http://www.10thplanetwalnutcreek.com
244	http-only	CA	West Covina	Champions Fitness Brazilian Jiu-JItsu Muay-Thai & Boxing	http://championsbjj.com/
245	http-only	CA	Westlake Village	Bas Rutten's Elite MMA	http://www.elitemmagym.com/
246	http-only	CA	Whittier	Tillis Brazilian Jiu Jitsu	http://www.tillisbjj.com/
247	http-only	CA	Yucaipa	Eagle Brazilian Jiu Jitsu	http://www.eaglebjj.com/
248	http-only	CO	Alamosa	Grizzly MMA	http://www.grizzlymma.com
249	http-only	CO	Arvada	The Academy of Brazilian Jiujitsu	http://www.arvadajiujitsu.com
250	http-only	CO	Aurora	Gracie Barra Saddle Rock Jiu-Jitsu	http://www.gbsaddlerock.com
251	http-only	CO	Aurora	High Altitude Martial Arts	http://www.highaltitudema.com
252	http-only	CO	Aurora	Onyx Jiu Jitsu	http://www.onyxjiujitsu21.com
253	http-only	CO	Aurora	Way of Jiu Jitsu - Aurora	http://www.wayofjiujitsu.com
254	http-only	CO	Avon	Hybrid Nation Martial Arts	http://www.avonmartialarts.com
255	http-only	CO	Avon	Inyodo Martial Arts	http://inyodomartialarts.com
256	http-only	CO	Boulder	Wolchek Academy of Martial Arts	http://mywama.com
257	http-only	CO	Broomfield	Elemental Brazilian Jiu Jitsu	http://www.elementalbjj.com
258	http-only	CO	Broomfield	Full Circle Martial Arts	http://www.fullcirclemartialarts-colorado.com
259	http-only	CO	Broomfield	Limitless Martial Arts	http://www.limitlessmartialarts.co
260	http-only	CO	Broomfield	Stars Training Center	http://www.pancrase.us
261	http-only	CO	Broomfield	Zingano Brazilian Jiu Jitsu	http://www.zinganobjj.com
262	http-only	CO	Carbondale	Tribal Society BJJ	http://www.facebook.com/TribalSocietyBJJ
263	http-only	CO	Castle Rock	Fulcrum Jiu Jitsu Academy	http://fulcrumjiujitsuacademy.com
264	http-only	CO	Centennial	Black Tie Brazilian Jiu Jitsu - Colorado	http://blacktiebjjcolorado.com
265	http-only	CO	Colorado Springs	10th Planet Colorado Springs	http://10thplanetcoloradosprings.com
266	http-only	CO	Colorado Springs	Cies MMA	http://ciesmma.com
267	http-only	CO	Colorado Springs	DC Fighters USA	http://www.dcfightersusa.com
268	http-only	CO	Colorado Springs	DICTATE Tactical Training Center	http://streetmma.net
269	http-only	CO	Colorado Springs	Gracie Jiu-Jitsu Colorado Springs	http://www.gjj-cs.com
270	http-only	CO	Colorado Springs	Iron Forged Martial Arts	http://www.ironforgedmartialarts.com
271	http-only	CO	Colorado Springs	Mercs Jiu-jitsu MMA Fitness	http://www.mercsjiujitsu.com
272	http-only	CO	Colorado Springs	Pariah MMA and Fitness	http://www.pariahmma.com
273	http-only	CO	Colorado Springs	Prime Brazilian Jiu-Jitsu	http://www.primebjj.com
274	http-only	CO	Colorado Springs	Renzo Gracie Colorado	http://www.renzograciecolorado.com
275	http-only	CO	Colorado Springs	True Martial Arts Center	http://truemartialartscenter.com
276	http-only	CO	Colorado Springs	Victory MMA	http://www.coloradovictorymma.com
277	http-only	CO	Denver	Avenge Jiu Jitsu	http://avengejiujitsu.com
278	http-only	CO	Denver	Colorado Brazilian Jiu Jitsu Satori	http://www.jiujitsucolorado.com
