id	risk	region	city	name	url
1551	scheme-less	MA	Dedham	Mo's Martial Arts	mosmartialarts.com
1598	scheme-less	MA	Revere	Revere Jiu Jitsu Center	reverejiujitsucent.wixsite.com
1729	scheme-less	OK	Jenks	Jenks Martial Arts Academy	maausa.net
1912	scheme-less	WI	Madison	MKG International Martial Arts Madison	mkgmadison.com
1808	scheme-less	WA	Edmonds	Kindred Jiu Jitsu	www.kindredjj.com
1687	scheme-less	MD	Owings Mills	Ground Control Owings Mills	groundcontrolom.com
1483	scheme-less	IN	Fort Wayne	Gracie Jiu-Jitsu Fort Wayne	graciejiu-jitsufortwayne.com
1525	scheme-less	IN	Whitestown	UFC GYM Whitestown	ufcgym.com
1558	scheme-less	MA	Fitchburg	Newaza Brazilian Jiu-Jitsu Club	newazabjj.com
1511	scheme-less	IN	Plainfield	Pollaro's Martial Arts	pollaroma.com
1791	scheme-less	WA	Auburn	Peak MMA & Fitness LLC Auburn	peakmmafitness.com
1875	scheme-less	WA	Vancouver	Inertia Brazilian Jiu Jitsu	www.inertiabjj.com
1758	scheme-less	OK	Tulsa	Primate Brazilian Jiu Jitsu	primatebjj.com
1676	scheme-less	MD	Hagerstown	Hagerstown Brazilian Jiu Jitsu Academy	hagerstownbjj.com
1735	scheme-less	OK	Mustang	Black Flag BJJ	blackflagok.com
1946	scheme-less	WI	Woodruff	Leadership Academy Martial Arts and Fitness	leadershipacademyinc.com
1779	scheme-less	TN	Knoxville	Progressive Martial Arts Academy - Knoxville	pmaoakridge.com
1930	scheme-less	WI	Rhinelander	Groundwork Grappling	groundworkgrappling.com
1615	scheme-less	MA	Uxbridge	Evolve Jiu Jitsu Training Center	massjiujitsu.com
1516	scheme-less	IN	South Bend	Gracie Jiu Jitsu South Bend	graciejiujitsusouthbend.com
1736	scheme-less	OK	Newcastle	Peaceful Warriors Black Belt Academy	oklakicks.com
1938	scheme-less	WI	Waunakee	Gracie Barra Waunakee	graciebarramadison.com
1860	scheme-less	WA	Seattle	Praxis Brazilian Jiu Jitsu	www.praxisbjj.com
1937	scheme-less	WI	Watertown	Defense Combatives DEFCOM HQ	defcomma.com
1645	scheme-less	MD	Bethesda	Danzan Ryu Jujitsu Academy	jujitsuacademy.com
1935	scheme-less	WI	Stevens Point	CWB Fight Club	cwbfightclub.com
1942	scheme-less	WI	Wauwatosa	Gracie Jiu-Jitsu Milwaukee	graciemilwaukee.com
1660	scheme-less	MD	Easton	The Lab Martial Arts and Fitness Center	thelabeaston.com
1581	scheme-less	MA	Natick	Bay State Brazilian Jiu-Jitsu	natickbjj.academy
1481	scheme-less	IN	Fishers	KruFit	krufit.com
1909	scheme-less	WI	Madison	Foundations BJJ Academy	foundationsbjj.com
1476	scheme-less	IN	Crown Point	219 Submission Academy	219submission.com
1614	scheme-less	MA	Tyngsborough	Team Flo Brazilian Jiu Jitsu (NEU BJJ affiliate)	teamflojiujitsu.com
1572	scheme-less	MA	Lenox	ZenQuest Martial Arts Center	zenquestmac.com
1795	scheme-less	WA	Bellingham	Bellingham Mixed Martial Arts	www.bellinghammma.com
1683	scheme-less	MD	Nottingham	Grapple Academy Martial Arts	perryhallmartialarts.com
1535	scheme-less	MA	Bellingham	USMMA Martial Arts and Yoga	clients.mindbodyonline.com
1820	scheme-less	WA	Issaquah	GB Issaquah	gbissaquah.com
1668	scheme-less	MD	Fort Washington	Fort Washington United	unitedmartialartsmd.com
1914	scheme-less	WI	Madison	Team Curran Madison	teamcurranmadison.com
1941	scheme-less	WI	Wauwatosa	Crossover Brazilian Jiu Jitsu Academy	crossoverbjj.com
1638	scheme-less	MD	Baltimore	Prem1er Combat Academy	prem1ercombatacademy.com
1649	scheme-less	MD	Chester	Ronin Brazilian Jiu-Jitsu	ronin-bjj.com
1851	scheme-less	WA	Seattle	Burien Brazilian Jiu Jitsu	www.burienbjj.com
1526	scheme-less	IN	Zionsville	BJJ Bushido Zionsville	bjjbushido.com
1644	scheme-less	MD	Bethesda	Ascend Institute of Martial Arts	ascendbethesda.com
1702	scheme-less	MD	Takoma Park	Capital MMA & Elite Fitness	capitalmma.com
1529	scheme-less	MA	Acton	Mass Bjj	massbjj.com
1883	scheme-less	WI	Appleton	Resurgence MMA Appleton	resurgencemma.com
1685	scheme-less	MD	Odenton	Synergy Martial Arts	synergykarate.com
1819	scheme-less	WA	Gig Harbor	Gig Harbor Mixed Martial Arts / Checkmat	gigharbormma.com
1480	scheme-less	IN	Fishers	Fishers Elite Martial Arts	fishersmartialarts.com
1842	scheme-less	WA	Poulsbo	Street Sports Poulsbo	www.streetsportspoulsbo.com
1759	scheme-less	OK	Tulsa	Sheepdog Jiu-Jitsu	sheepdogtulsa.com
1642	scheme-less	MD	Belcamp	Top Flight MMA Belcamp	topflightmma.com
1613	scheme-less	MA	Tewksbury	Fenix Brazilian Jiu Jitsu Tewksbury	fenixbjj.com
1850	scheme-less	WA	Seattle	Ballard Jiu Jitsu	ballardjj.com
1491	scheme-less	IN	Hobart	Carlson Gracie Brazilian Jiu-jitsu Team Hobart	maximgymllc.com
1574	scheme-less	MA	Leominster	Zichelle MMA BJJ & Fitness	zichellemmaandfitness.com
1589	scheme-less	MA	Northborough	Daniel Gracie Academy Northborough	danielgracieacademy.com
