id	risk	region	city	name	url
2047	https	AL	Gulf Shores	10th Planet Jiu-Jitsu Gulf Shores	https://www.facebook.com/KuzushiClubBJJGulfShores/
3738	https	ON	Toronto	Toronto Jiu Jitsu Club	https://torontojiujitsuclub.com
2601	https	FL	Fort Lauderdale	Gracie Barra Fort Lauderdale	https://graciebarra.com/fort-lauderdale-fl/
2204	https	AZ	Queen Creek	Patriot Martial Arts Academy	https://www.queencreekmartialarts.com/
2088	https	AR	Conway	Gravitas Martial Arts	https://gravitasmartialarts.com
2185	https	AZ	Phoenix	Ares BJJ	https://www.aresbjj.com/
3956	https	TN	Cookeville	Alpha Jiu-Jitsu Academy	https://www.alphajiujitsuacademy.com
2811	https	ID	Boise	Self Reliant Jiu Jitsu	https://www.selfreliantjiujitsu.com
3787	https	PA	Bloomsburg	Bloomsburg Martial Arts Academy	https://bloommma.com/
3078	https	MI	Traverse City	Significant Strikes Boxing, Jiu-Jitsu & MMA	https://significantstrikes.com/appointments
2722	https	GA	Rincon	KravHIIT Martial Arts & Fitness Academy	https://kravhiit.us/
2223	https	AZ	Tucson	The Eyrie Brazilian Jiu-Jitsu	https://www.eyriebjj.com/
2038	https	AL	Cullman	GB Cullman	https://gbcullman.com/
3883	https	RI	Jamestown	Ocean State Brazilian Jiu Jitsu	https://www.oceanstatebjj.com
3603	https	NY	Staten Island	Tiger Schulmann's Martial Arts Tottenville (Staten Island) NY	https://tsk.com/locations/ny/staten-island-tottenville
2313	https	BC	Vancouver	Gracie Barra Kerrisdale	https://gbkerrisdale.com
2954	https	KY	Paducah	Elite Martial Arts-Richmond	https://www.elitema.org/
3028	https	MD	La Plata	Southern Maryland Martial Arts & Fitness La Plata	https://smmafitness.com
2139	https	AZ	Chandler	(Muay Thai Gym) Sitan Gym Arizona LLC	https://sitangymaz.com/
3831	https	QC	Drummondville	Elite Jiu Jitsu Drummondville	https://www.elitejjd.ca
2599	https	FL	Fort Lauderdale	A & M Jiu-Jitsu	https://aandmbjj.com
2274	https	BC	Nelson	North Kootenay Martial Arts	https://northkootenaymartialarts.com
3890	https	RI	Providence	Gracie Jiu-Jitsu Providence	https://graciejiujitsuprovidence.com
2654	https	FL	Rockledge	GB Rockledge	https://graciebarra.com/rockledge-fl/
2024	https	AK	Fairbanks	Alaska Krav Maga & Fitness (BJJ program)	https://akkravmaga.com/programs/brazilian-jiu-jitsu
2958	https	KY	Somerset	Somerset Martial Arts Summer Camp & Afterschool	https://somersetmartialartsky.com/
2066	https	AL	Montgomery	NXG COMBAT SPORTS	https://nxgcombatsports.com/
3789	https	PA	Colmar	Tiger Schulmann's Mixed Martial Arts Colmar	https://tsk.com/locations/pa/colmar/
4097	https	TX	Wylie	VA Academy Jiu Jitsu	https://www.vabjj.com
2704	https	GA	Griffin	Wolfhunter Jiu Jitsu Club	https://wolfhunterjjc.com
3729	https	ON	St. Catharines	SBG Niagara	https://sbgniagara.ca
4204	https	WA	Spanaway	Logic Jiu Jitsu Spanaway	https://logicjiujitsu.club
2479	https	CA	Signal Hill	Brazilian Top Team Long Beach	https://www.bttlongbeach.com/
2382	https	CA	Glendale	GB Glendale	https://www.gbglendale.com/
3838	https	QC	Laval	Renzo Gracie Laval	https://www.gracielaval.com
3472	https	NS	Wellington	Presley BJJ	https://www.presleybjj.com
3309	https	NH	Nashua	Bazzani BJJ	https://bazzanibjj.com
2016	https	AK	Anchorage	Anchorage Brazilian Jui-Jitsu	https://www.anchoragebjj.com/
2161	https	AZ	Glendale	Pinnacle Brazilian Jiu Jitsu	https://pinnaclebjjaz.com/
3126	https	MN	White Bear Lake	Higher Ground Brazilian Jiu-Jitsu	https://www.hgbjjmn.com
3784	https	PA	Bethlehem	Tiger Schulmann's Mixed Martial Arts Bethlehem	https://tsk.com/locations/pa/bethlehem/
2244	https	BC	Campbell River	Disciple BJJ	https://www.disciplebjj.ca
2243	https	BC	Burnaby	North Burnaby Brazilian Jiu Jitsu	https://www.northburnabyjiujitsu.com
2764	https	HI	Pearl City	United BJJ Hawaii	https://unitedbjjhawaii.com
2770	https	IA	Ames	Alliance Ames Brazilian JiuJitsu	https://amesbrazilianjiu-jitsu.com
2861	https	IL	DeKalb	United Elite Mixed Martial Arts and Fitness	https://www.unitedelitemma.com/
3061	https	MI	Grand Rapids	10th Planet Jiu Jitsu Grand Rapids	https://www.10thplanetgrandrapids.com/
3734	https	ON	Thunder Bay	Thunder Valley Martial Arts	https://thundervalleymartialarts.com
2439	https	CA	Redding	Redding Ju Jitsu Academy Inc	https://www.ajjf.org/
3898	https	SC	Anderson	Renzo Gracie South Carolina	https://www.renzograciesc.com
2224	https	AZ	Tucson	Daimyo Brazilian Jiujitsu	https://daimyobjj.com
3043	https	ME	Windham	Gracie Gym Maine	https://graciegymmaine.com
3640	https	OH	Strongsville	Vanyo Martial Arts	https://www.vanyomma.com/
4025	https	TX	Fulshear	GB Fulshear	https://graciebarra.com/fulshear-tx/
2433	https	CA	Parlier	Silva BJJ Parlier CA (Aloisio Silva Affiliated Academy)	https://silvabjj.com/
2233	https	BC	Abbotsford	Genesis Martial Arts	https://www.genesismartialarts.ca
2602	https	FL	Gainesville	School of Combat Arts	https://schoolofcombatarts.com/
3182	https	MS	Ridgeland	Gracie South Jiu Jitsu Headquarters	https://graciesouth.com
4003	https	TX	Dallas	Abdias Brazilian Jiu-Jitsu	https://www.bushidostrength.com
2002	https	AB	Okotoks	Okotoks BJJ	https://okotoksbjj.com
3621	https	OH	Dayton	Dayton Brazilian Jiu Jitsu	https://daytonbrazilianjiujitsu.com/
3108	https	MN	Minneapolis	Southside Brazilian Jiu Jitsu	https://www.southsidebrazilianjiujitsu.com
3411	https	NL	St. John's	Alex Foley's Academy of Martial Arts	https://www.alexfoley.ca
3821	https	PE	Charlottetown	JM Brazilian Jiu-Jitsu	https://jmbjj.ca
3208	https	NB	Edmundston	Victory Jiu-Jitsu Edmundston	https://www.facebook.com/VictoryJJEdmundston
3523	https	NY	Brooklyn	Tiger Schulmann's Martial Arts Greenpoint (Brooklyn) NY	https://tsk.com/locations/ny/brooklyn-greenpoint
2515	https	CA	Yuba City	Ground-Up Brazilian Jiu-Jitsu Academy, LLC	https://www.gubjja.com/
3684	https	ON	Kitchener	Return of the Dragon	https://rotdma.com
3480	https	NV	Las Vegas	Alliance Jiu Jitsu Las Vegas	https://alliancejiujitsulasvegas.com
2667	https	FL	Tampa	Elevate Martial Arts South Campus (American Top Team affiliate)	https://elevatemartialartstampa.com/adult-bjj-classes-south-tampa/
3543	https	NY	Manhasset	Tiger Schulmann's Martial Arts Manhasset NY	https://tsk.com/locations/ny/manhasset
1967	https	AB	Calgary	JR Academy	https://www.jracademy.co
3584	https	NY	Queens	Tiger Schulmann's Martial Arts Bellerose (Queens) NY	https://tsk.com/locations/ny/bellerose
2063	https	AL	Mobile	Renzo Gracie Alabama	https://www.renzograciealabama.com/
3791	https	PA	Erie	Mata Leão Jiu-Jitsu	https://eriebjj.com
2512	https	CA	Willows	Willows Jiu Jitsu & MMA	https://www.willowsjiujitsumma.com/
4037	https	TX	Jarrell	Blitz Martial Arts	https://blitzmatx.com/
3872	https	QC	Sherbrooke	Three Headed Beast	https://www.sherbrookebjj.com
3940	https	SK	Moose Jaw	Control Jiu Jitsu	https://controlbjj.com
3289	https	NE	Papillion	Legacy BJJ Omaha	https://legacybjjomaha.com
2171	https	AZ	Mesa	Gracie Barra East Mesa Brazilian Jiu-Jitsu & Self-Defense	https://www.gbeastmesa.com/
3401	https	NJ	Waldwick	Jiu Jitsu North Jersey / Otimo JJ	https://otimojj.com
3015	https	MB	Thompson	WAMMA Thompson	https://wamma.site/thompson
4093	https	TX	Waco	Martial arts of Waco	https://martialartswaco.com/
2429	https	CA	Oroville	Oroville Jiu Jitsu Academy	https://orovillejiujitsu.com/
2845	https	ID	Sandpoint	North Idaho Jiu Jitsu	https://www.northidahojiujitsu.com
2081	https	AR	Bentonville	Inferno Martial Arts Bentonville	https://myinfernofitness.com
2771	https	IA	Ankeny	Elite Edge Gym Ankeny	https://eliteedgegym.com
