verdict	i	region	name	url	note
PARKED	1	AZ	Attitude First MMA	http://www.attitudefirst.net/	redirects to /lander, domain parking page
OK	2	AZ	The Lab	http://www.mmalab.com/	Phoenix AZ MMA gym, BJJ classes, schedule
DEAD	3	AZ	Southwest MMA	http://southwestmma.com/	does not load in browser
OK	4	AZ	BJJ Social Club	http://www.bjjsocialclubaz.com	Scottsdale AZ BJJ club, schedule and instructors
DEAD	5	CA	Modern Combatives Mixed Martial Arts	http://www.moderncombatives.com/	Wix placeholder, domain not connected to site
REPLACE	6	CA	Alliance Jiu-Jitsu Carlsbad / BJJ Carlsbad CA 92008	http://www.alliancecarlsbad.com/home-5/	https://alliancecarlsbad.com/
DEAD	7	CA	Vital Force Muay Thai & MMA	http://www.vitalforcemma.com/	DNS NXDOMAIN, domain no longer resolves
DEAD	8	CA	Carlson Gracie Academy of Garden Grove	http://www.carlsongraciegardengrove.com/	Squarespace account expired placeholder
PARKED	9	CA	10th Planet Irvine	http://www.10thplanetmonstersquad.com/	redirects to explorads.com parked-domain ad feed
DEAD	10	CA	Lucas Leite Brazilian Jiu-Jitsu	http://www.lucasleitebjj.net/	Squarespace account expired placeholder
OK	11	CA	Royce Gracie Jiu-Jitsu Academy OC	http://www.rgjjoc.com/	Laguna Niguel CA academy, classes and schedule
DEAD	12	CA	Thrive Jiu Jitsu	http://www.thrivemartialarts.com	loads completely blank, no content
DEAD	13	CA	Riverside MMA	http://mmariverside.com/	Wix placeholder, domain not connected to site
DEAD	14	CA	Boxing Club	http://theboxingclub.net/	loads completely blank, no content or nav
REPLACE	15	CA	Cesar Gracie Jiu Jitsu	http://graciefighter.com/locations/gracie-fighter-san-francisco/	https://www.graciefighter.com/
DEAD	16	CA	Tribull MMA Center	http://tribullmma.typepad.com/my_weblog/	Typepad shut down, redirects to Network Solutions
DEAD	17	CA	Ralph Gracie Jiu Jitsu - Santa Clara	http://www.ralphgraciesc.com/	Wix placeholder, domain not connected to site
REPLACE	18	CA	West Coast Jiu-Jitsu	http://www.westcoastjiujitsu.com/martins.html	https://www.westcoastjiujitsu.com/
REPLACE	19	CA	Chris Lisciandro's Street Sports BJJ Club	http://www.brazilianjiujitsuclub.com/Welcome.html	https://www.brazilianjiujitsuclub.com/
DEAD	20	CA	UFC GYM Sunnyvale	http://www.ufcgym.com/sunnyvale	UFC Gym 404, Sunnyvale location page gone
PARKED	21	CA	Dan Henderson's Athletic Fitness Center	http://dhfitnesscenter.com/	GoDaddy expired-domain parking lander, no price
PARKED	22	CA	Big John Mccarthy's Ultimate Training Gym	http://www.bjmuta.com/	redirects to /lander domain parking page
DEAD	23	CA	Champions Fitness Brazilian Jiu-JItsu Muay-Thai & Boxing	http://championsbjj.com/	Wix placeholder, domain not connected to site
OK	24	CO	Gracie Jiu-Jitsu Colorado Springs	http://www.gjj-cs.com	redirects to Gracie University CTC page, schedule pricing
DEAD	25	CO	Victory MMA	http://www.coloradovictorymma.com	HTTP 500 server error, site not working
OK	26	CO	Logos Jiu Jitsu	http://logosjiujitsu.com	Denver CO jiu jitsu academy, schedule address
OK	27	CO	Total Ryu Martial Arts	http://www.ftcollinsmartialarts.com	Fort Collins CO dojo, jiu jitsu and karate
HIJACK	28	CO	Infinite Jiu-Jitsu Academy	http://www.infinitejiujitsuloveland.com	redirects to demoslotjackpot.com Indonesian slots casino site
DEAD	29	CO	Kurusan Jiu-Jitsu & Kickboxing	http://www.kurusan.com	loads completely blank, no content
DEAD	30	CT	Casa of Jiu Jitsu	http://www.casabjj.com/	Cloudflare error 1001, DNS does not resolve
DEAD	31	CT	Northeast Elite Wrestling Center	http://northeastelitewrestling.com/	Cloudflare 522, origin server connection timed out
DEAD	32	CT	Underdog Brazilian Jiu-Jitsu	http://www.underdogbjj.com/	does not load in browser, renderer hangs
DEAD	33	CT	New Britain Judo and Dynamic Arts	http://www.newbritainjudo.org/	does not load in browser
PARKED	34	CT	Cruvinel Brothers Brazilian Jiujitsu / GFTeam	http://www.cruvinelbrothers.com/	GoDaddy Auctions lander, domain for sale
PARKED	35	CT	Iceman's Martial Arts Academy	http://www.icemansmartialarts.com/	GoDaddy Auctions lander, domain for sale
OK	36	CT	IPD Jiujitsu and Fitness	http://www.ipdct.com/	Tolland CT jiu jitsu and MMA, schedule
OK	37	CT	House of Jujitsu	http://houseofjujitsu.com/	redirects to Jukido Jujutsu Dojo, West Hartford CT
OK	38	CT	Assembly of the Martial Arts Academy	http://www.westhavenmartialartsschools.com/	West Haven CT martial arts academy, schedules address
