verdict	id	region	name	url	note
OK	1089	OH	Gracie Allegiance Ohio	http://www.zanesville-jiujitsu.com/	
OK	1090	OR	Integrity Martial Arts and Fitness, LLC	http://www.integritymaf.com/	
OK	1091	OR	White Panther Tae Kwon Do Boxing and Filipino Martial Arts	http://www.whitepantherastoria.com/	
OK	1092	OR	Men's JIUJITSU School	http://mensjiujitsu.com/	
EMPTY	1093	OR	Invictus Defense Academy	http://invictusdefenseacademy.com/	
OK	1094	OR	Aim High Academy Of Martial Arts	http://www.aimhighma.org/	
HIJACK	1095	OR	Kilian's Martial Arts Center	http://www.kmacoregon.com/	redirects to desatahunan.com Indonesian togel/prediksi SGP gambling site
WRONG_BUSINESS	1096	OR	EchoValor Striking & MMA Beaverton	http://www.echovalor.com	veteran storytelling podcast/music/Etsy brand, no gym
OK	1097	OR	Danzig MMA	http://www.danzigmixedmartialarts.com	
OK	1098	OR	Straight Blast Gym of Bend	http://www.sbgbend.com/	
OK	1099	OR	High Desert Martial Arts	http://www.highdesertmartialartsbend.com/	
OK	1100	OR	Ralph Gracie Brazilian Jiu-Jitsu (BJJ) - Bend	http://www.ralphgraciebend.com/	
OK	1101	OR	Sunshine Athletics	http://canbyjiujitsu.com	
OK	1102	OR	Brazilian Top Team Happy Valley	http://www.btthappyvalley.com/	
OK	1103	OR	The Coos Bay Dojo	http://www.coquilletkd.com/	
OK	1104	OR	Art Of War MMA	http://www.artofwar-mma.com/	
OK	1105	OR	Atos Jiu Jitsu Northwest	http://www.atosjiujitsunw.com/	
OK	1106	OR	Gracie Jiu Jitsu Eugene	http://graciejiujitsueugene.com/	
OK	1107	OR	Bigfoot Gym	http://www.bigfootmuaythai.com/	
OK	1108	OR	Northwest Martial Arts	http://www.nwmaacademy.com/	
OK	1109	OR	Jujitsu-Do Martial Art Center	http://jujitsu-do.com/	
OK	1110	OR	10th Planet Jiu Jitsu Grants Pass	http://www.10thplanetgrantspass.com/	
OK	1111	OR	Fabiano Scherner Brazilian Jiu Jitsu	http://www.greshamjiujitsu.com/	
EMPTY	1112	OR	Anibal Lobo Jiu Jitsu	http://lobojiujitsu.com/	
OK	1113	OR	US World Class Taekwondo	http://www.greshamtkd.com	
EMPTY	1114	OR	Porrada Jiu Jitsu Academy	http://www.porradajiujitsu.com/	
OK	1115	OR	Dynamic Martial Arts	http://www.dmapdx.com/	
OK	1116	OR	Morizi Jiu-Jitsu	http://morizijiujitsu.com/	
OK	1117	OR	Ernie Reyes World Martial Arts	http://www.erniereyes.com/	
OK	1118	OR	CTA Hillsboro Jiu Jitsu and Boxing	http://www.oregonbjj.com/	
OK	1119	OR	Academy of Modern Martial Arts	http://www.martialarts-fitness.com/invitation.php	
OK	1120	OR	Lebanon Gracie Jiu-Jitsu & Hollywood Dance Studios	http://www.hollywoodclasses.com/	
OK	1121	OR	Impact Jiu Jitsu McMinnville	http://www.impactjjmac.com/	
OK	1122	OR	Fudoshin Brazilian Jiu Jitsu	http://www.fudoshinbjj.com/	
OK	1123	OR	Lotus Academy Brazilian Jiu Jitsu	http://www.lotusacademymedford.com/	
OK	1124	OR	Medford Oregon Kung Fu & JuJitsu	http://www.medfordoregonkungfu.com/	
OK	1125	OR	Tsunami Training Center	http://tsunamitc.com/	
OK	1126	OR	Northwest Martial Arts Coos Bay	http://www.nwmacoosbay.com/	
OK	1127	OR	Grit MMA	http://gritmmallc.com/	
OK	1128	OR	Brazilian Top Team Oregon City	http://www.bttoregoncity.com/	
OK	1129	OR	Enso Jiu Jitsu	http://ensojj.com	
OK	1130	OR	The Fight System	http://thefightsystem.com/	
OK	1131	OR	Grappletown Wrestling & Jiujitsu	http://grappletown.com	
OK	1132	OR	Straight Blast Gym Portland	http://www.sbgi-pdx.com	
OK	1133	OR	Mata Leao Combat Sports	http://www.mataleaocs.com/	
OK	1134	OR	Five Rings Jiu Jitsu	http://5rjj.com/	
OK	1135	OR	Alive MMA	http://www.alivemma.com	
OK	1136	OR	Southwest Portland Martial Arts and CrossFit Hillsdale	http://www.southwestportlandmartialarts.com	
OK	1137	OR	Team Quest MMA & Fitness	http://www.tqmma.com	
EMPTY	1138	OR	Northwest Fighting Arts	http://nwfighting.com/	
OK	1139	OR	GIRLS Gym	http://www.girlsgympdx.com	
PARKED	1140	OR	Dynamic MMA	http://www.dynamicjudo.com/	HugeDomains domain-for-sale lander
OK	1141	OR	Roseburg Martial Arts Academy	http://www.roseburgmartialarts.com/	
EMPTY	1142	OR	Krav Maga Salem	http://www.kravsalem.com/schedule	
OK	1143	OR	Combat Sports Center	http://www.combatsportscenters.com	
OK	1144	OR	Zanshin Martial Arts	http://www.zanshinarts.com/	
OK	1145	OR	Salem-Keizer Brazilian Jiu-Jitsu Academy	http://www.skbjj.com/	
PARKED	1146	OR	Mt. Hood Impact Jiu Jitsu	http://www.impactmthood.com/	HugeDomains domain-for-sale lander
OK	1147	OR	Adamson Bros Jiu Jitsu Academy	http://orbjj.com/	
EMPTY	1148	OR	Valhalla Combat	http://valhallacombat.com/	
OK	1149	OR	Sherwood MUSA	http://musasherwood.com	
OK	1150	OR	Impact Jiu Jitsu Sherwood	http://impactjjsherwood.com	
OK	1151	OR	Performance Martial Arts Academy	http://pgbjj.com/	
EMPTY	1152	OR	Mendez Boxing Gym	http://www.facebook.com/mendezboxingclub/	
OK	1153	OR	Superhero Jiu Jitsu Academy	http://www.superherojj.com/	
OK	1154	OR	Salvos Training	http://salvostraining.com/	
WRONG_BUSINESS	1155	OR	CrossFit Tigard - PAW	http://www.crossfittigardpaw.com	redirects to crossfittigard.com; CrossFit/fitness gym, no martial arts programs
OK	1156	OR	River City Warriors	http://www.rivercitywarrior.com/	
