name	url	region	city	address
Gracie Barra Lethbridge	https://gblethbridge.com	AB	Lethbridge	731 30 St N Unit 10, Lethbridge, AB
Gracie Barra London	https://graciebarra.com	ON	London	1712 Hyde Park Rd #104
Gracie Barra Long Island	https://gblongisland.com	NY	New Hyde Park	24 Jericho Tpke
Gracie Barra Maple Ridge	https://gbmapleridge.com	BC	Maple Ridge	22720 Dewdney Trunk Rd, Maple Ridge, BC V2X 8S5
Gracie Barra Meridian	https://graciebarrameridian.com	ID	Meridian	68 East Fairview Ave, Meridian, ID 83642
Gracie Barra Montreal	https://gbmontreal.ca	QC	Montreal	3975 Notre-Dame O., Montreal, QC H4C 1R2
Gracie Barra Montreal-Ouest	https://gbmontrealouest.ca	QC	Montreal	14c Av. Westminster N., Montreal-Ouest, QC H4X 1Y9
Gracie Barra New Mexico	https://gbnewmexico.com	NM	Albuquerque	1504 San Pedro Dr NE, Albuquerque, NM 87110
Gracie Barra New Westminster	https://gbnewwest.com	BC	New Westminster	482 E Columbia St, New Westminster, BC V3L 3X5
Gracie Barra North Austin	https://www.gbnorthaustin.com	TX	Austin	8868 Research Blvd #608
Gracie Barra North Burnaby	https://www.gbnorthburnaby.com	BC	Burnaby	4029 Hastings Street, Burnaby, BC V5C 2J1
Gracie Barra North Orlando	https://www.northorlandobjj.com/	FL	Orlando	
Gracie Barra North Princeton Brazilian Jiu Jitsu and Self Defense	https://www.gb-northprinceton.com/north-princeton-classes	NJ	Princeton	4437 NJ-27 #1b
Gracie Barra North Salt Lake	https://gbnorthsaltlake.com	UT	North Salt Lake	76 S Orchard Dr, North Salt Lake, UT 84054
Gracie Barra Novi	https://graciebarradetroit.com/	MI	Novi	40400 Grand River Rd, Suite E
Gracie Barra Orem	https://gborem-utah.com	UT	Orem	64 State St, Orem, UT
Gracie Barra Ottawa	https://gb-ottawa.com	ON	Ottawa	250 Avenue City Centre
Gracie Barra Overland Park	https://gboverlandpark.com	KS	Overland Park	9142 W 135th St, Overland Park, KS 66221
Gracie Barra Park City	https://gbparkcity.com	UT	Park City	8178 Gorgoza Pines Rd Ste G, Park City, UT 84098
Gracie Barra Peabody	https://graciebarrapeabody.com	MA	Peabody	
Gracie Barra Peoria	https://graciebarrapeoria.com/	AZ	Peoria	20799 N 83rd Ave Ste 202
Gracie Barra Princeton	https://gbprinceton.com	NJ	Lawrenceville	
Gracie Barra Rio Rancho	https://gbriorancho.com	NM	Rio Rancho	1000 Golf Course Rd Suite 109, Rio Rancho, NM 87124
Gracie Barra Riverton	https://gbriverton.com	UT	Riverton	2936 W 12600 S Ste 1&2, Riverton, UT 84065
Gracie Barra Saint-Laurent	https://gbsaintlaurent.ca	QC	Montreal	2167 Blvd. Marcel-Laurin, Montréal, QC H4R 1K4
Gracie Barra Salt Lake City	https://gbslc.com	UT	Salt Lake City	
Gracie Barra Santa Fe	https://santafebjj.com	NM	Santa Fe	2801 Rodeo Rd, Suite A6, Santa Fe, NM 87507
Gracie Barra South Boise	https://gbsouthboise.com	ID	Boise	8958 W Ardene St, Boise, ID 83709
Gracie Barra South Portland	https://graciebarrasouthportland.com	ME	South Portland	798 Main St Suite 9B
Gracie Barra Southeast Boise	https://gbsoutheastboise.com	ID	Boise	2475 S Apple St Suite 104, Boise, ID 83706
Gracie Barra Studio City	https://gbstudiocity.com	CA	Studio City	12323 Ventura Blvd
Gracie Barra Summerville	https://gbsummerville.com	SC	Summerville	801 N. Main St, Summerville, SC 29483
Gracie Barra Texas	https://graciebarratx.com	TX	Webster	
Gracie Barra Toronto East	https://graciebarra.com	ON	Toronto	68 Railside Rd Unit B
Gracie Barra Trinity - Brazilian Jiu-Jitsu & Self Defense	https://www.tampabaymma.com/	FL	New Port Richey	8515 Old County Rd 54
Gracie Barra Tucson Jiu-Jitsu	https://gbtucson.com/	AZ	Tucson	5700 E Broadway Blvd
Gracie Barra Tyler Brazilian Jiu-Jitsu & Self Defense	https://gbtyler.com/	TX	Tyler	6371 Elkton Trail
Gracie Barra Vancouver	https://www.gbvancouver.com	BC	Vancouver	2440 Main St, Vancouver, BC V5T 3E2
