region	name	record_city	site_says
AB	Affinity Academy Nolan Hill	Calgary	Site covers Nolanridge Cres Calgary location
AB	Affinity Academy Varsity	Calgary	Site covers Crowchild Trail Varsity location
AB	Airdrie Martial Arts Centre	Airdrie	28 Gateway Drive Airdrie matches; BJJ
AB	Alliance BJJ Calgary	Calgary	BJJ academy, Deer Run Calgary address
AB	Authentic Jiu Jitsu	Calgary	BJJ school, 3616 52 Ave Calgary
AB	Bairro Brazilian Jiu-Jitsu Academy	Edmonton	BJJ academy, 10542 106 St Edmonton
AB	Bairro Martial Arts Academy South	Edmonton	Second location, 5222 86 St Edmonton
AB	Black Gold Jiu-Jitsu Academy	Spruce Grove	BJJ academy, 20 Westwind Dr Spruce Grove
AB	Black Sails Brazilian Jiu Jitsu	Edmonton	BJJ gym, 9746 54 Ave Edmonton
AB	Bravé MMA and Fitness	Edmonton	BJJ and wrestling, 10023 168 St Edmonton
AB	Complete Fitness and Martial Arts	St. Albert	40 Chisholm Ave St. Albert AB
AB	Edmonton Gracie Jiu-Jitsu	Edmonton	5637 Riverbend Road NW Edmonton AB
AB	Elite Martial Arts Calgary	Calgary	Calgary BJJ and Muay Thai academy
AB	Frontline Academy Canada	Sherwood Park	214 Sioux Road Sherwood Park, BJJ
AB	Hayabusa Training Centre	St. Albert	St. Albert AB address matches
AB	Heiho Dojo	Grande Prairie	Grande Prairie AB, BJJ and Muay Thai
AB	Ironside Martial Arts St. Albert	St. Albert	Riel Drive St. Albert address matches
AB	Jiu-Jitsu For Life Airdrie	Airdrie	46 Baysprings Way Airdrie, matches
AB	Kamikaze Punishment Foundation	Edmonton	Edmonton Fort Road address matches
AB	Limitless BJJ Edmonton	St. Albert	Grappling gym, Carnegie Dr St. Albert AB
AB	Main Quest BJJ	Calgary	BJJ academy, 1A Street SW Calgary AB
AK	AK-49 Martial Arts	Soldotna	44332 Sterling Hwy, Soldotna AK
AK	Anchorage Grappling Academy	Anchorage	Anchorage Grappling Academy, grappling classes offered
AK	Frostbite Vale-tudo	Fairbanks	Fairbanks Alaska MMA gym, BJJ classes
AK	Legacy Jiu Jitsu	Anchorage	BJJ academy, Intl Airport Rd Anchorage AK
AL	10th Planet Birmingham	Birmingham	No-gi jiu jitsu, Birmingham Alabama address listed
AL	10th Planet Jiu Jitsu Decatur	Decatur	108 Lenwood Rd SE Decatur matches
AL	ALLIANCE JIU JITSU	Huntsville	912 Winchester Rd NE, Huntsville AL
AL	American Top Team Tuscaloosa - Kickboxing, MMA, Brazilian Jiu-Jitsu and Fitness Kickboxing	Tuscaloosa	ATT Tuscaloosa Alabama, BJJ classes listed
AL	Auburn Jiu Jitsu	Auburn	BJJ school, 758 E Glenn Auburn AL
AL	Birmingham Brazilian Jiu Jitsu Spartan Fitness	Homewood	BJJ classes, 179 State Farm Pkwy Homewood
AL	Cobra BJJ	Tuscaloosa	Tuscaloosa Brazilian Jiu-Jitsu own site
AL	Cobra BJJ Chelsea	Chelsea	109 Foothills Pkwy Chelsea AL
AL	FLORENCE BRAZILIAN JIU-JITSU ACADEMY	Florence	602 Veterans Drive Florence AL, BJJ
AL	Fight Club Fitness, LLC	Birmingham	Now 10th Planet Birmingham, same city
