classification	name	region	record_city	new_city	region_change	stored_address	site_address	evidence	source
ADDRESS_ONLY	10th Planet El Paso	TX	El Paso			1491 N Lee Trevino Dr Ste. J	10854 Pelicano Dr, El Paso, TX 79935	Contact page and footer both El Paso; street move only	site
ADDRESS_ONLY	10th Planet Fredericksburg	VA	Fredericksburg			19 Baron Park Rd #101	1623A Princess Anne St, Fredericksburg, VA 22401	Page title and contact block say Fredericksburg VA; same-town move	site
ADJACENT_OK	10th Planet Jiu Jitsu Albuquerque	NM	Albuquerque			237 Eubank Blvd NE, Albuquerque, NM 87123		Stored address is in Albuquerque; note cited a same-city street	record; not re-fetched
CORRECT_CITY	10th Planet Miami	FL	Miami	Miramar		(none stored)	6315 Miramar Parkway, Miramar, FL 33023	Title, meta description and footer all Miramar FL; no Miami address on site	site
ADDRESS_ONLY	10th Planet Oceanside	CA	Oceanside			1006 Missions Ave Suite E	1791 S Oceanside Blvd, Oceanside, CA 92054	Homepage banner: New Location 1791 S Oceanside Blvd, Oceanside	site
CORRECT_CITY	303 Training Center	CO	Westminster	Arvada		(none stored)	5757 Olde Wadsworth Blvd, Arvada, CO 80002	Contact block and Google Places link Arvada; text says Olde Town Arvada location	site
CORRECT_CITY	AKF Lexington Martial Arts	KY	Nicholasville	Lexington		125 Cynthia Dr	4383 Old Harrodsburg Rd, Lexington, KY 40513	Footer contact is Lexington 40513; stale map embed still shows 125 Cynthia Dr	site
ADJACENT_OK	ALLIANCE JIU JITSU	AL	Huntsville			(none stored)	912 Winchester Rd NE, Huntsville, AL	Note's own address is in Huntsville; no competing town	record; not re-fetched
CORRECT_CITY	Kioto Brazilian Jiu Jitsu	NY	New York	Oakdale		(none stored)	96 Biltmore Ave, Oakdale, NY 11769	Header, footer and Google listing all Oakdale NY; ~50mi from New York City	site
ADJACENT_OK	Kurt Pellegrino MMA	NJ	Wall Township			2400 Belmar Blvd		Stored 2400 Belmar Blvd is in Wall Township; Manasquan is a ~4mi neighbour	record; not re-fetched
ADJACENT_OK	Kuzushi Fight Club	QC	Saint-Jerome			1085 rue Melancon, Saint-Jerome, QC		Stored address is in Saint-Jerome; note cited that city's own street	record; not re-fetched
CORRECT_CITY	Long Island MMA	NY	Lake Grove	West Babylon		(none stored)	669 Sunrise Highway, West Babylon, NY 11704	Footer HQ West Babylon; second site Long Island City; no Lake Grove location	site
ADJACENT_OK	Marcellini's Martial Arts Academy	CA	Moreno Valley			24471 Sunnymead Boulevard		Stored Sunnymead Blvd is in Moreno Valley; Riverside is the adjacent metro city	record; not re-fetched
ADJACENT_OK	Megalodon MMA	GA	Watkinsville			1071 Jamestown Blvd, Unit E-7		Stored Jamestown Blvd is in Watkinsville; Bogart is ~10mi neighbour	record; not re-fetched
CORRECT_CITY	Method BJJ	NJ	South Plainfield	Edmonton	AB	(none stored)	Edmonton, Alberta (no street address published)	Site tagged bjj edmonton throughout; Nov 2025 post: Method BJJ has closed its doors	site
CORRECT_CITY	Michigan Top Team	MI	Detroit	Southfield		(none stored)	22222 Telegraph Road, Southfield, MI 48033	Homepage contact block gives only Southfield, between 8 and 9 Mile Rd	site
RELOCATED	New Way Martial Arts Academy	MI	Shelby Charter Township	Clinton Township		48075 Van Dyke Ave	Clinton Twp, MI (no street number published)	Site: we moved from Shelby Twp into our new facility in Clinton Twp	site
ADJACENT_OK	Octo Alliance Combat Sports	MI	Grand Rapids			2035 28th St SE E		Stored 28th St SE is in Grand Rapids; Caledonia is a metro neighbour	record; not re-fetched
ADJACENT_OK	Ohana Martial Arts	IL	Waukegan			(none stored)	Grayslake, IL (per identity pass)	Grayslake ~9mi from Waukegan, same Lake County cluster; not re-fetched	note; not re-fetched
