name	url	region	city	address
Kearney Combat Sports and Fitness	https://kearneycombatsports.com	NE	Kearney	2219 Central Ave, Kearney, NE 68847
Kenny Kim BJJ	https://kennykimbjj.com/	GA	Marietta	800 Whitlock Ave
Kevin Watson Brazilian Jiu-Jitsu	https://www.kwbjj.com	NH	Dover	1200 Industrial Park Drive, Dover, NH 03820
Kiefer's Martial Arts	https://kiefersmartialarts.com	RI	Westerly	114 Granite Street Suite 3, Westerly, RI 02891
Kilo Delta BJJ and MMA	https://www.kilodeltabjjsc.com	SC	Myrtle Beach	568 George Bishop Pkwy, Myrtle Beach, SC 29579
Kingdom Jiu Jitsu	https://sites.google.com/view/kingdomjiujitsu/home	VT	Hardwick	154 VT Route 15, Hardwick, VT 05843
Kingdom Jiu Jitsu Academy	https://kingdombjj.com	NM	Carlsbad	113 S Canyon St, Carlsbad, NM 88220
Kingman Riot MMA LLC	https://kingmanriotmma.gymdesk.com/	AZ	Kingman	
Kings Combat	https://kingscombatwillyb.com/	NY	Brooklyn	
Kings Combat Fitness	https://kingscombatfitness.com	NY	Rego Park	98-120 Queens Blvd
Kings Jiu Jitsu	https://www.kingsjiujitsucruces.com	NM	Las Cruces	1001 W Picacho Ave, Ste B, Las Cruces, NM 88005
Kingsway Jiu-Jitsu	https://kingswayjiujitsu.com	TX	Austin	
Kioto BJJ Southwest	https://kiotobjjsouthwest.com/	AZ	Chandler	
Kioto Brazilian Jiu Jitsu	https://www.kiotobjj.com/	NY	New York	
Kioto Brazilian Jiu-Jitsu Chattanooga	https://www.kiotobjjchattanooga.com	TN	Chattanooga	
Knots Jiu Jitsu	https://knotsjj.ca	NB	Moncton	
Knoxville Martial Arts Academy	https://knoxmma.com	TN	Knoxville	
Knuckle Up Martial Arts	https://martialartsjacksonvillefl.com/	FL	Jacksonville	11570-8 San Jose Blvd
Kobukai Jujitsu - South Windsor	https://www.ctjujitsu.com/	CT	South Windsor	405 Sullivan Ave
Kobukan Martial Arts Academy	https://kmadojo.org/	VA	Norfolk	9563 Shore Drive
