verdict	name	region	record_city	url	note	src
OK	10th Planet El Paso	TX	El Paso	https://10thplanetelpaso.com/contact/	El Paso TX; moved to Pelicano Dr	verdict-id-1.part1.tsv
OK	10th Planet Fredericksburg	VA	Fredericksburg	https://www.10thplanetfxbg.com/	Fredericksburg VA; now Princess Anne St	verdict-id-1.part1.tsv
OK	10th Planet Georgetown	TX	Georgetown	https://10pgtx.com/	1523 Northwest Blvd Georgetown TX	verdict-id-1.part1.tsv
OK	10th Planet Jiu Jitsu Albuquerque	NM	Albuquerque	https://10pabq.com	237 Eubank Blvd NE Albuquerque matches	verdict-id-1.part1.tsv
OK	10th Planet Jiu Jitsu Beaumont	TX	Beaumont	https://www.10thplanetbeaumontjiujitsumma.com/	5925 Caswell Rd Beaumont TX matches	verdict-id-1.part1.tsv
OK	10th Planet Jiu Jitsu Chicago	IL	Chicago	https://www.10thplanetchicago.com/	Chicago IL; now 5711 N Milwaukee	verdict-id-1.part1.tsv
OK	10th Planet Jiu Jitsu Jacksonville	FL	Jacksonville	https://www.10pjax.com/	4849 Dawin Rd Jacksonville FL matches	verdict-id-1.part1.tsv
OK	10th Planet Jiu-Jitsu Omaha	NE	Bellevue	https://10thplanetomaha.com	Bellevue NE; site lists 722 Fort Crook	verdict-id-1.part2.tsv
WRONG_CITY	10th Planet Miami	FL	Miami	https://10thplanetmiami.com/	Site serves Miramar FL, not Miami	verdict-id-1.part2.tsv
OK	10th Planet Oceanside	CA	Oceanside	https://10thplanetoceanside.com	New location 1791 S Oceanside Blvd	verdict-id-1.part2.tsv
OK	10th Planet Richmond	BC	Richmond	https://www.10thplanetrichmond.ca	11151 Horseshoe Way, Richmond BC matches	verdict-id-1.part2.tsv
OK	10th Planet Torrance	CA	Torrance	https://10ptorrance.com/	Torrance CA; now 24433 Hawthorne Blvd	verdict-id-1.part3.tsv
OK	12th Street Jiu-Jitsu	AZ	Phoenix	https://12stjiujitsu.com/	1107 E Bell Rd, Phoenix AZ	verdict-id-1.part3.tsv
OK	144 Academy Jiu Jitsu/Self-Defense/Fitness	TX	Dallas	https://144academy.com/	Dallas TX; now 3406 Easy St	verdict-id-1.part3.tsv
WRONG_CITY	303 Training Center	CO	Westminster	https://www.303trainingcenter.com	Located 5757 Olde Wadsworth Blvd, Arvada CO	verdict-id-1.part3.tsv
OK	360 Defense Martial Arts (Macarra BJJ Affiliated Academy)	CT	Norwich	https://www.360defensemartialarts.com/	15 Wawecus St, Norwich CT matches	verdict-id-1.part3.tsv
OK	4S Brazilian Jiu Jitsu / Jiu-Jitsu San Diego CA 92127	CA	San Diego	https://4sbjj.com/	Names San Diego CA; no street address	verdict-id-1.part3.tsv
OK	501 BJJ & Kickboxing	AR	Conway	https://501bjj.com	2655 Donaghey Ave, Conway AR matches	verdict-id-1.part3.tsv
OK	66 JIU-JITSU	AZ	Flagstaff	https://www.66jiu-jitsu.com/	2710 N Steves Blvd, Flagstaff AZ	verdict-id-1.part3.tsv
OK	662 JiuJitsu	MS	Oxford	https://www.jiujitsuoxford.com	Address matches, Oxford MS	verdict-id-1.part4.tsv
OK	760 Jiu-Jitsu / BJJ Oceanside CA 92057	CA	Oceanside	https://760jiujitsu.com/	3320 Mission Ave, Oceanside CA	verdict-id-1.part4.tsv
OK	7th Generation Jiu Jitsu	CA	Clovis	https://www.7thgenerationbjj.com/	50 W Bullard Ave, Clovis CA	verdict-id-1.part4.tsv
OK	88 BJJ	ON	Markham	https://eighteightbjj.com	50 Anderson Ave, Markham ON	verdict-id-1.part4.tsv
OK	905 Brazilian Jiujitsu	ON	Aurora	https://905brazilianjiujitsu.com	10 Furbacher Ln, Aurora ON	verdict-id-1.part4.tsv
WRONG_CITY	925 Jiu Jitsu Club / BJJ Concord CA 94520	CA	Concord	https://www.925jiujitsu.com/	Site address is Martinez, CA	verdict-id-1.part4.tsv
OK	AACE Martial Arts Academy	ON	Pickering	https://aacemartialartsacademy.com	633 Kingston Road, Pickering ON	verdict-id-1.part4.tsv
OK	ABUNAI MMA	AZ	Avondale	https://abunaimma.com/	300 N Central Ave, Avondale AZ	verdict-id-1.part4.tsv
OK	ADG Jiu-Jitsu	TN	Smyrna	https://adgjiujitsu.com	555 Almaville Rd, Smyrna TN	verdict-id-1.part4.tsv
OK	AK-49 Martial Arts	AK	Soldotna	https://www.ak49martialarts.com/	44332 Sterling Hwy, Soldotna AK	verdict-id-1.part4.tsv
WRONG_CITY	AKF Lexington Martial Arts	KY	Nicholasville	https://akflexington.com/	Site says Lexington KY; taekwondo focus	verdict-id-1.part4.tsv
OK	ALLIANCE JIU JITSU	AL	Huntsville	https://alliancehuntsville.com/	912 Winchester Rd NE, Huntsville AL	verdict-id-1.part4.tsv
OK	AMA Fight Club	NJ	Cedar Knolls	https://www.joinamafightclub.com/	Names Cedar Knolls NJ, BJJ offered	verdict-id-1.part4.tsv
OK	Abhaya Martial Arts Academy	NS	Windsor	https://www.abhaya.ca/windsor	62 Fort Edward St, Windsor NS	verdict-id-1.part5.tsv
OK	Abmar Barbosa JJ Academy	VA	Vienna	https://www.abmarbjjacademy.com	8460 Tyco Rd, Vienna VA	verdict-id-1.part5.tsv
OK	Absolute Fight Factory	MT	Kalispell	https://www.absolutefightfactory.com	465 Ash Rd, Kalispell MT	verdict-id-1.part5.tsv
OK	Absolute Jiu-Jitsu Academy Bristol	TN	Bristol	https://absolutejj.com	107 Cox St, Bristol TN	verdict-id-1.part5.tsv
OK	Academy Jiu Jitsu	NM	Roswell	https://academyjiujitsu.net	4501 N Main St, Roswell NM	verdict-id-1.part5.tsv
WRONG_CITY	Academy Of Striking & Grappling	CA	Riverside	https://www.asgmma.com/	Site lists Moreno Valley, CA address	verdict-id-1.part5.tsv
OK	Acadia Brazilian Jiu-Jitsu	ME	Ellsworth	https://acadiabjj.com	385 High St, Ellsworth ME	verdict-id-1.part5.tsv
OK	Académie Athéna	QC	Sherbrooke	https://www.athenabjj.com	1381 Rue King E, Sherbrooke QC	verdict-id-1.part5.tsv
OK	Adapt Jiu-Jitsu	UT	Herriman	https://adaptbjj.com	Herriman UT BJJ academy	verdict-id-1.part6.tsv
OK	Advantage Jiu Jitsu	BC	Richmond	https://www.advantagejiujitsu.ca	6231 London Rd Richmond BC matches	verdict-id-1.part6.tsv
