name	region	city	url	fetch_note
Combat Sport and Fitness	NV	Sparks	https://m.facebook.com/combatsportandfitnessreno	Facebook page returned completely empty body
Combative Fighting Systems Brazilian Jiu Jitsu	CO	Peyton	https://cfsfalcon.com	Empty body, redirected to http, no content
Coosa Jiu Jitsu & Wellness	AL	Wetumpka	https://www.coosajiujitsuandwellness.com/	Now online video library, Wetumpka gym closed
Counter Point Martial Arts	OR	Hubbard	https://www.facebook.com/CPMATKD	Facebook page returned completely empty body
Criterion Jiu Jitsu	LA	Prairieville	https://www.facebook.com/people/Criterion-Jiu-Jitsu/100064091672810/	Facebook page returned completely empty body
CrowesNest BJJ	MI	White Pigeon	https://www.facebook.com/CRowesNestBJJ/	Facebook page returned completely empty body
Cultr Fight Club	NJ	Jersey City	https://www.cultrfightclub.com/brazilianjiujitsu	Page returned completely empty body
Cyclone Brazilian Jiu Jitsu	LA	Boutte	https://cyclonejj.com/	"Page reads ""Website Unavailable"", site disabled"
DE LA O Jiu-Jitsu	CA	Stanton	https://www.facebook.com/p/De-La-O-Jiu-Jitsu-Training-Center-Stanton-CA-100067935109362/	Facebook page returned completely empty body
David Kaplan Martial Arts	NY	New York	https://www.davidkaplanmartialarts.com	Body empty, only viewport meta tag
Decatur Brazilian Jiu Jitsu	IL	Forsyth	https://www.facebook.com/DecaturBJJ/	Facebook page returned completely empty body
Denver Jiu Jitsu - Rodrigo Salazar Team	CO	Denver	https://www.denverjiujitsu.com	Domain hijacked, now scraped retail spam
Different Breed MMA	TX	Lubbock	https://www.facebook.com/differentbreedmma/	Facebook page returned completely empty body
Double Five Jiu Jitsu	TX	Highland Village	https://www.doublefiveonline.com	Body empty, only viewport meta tag
DualForces 001 Brazilian Jiu-Jitsu	NC	Fayetteville	https://dualforces.com/	Now a Los Angeles creative branding studio
East West Karate and BJJ Somerset	KY	Somerset	https://www.facebook.com/eastwestmartialarts/	Facebook page returned completely empty body
Edge MMA and Fitness	CO	Denver	https://www.facebook.com/teamedgemma	Facebook page returned completely empty body
El Dorado Martial Arts	AR	El Dorado	https://www.facebook.com/people/El-Dorado-Martial-Arts/100092167328803/	Facebook page returned completely empty body
El Paso Jiujitsu / Jiu-Jitsu El Paso TX 79936	TX	El Paso	https://www.facebook.com/elpaso.jiujitsu/	Empty body returned; needs browser check
Elite Martial Arts Center	PA	Waynesboro	https://www.facebook.com/EliteFamilyMA/	Empty body returned; needs browser check
Elkhorn BJJ	NE	Elkhorn	https://www.elkhornbjj.com	Empty body returned; needs browser check
Endure Cross- Training	TX	Conroe	https://www.facebook.com/pages/category/Martial-Arts-School/Endure-Cross-Training-102074864972461/	Facebook page not readable by fetcher
Ethos Martial Arts	AZ	Queen Creek	https://ethosmartialartsaz.com/about-us/	Empty body returned; needs browser check
Evolution Jiu Jitsu	AK	Juneau	https://evojj.com/	Empty body returned; needs browser check
Evolution Jiu Jitsu Burlington	WI	Burlington	https://facebook.com/EvolutionBJJ.Burlington	Facebook page not readable by fetcher
Evolution X Martial Arts and Fitness	GA	Atlanta	https://evolutionxma.com/try-a-drop-in-class/	Page renders logo only, no content
F-5 Grappling	OK	Mustang	https://www.facebook.com/f5grappling/	Facebook page not readable by fetcher
Fight Fitness Center (FFC)	FL	Pinellas Park	https://www.fightfitnesscenter.net/	Striking only, no grappling classes listed
Fight Sports Charlotte	NC	Charlotte	https://fightsportscharlotte.com	Empty body returned; needs browser check
Fight Sports Miami	FL	Miami	https://fightsportsmiami.com/	Empty body returned; needs browser check
Finishers Jiu Jitsu	OH	Masury	https://business.facebook.com/10thplanetmasury/	Facebook page not readable by fetcher
Flawless Victory MMA	CA	Ridgecrest	https://www.facebook.com/FlawlessVictoryMma/	Facebook page not readable by fetcher
Flood City JiuJitsu	PA	Johnstown	https://www.facebook.com/Flood-City-Jiu-Jitsu-102267197991568/	Facebook page not readable by fetcher
Foley's Martial Arts	NL	Paradise	https://foleysmartialarts.com	Empty body returned; needs browser check
Forever Driven Martial Arts	LA	New Orleans	https://foreverdrivennola.com/	Taekwondo only, no grappling programs
Frankfort Martial Arts	KY	Frankfort	https://martialartsky.com/	Only kickboxing listed, no grappling classes
GB Boynton Beach	FL	Boynton Beach	https://sbgboyntonbeach.com/	SBG Boynton Beach, a different school
GB Cedar Hill	TX	Cedar Hill	https://www.gbcedarhill.com	Empty body returned; needs browser check
GB Fort Bend	TX	Sugar Land	https://gbfortbend.com/	Empty body on all fetch variants
GB Lake Charles	LA	Lake Charles	https://gblakecharles.com/	Empty body on five fetch attempts
GB Northridge	CA	Los Angeles	https://www.gbnorthridge.com/	Empty body on four fetch attempts
GB Sorrento Valley	CA	San Diego	https://gbsorrentovalleybjj.com/	Parked domain-for-sale listing, no school
GB Whittier	CA	Whittier	https://www.gbwhittier.com	ClickFunnels account paused banner on page
Gladiator Martial Arts	NC	Statesville	https://www.facebook.com/Gladiator.MartialArt/	Facebook fetch blocked, needs browser
Gladiator Sports Fitness MMA	FL	Hialeah	https://www.facebook.com/gladiatorsportsfitnessmma/	Facebook fetch blocked, needs browser
Glory Martial Arts and Fitness	NC	Sylva	https://www.facebook.com/spencerthekingfisher/	Facebook fetch blocked, needs browser
Go Hard MMA & Fitness	OR	Portland	https://www.facebook.com/Gohardmmafitness/	Facebook fetch blocked, needs browser
Golden Eagle Judo & Jiu-Jitsu	NJ	Elizabeth	https://www.facebook.com/Goldeneaglejudo/	Facebook fetch blocked, needs browser
Gracie Barra Calgary	AB	Calgary	https://graciebarracalgary.ca	Empty body on repeated fetches, no content
