name	region	city	url	fetch_note
10th Planet Boca Raton	FL	Boca Raton	https://10thplanetboca.com/	Empty body, only title tag rendered
10th Planet Corvallis	OR	Corvallis	https://www.facebook.com/10PCorvallis/	Facebook login wall, no content
10th Planet North Dallas	TX	Carrollton	https://10thplanetjjdallas.com	Domain now Indonesian gambling site
13 Jiu Jitsu	KY	Glasgow	https://www.facebook.com/13JiuJitsu	Facebook returned empty body, no content
360 Defense Martial Arts Colchester CT	CT	Colchester	https://www.facebook.com/ABDColchesterCT/	Facebook returned empty body, no content
719 Fight Team MMA	CO	Colorado Springs	https://www.facebook.com/719FightTeamMma/	Facebook login wall, no content
ATA Martial Arts - Bentonville	AR	Bentonville	https://www.tryata.com/	Taekwondo only, no grappling taught
ATA Martial Arts Jonesboro	AR	Jonesboro	https://www.jonesboroata.com/	Taekwondo only, no grappling taught
Abrecea BJJ	NJ	Bergenfield	https://www.abreceabjj.com	Site in maintenance mode, no content
Al Garza's Premier Martial Arts	TX	League City	https://algarza.com/	League City listed; no grappling shown
10th Planet Sedalia MO	MO	Sedalia	https://www.facebook.com/p/10th-Planet-Jiu-Jitsu-Sedalia-100027128487044/	Facebook returned empty body, no content
Alex Daltro Jiu-Jitsu	GA	Dacula	https://www.facebook.com/Alexdaltrojiujitsu-104683961825611	Facebook returned empty body, no content
All-American MMA Academy	PA	Lemont Furnace	https://all-american-mma-academy.business.site/	Empty body returned, no content
American Grappling	KY	Tompkinsville	https://americangrappling.org/	Now Raleigh NC grappling tournament org
American Jiu Jitsu	NJ	Newark	https://www.americanjiujitsu.com/	empty body, no page content returned
American Top Team Davie	FL	Davie	https://www.americantopteam.com/davie/	empty body twice, no content returned
American Top Team Happy Valley	PA	Pleasant Gap	https://atthappyvalleypa.com/	empty body twice, home and contact
American Top Team West Palm Beach	FL	West Palm Beach	https://attwpb.squarespace.com/	empty body returned twice, no content
Applied MMA Austin	TX	Pflugerville	https://appliedmma.com/	Domain now Chinese movie streaming site
Atlanta Kick	GA	Atlanta	https://atlantakick.com/try-free-class	striking only, no grappling
Averitt Jiu Jitsu	AZ	Flagstaff	https://averittjiujitsu.com/	empty body, no content returned twice
BJJ Revolution Park City (Malmberg Jiu-Jitsu)	UT	Park City	https://jiujitsurevolution.com	Empty body returned, no content at all
Bad Company Jiu-Jitsu	PA	Wilkes-Barre	https://www.badcompanybjj.com/	Empty body returned, no page content
Bagwell Academy of Martial Arts	CT	Milford	https://bagwellacademy.com/	Karate/taekwondo focus, MMA class, no BJJ
Baker's MMA & Fitness LLC	AZ	Surprise	http://www.bakersmmaandfitness.com/	Turkish gambling casino site, domain hijacked
Becerra Judo & Jiu-Jitsu Club / Jiu-Jitsu Garland TX 75041	TX	Garland	https://www.becerrajudo.com/	Empty body returned, no page content
Believe MMA	NJ	North Plainfield	https://believemma.com/	Redirects to expired-domain sale listing page
Bellmore Kickboxing Academy	NY	Bellmore	https://bellmorekickboxingmma.com/	Kickboxing gym, no grappling classes shown
Black Diamond Brazilian Jiu-Jitsu	NV	Reno	https://blackdiamondbjj.com/schedule	Empty body returned, no page content
Boa Brazilian Jiu Jitsu	PA	Orwigsburg	https://boa-brazilian-jiu-jitsu-llc.business.site/	Empty body, Google business.site likely retired
Bobcat MMA	OH	The Plains	https://www.starbrickbjj.com/bobcat-mma	Empty body returned, no page content
Braga Jiu-Jitsu	CA	Upland	https://braga-jiu-jitsu.business.site/	Empty body, Google business.site likely retired
Buckhead Fight Club	GA	Brookhaven	https://www.buckheadfightclub.com/	Boxing-only gym, striking only, no grappling
