verdict	name	region	city	url	note
OK	Aylmer Jiu-Jitsu and Muay-Thai	QC	Gatineau	https://www.aylmerjiujitsu.com	BJJ and Muay Thai, Gatineau address matches
WRONG_CITY	B Team Jiu Jitsu	NJ	Edison	https://www.bteamjiujitsu.com/	Redirects to Craig Jones B-Team, Austin Texas
AGGREGATOR	B7 Jiu Jitsu	NB	Woodstock	https://www.facebook.com/B7JiuJitsu	Facebook page, not school's own website
OK	BJJ Battalion	ON	Etobicoke	https://bjjbattalion.com	BJJ academy, 12 Drummond St Etobicoke
SUSPECT	BJJ Revolution Park City (Malmberg Jiu-Jitsu)	UT	Park City	https://jiujitsurevolution.com	Empty body returned, no content at all
AGGREGATOR	BJJ Revolution Team - Baton Rouge	LA	Zachary	https://www.bjjrevolutionteam.com/	Affiliation brand homepage, Williston VT office
OK	BJJ at 11th Street Dojo by Nayo Fauntes (Clois Silva)	CA	San Francisco	https://www.11thstreetdojo.com/aikido-1	San Francisco dojo, BJJ program listed
OK	BPi Fighting Systems	ID	Coeur d'Alene	https://www.bpifight.com	BJJ and MMA, Coeur d'Alene address matches
OK	BUDō Jiu-Jitsu Team Vancouver	BC	Vancouver	https://budojiujitsuteam.com	BJJ school, Vancouver named throughout site
OK	BVJJ	BC	Burnaby	https://bvjj.ca	BJJ gym, 3710 Canada Way Burnaby
SUSPECT	Bad Company Jiu-Jitsu	PA	Wilkes-Barre	https://www.badcompanybjj.com/	Empty body returned, no page content
SUSPECT	Bagwell Academy of Martial Arts	CT	Milford	https://bagwellacademy.com/	Karate/taekwondo focus, MMA class, no BJJ
OK	Bairro Brazilian Jiu-Jitsu Academy	AB	Edmonton	https://bairro.ca	BJJ academy, 10542 106 St Edmonton
OK	Bairro Martial Arts Academy South	AB	Edmonton	https://bairro.ca	Second location, 5222 86 St Edmonton
SUSPECT	Baker's MMA & Fitness LLC	AZ	Surprise	http://www.bakersmmaandfitness.com/	Turkish gambling casino site, domain hijacked
OK	Bakersfield Brazilian Jiu Jitsu / BJJ Bakersfield CA 93313	CA	Bakersfield	https://www.mattbakerbjj.com/	BJJ academy, 4308 Resnik Ct matches
OK	Balance Jiu Jitsu	MB	Winnipeg	https://www.balancebjjwinnipeg.com	BJJ academy, 1308 Portage Ave Winnipeg
OK	Bar Harbor Brazilian Jiu Jitsu	ME	Bar Harbor	https://barharborbjj.com	BJJ school, 12 Bethany Lane matches
OK	BarnYard MMA	KY	Crittenden	https://barnyardmma.com/	BJJ and MMA, 700 Violet Rd
OK	Barrie BJJ	ON	Barrie	https://705bjj.com/	BJJ academy, 571 Bayfield St Barrie
OK	Base Camp Brazilian Jiu Jitsu	CA	Mt Shasta	https://www.basecampbjj.com/	BJJ gym, 612 S Mt Shasta Blvd
WRONG_CITY	Bataille Jiu Jitsu Academy	NJ	Kinnelon	https://www.bataillejj.com/	Bloomingdale NJ, 47 Main St
OK	BattleGround Jiu-Jitsu Academy	MA	West Springfield	https://battlegroundjiujitsu.com	BJJ academy, 2260 Westfield St West Springfield
OK	Battles Jiu Jitsu	ID	Eagle	https://www.battlesjiujitsu.com	BJJ gym, 220 S Herons Flight Eagle
OK	Bayou Jiu Jitsu & Self Defense Baton Rouge	LA	Baton Rouge	https://bayoujiujitsu.us/	BJJ and judo, 9681 Airline Hwy
WRONG_CITY	Bayshore BJJ	NJ	Middletown	https://www.bayshorebjj.com/	Hazlet NJ, 1444 Route 36
OK	Be Jiu Jitsu	LA	Lafayette	https://be-jj.com	BJJ gym, 113 Clinton St Lafayette
OK	Bearclan Jiujitsu	ME	Oakland	https://bearclanjiujitsu.com	BJJ school, 826 Kennedy Memorial Oakland
OK	Beaufort MMA	SC	Beaufort	https://www.beaufortmma.com	BJJ and MMA, 2127 Boundary St
SUSPECT	Becerra Judo & Jiu-Jitsu Club / Jiu-Jitsu Garland TX 75041	TX	Garland	https://www.becerrajudo.com/	Empty body returned, no page content
NO_CITY	Bedroc MMA & Fitness	NY	Rochester	https://www.bedrocmma.com	Real MMA/judo/BJJ school, no address anywhere
OK	Believe Jiu Jitsu	SC	Moncks Corner	https://believejiujitsu.com	BJJ academy, 3514 S Live Oak matches
SUSPECT	Believe MMA	NJ	North Plainfield	https://believemma.com/	Redirects to expired-domain sale listing page
OK	Bellevue Academy of Brazilian Jiu Jitsu	NE	Bellevue	https://bellevuebjj.com	BJJ academy, 2851 Capehart Rd Bellevue
OK	Bellingham BJJ	WA	Bellingham	https://bellinghambjj.com	BJJ school in downtown Bellingham, city matches
SUSPECT	Bellmore Kickboxing Academy	NY	Bellmore	https://bellmorekickboxingmma.com/	Kickboxing gym, no grappling classes shown
OK	Bellum Brazilian Jiu Jitsu	MN	St. Paul	https://bellumbrazilianjiujitsu.com	BJJ academy, 655 Fairview Ave St Paul
OK	Bemidji BJJ	MN	Bemidji	https://www.bemidjibjj.com	BJJ club in Bemidji, city matches
OK	Bergen County Brazilian Jiu-Jitsu	NJ	Ramsey	https://www.jiujitsutrainingnj.com/	BJJ academy, Ramsey NJ named onsite
OK	Big Country - Orillia	ON	Orillia	https://bigcountryorillia.gymdesk.com	BJJ and judo, 27 West St Orillia
NO_CITY	Bill Stevens Karate	NJ	Ramsey	https://www.stevenskarate.com/brazilian-jiu-jitsu/	Ribeiro BJJ program page, no address shown
OK	Bindner Academy	ON	London	https://bindner.academy	BJJ academy, 19-1615 North Routledge London
OK	Binghamton Brazilian Jiu Jitsu	NY	Binghamton	https://broomecountymartialarts.com/	BJJ gym, 589 Conklin Rd Binghamton
OK	Birmingham Brazilian Jiu Jitsu Spartan Fitness	AL	Homewood	https://spartanfitnessmma.com/classes/Brazilian-Jiu-Jitsu	BJJ classes, 179 State Farm Pkwy Homewood
OK	Bismarck MMA	ND	Bismarck	https://bismarckmma.com	BJJ, judo, wrestling, 1418 Airport Rd
WRONG_CITY	Bitterroot Warrior Arts Corvallis	MT	Corvallis	https://www.bugoutmt.com/bitterrootwarriorarts	Body lists Hamilton and Stevensville, not Corvallis
OK	Bitterroot Warrior Arts Stevensville	MT	Stevensville	https://www.bugoutmt.com/bitterrootwarriorarts	Judo and jujitsu, Stevensville 211 Main St
OK	Bjj Québec	QC	Quebec City	https://bjjquebec.com	BJJ club, 2376 Rue Galvani Québec
OK	Black Arrow Martial Arts	MN	Brainerd	https://www.blackarrowmartialarts.com	Jiu-jitsu, 217 Washington St Brainerd MN
OK	Black Cat MMA	WV	Morgantown	https://morgantownmma.com/	BJJ and wrestling, 9500 Mall Rd Morgantown
SUSPECT	Black Diamond Brazilian Jiu-Jitsu	NV	Reno	https://blackdiamondbjj.com/schedule	Empty body returned, no page content
OK	Black Diamond Grappling Club	MO	Bevier	https://www.bevierjiujitsu.com/	BJJ club, 108 E Elvira St Bevier
OK	Black Gold Jiu-Jitsu Academy	AB	Spruce Grove	https://www.blackgoldbjj.com	BJJ academy, 20 Westwind Dr Spruce Grove
OK	Black Hills Brazilian Jiu-Jitsu	SD	Rapid City	https://www.bhbjj.com	BJJ academy, 3325 W Main Rapid City
