verdict	name	region	url	note
STRIKING_ONLY	Kings Combat	NY	https://kingscombatwillyb.com/	Muay Thai/kickboxing only; 219 South 3rd St Brooklyn
OK	Kings Combat Fitness	NY	https://kingscombatfitness.com	Brazilian Jiu Jitsu program listed; 98-120 Queens Blvd Rego Park
PARKED	Kutting Edge Jiu-Jitsu Academy	IA	https://www.kuttingedgejiujitsuacademy.com	Redirect stub routing to router.parklogic.com parking service
PARKED	Lopez Martial Arts	AZ	https://lopezjiujitsu.com/	Hostinger parked domain lander; https SSL error
OK	Magness Brazilian Jiu-Jitsu Martial Arts Academy	TX	https://magnessbjj.com/free-trial/	Free-trial path 404s; root site live, Cedar Hill TX; repointable
HIJACK	Impact Martial Arts Harrison	AR	https://impactharrison.com/uncategorized/about/	Redirects to HARUM77 Indonesian slot gambling site
OK	Imperial BJJ	MT	https://www.facebook.com/ImperialTruthBJJ	FB page live; 1131 Utah Ave, Butte MT
OK	Indiana Brazilian Jiu-Jitsu Academy	IN	https://ibjja.com	Live BJJ site; Greenwood, Indiana
OK	Infinity Arts	OH	https://www.facebook.com/InfinityArtsMartialArts/	FB page live; 61573 Moores Lane, Cambridge OH
PARKED	Inspire Brazilian Jiu Jitsu Academy	CO	https://www.inspirebjj.com	Domain for sale listing, $195 buy-it-now
OK	Iron Fist Gym	KY	https://www.facebook.com/pages/Iron-Fist-Gym/197039466976181	FB page live; 1010 Forest Ave, Maysville KY
DEAD	Iron Forge Jiu Jitsu	GA	https://www.facebook.com/IronForgeJiuJitsu/	FB page removed: content isn't available right now
OK	Ironbound Fight Club	NJ	https://www.instagram.com/ifcnewarknj_2/	IG live; Newark NJ; judo, wrestling, jiu-jitsu
OK	Island MMA Training Centre	BC	https://islandmma.com	Live site; BJJ and wrestling classes in Victoria
DEAD	JREAM Academy	NV	https://www.jreamacademy.com	Domain expired notice with ad-link lander
OK	JVLO Jiu-Jitsu	AZ	https://www.instagram.com/jvlojiujitsu/	IG live, school's own account; no city listed
DEAD	JW Brazilian Jiu-Jitsu	OH	https://jwbrazilianjiujitsu.wixsite.com/website	Wix 404, page isn't available
OK	Japanese Martial Arts Academy	MI	https://samuraidetroit.com/free-lesson	Kudo/MMA teach grappling; Plymouth MI serves Westland; free-lesson 404s
OK	Javier Blanchard Brazilian Jiu Jitsu / BJJ Anaheim CA 92801	CA	https://www.facebook.com/javierblanchardbrazilianjiujitsu/	FB live; 2139 W Lincoln Ave, Anaheim CA
OK	Joint Lock BJJ - Brazilian Jiu Jitsu	OR	https://www.facebook.com/jointlockbjj	FB live; 3113 S HWY 97, Redmond OR
HIJACK	Kaiten Mixed Martial Arts Academy	BC	https://princegeorgemma.com	Hidden block links Polish casino spam pages on domain
OK	Kame House MMA	AL	https://www.facebook.com/KameHouseMMA/	FB live; Hazel Green AL; teaches jujitsu, MMA
