region	city	name	url	hostname
AR	Malvern	Arkansas Center for Sports Science Trainin	https://www.facebook.com/ArkCenterForSportsScienceTraining	www.facebook.com
AR	Marion	Blue Collar Grappling Academy	https://www.facebook.com/bluecollargrapplingacademy870/	www.facebook.com
AR	El Dorado	El Dorado Martial Arts	https://www.facebook.com/people/El-Dorado-Martial-Arts/100092167328803/	www.facebook.com
AR	Mountain Home	Gendai Budo Jiu Jitsu-MMA-Fitness	https://arkansastraveller.wixsite.com/gendaibudoacademy	arkansastraveller.wixsite.com
AR	Lowell	Kore Brazilian Jiu-Jitsu NWA	https://www.facebook.com/koreBJJNWA/	www.facebook.com
AR	Batesville	Without Limits MMA	https://www.facebook.com/WithoutLimitsMMA/	www.facebook.com
AZ	Kingman	CARLSON GRACIE JIU JITSU AND KICKBOXING KINGMAN	https://13007.prod.live.site.mystudio.io/	13007.prod.live.site.mystudio.io
AZ	Douglas	JVLO Jiu-Jitsu	https://www.instagram.com/jvlojiujitsu/	www.instagram.com
AZ	Phoenix	Mike Burlaka's Brazilian Jiu Jitsu @Hard Knocks Gym	https://www.facebook.com/MikeBurlakaBJJ/	www.facebook.com
AZ	Flagstaff	Southside Combat Academy	https://www.facebook.com/wearesouthside/	www.facebook.com
CA	Quincy	Quincy Brazilian JiuJitsu	https://www.facebook.com/p/Quincy-Brazilian-JiuJitsu-100057115883887/	www.facebook.com
NS	Bridgewater	Team Fortitude NS	https://www.facebook.com/FortitudeJiujitsu	www.facebook.com
TX	Edinburg	Amazonas MMA & Fitness Academy	https://www.facebook.com/amazonasmma/	www.facebook.com
NV	Las Vegas	Gracie Nevada	https://gracie-nevada.business.site	gracie-nevada.business.site
NV	Reno	Ascend Jiu-Jitsu	https://cp.mystudio.io/t	cp.mystudio.io
NV	Sparks	Combat Sport and Fitness	https://m.facebook.com/combatsportandfitnessreno	m.facebook.com
CO	Colorado Springs	719 Fight Team MMA	https://www.facebook.com/719FightTeamMma/	www.facebook.com
