region	city	name	url	hostname
CA	Dana Point	GB Dana Point	https://graciebarra.com/dana-point-ca/	graciebarra.com
CA	Diamond Bar	GB Diamond Bar	https://graciebarra.com/diamond-bar-ca/	graciebarra.com
CA	Downey	Academy Jiu-Jitsu and Kickboxing / Headquarters	https://www.academyjj.com/	www.academyjj.com
CA	Downey	GB Downey	https://graciebarra.com/downey-ca/	graciebarra.com
CA	El Cajon	Silva BJJ Cajon CA (Aloisio Silva Associated Academy)	https://silvabjjacademy.com/	silvabjjacademy.com
CA	El Cajon	Trilogy Martial Arts	https://www.trilogymmagym.com/	www.trilogymmagym.com
CA	Elk Grove	Charles Gracie Jiu-Jitsu Academy Elk Grove	https://gracieelkgrove.com/	gracieelkgrove.com
CA	Encinitas	GB Encinitas	https://graciebarra.com/encinitas-ca/	graciebarra.com
CA	Escondido	GB Escondido	https://graciebarra.com/escondido-ca/	graciebarra.com
CA	Eureka	Jobu Shin Kan	https://jobushinkan.weebly.com/instructor.html	jobushinkan.weebly.com
CA	Eureka	Raiz Brazilian Jiu-Jitsu	https://www.raizbjj.net/	www.raizbjj.net
CA	Fremont	Gracie Brazilian Jiu Jitsu Fremont / Jiu-Jitsu Fremont CA 94538	https://www.graciefremont.com/	www.graciefremont.com
CA	Fresno	Jean Jacques Machado Fresno	https://jjmachadofresno.com/	jjmachadofresno.com
CA	Fresno	Royce Gracie Jiu-Jitsu Of Fresno	https://www.graciefresno.com/	www.graciefresno.com
CA	Fullerton	CSW Training Center	https://www.erikpaulson.com	www.erikpaulson.com
CA	Fullerton	GB Fullerton	https://graciebarra.com/fullerton-ca/	graciebarra.com
CA	Garden Grove	GB Garden Grove	https://www.gbgardengrove.com/	www.gbgardengrove.com
CA	Garden Grove	Nam Phan MMA Academy	https://www.iamnam.com/	www.iamnam.com
CA	Hawthorne	Pedigo Submission Fighting Los Angeles	https://www.psflosangeles.com/	www.psflosangeles.com
CA	Huntington Beach	Electric Jiu Jitsu	https://electricjiujitsu.com	electricjiujitsu.com
CA	Huntington Beach	GB Huntington Beach	https://graciebarrahb.com/	graciebarrahb.com
CA	Huntington Beach	Gracie Jiu-Jitsu Huntington Beach	https://graciejiujitsuhuntingtonbeach.com/	graciejiujitsuhuntingtonbeach.com
CA	Huntington Beach	UFC GYM Huntington Beach	https://www.ufcgym.com/locations/huntington-beach/	www.ufcgym.com
CA	Indio	Flow Academy BJJ Indio	https://flowacademybjjindio.com/	flowacademybjjindio.com
CA	Indio	Gracie Jiu-Jitsu Indio	https://gjjindio.com/	gjjindio.com
CA	Irvine	GB HQ - Irvine	https://graciebarra.com/irvine-ca/	graciebarra.com
CA	Irvine	Team Oyama MMA & Fitness	https://teamoyama.com/	teamoyama.com
CA	La Cañada Flintridge	GB La Canada Flintridge	https://graciebarra.com/la-canada-ca/	graciebarra.com
CA	La Crescenta	GB La Crescenta	https://graciebarra.com/la-canada-ca/	graciebarra.com
CA	La Palma	Gracie Jiu-Jitsu La Palma	https://www.gracielapalma.com/	www.gracielapalma.com
CA	La Quinta	Six Blades Jiu Jitsu La Quinta	https://laquintajiujitsu.com	laquintajiujitsu.com
