region	source_code	name	city	stored_w	w_present	override_w	override_file	effective_w	link_state	stored_a	a_override	suppressed	src
AB	AB	Airdrie BJJ	Airdrie	https://airdriebjj.com	Y			https://airdriebjj.com	HAS_STORED			Y	snippets/tjjm-gyms-data.liquid
AB	AB	Airdrie Martial Arts Centre	Airdrie	https://airdriemartialartscentre.ca	Y			https://airdriemartialartscentre.ca	HAS_STORED	28 Gateway Drive, Airdrie, AB T4B 0J6			snippets/tjjm-gyms-data-42.liquid
AB	AB	Jiu-Jitsu For Life Airdrie	Airdrie	https://jiujitsuforlifeairdrie.com	Y			https://jiujitsuforlifeairdrie.com	HAS_STORED	46 Baysprings Way, Airdrie, AB T4B 4C4			snippets/tjjm-gyms-data-42.liquid
AB	AB	Ground Control Academy	Ardrossan	https://groundcontrolacademy.ca	Y			https://groundcontrolacademy.ca	HAS_STORED	60 First Ave, Ardrossan, AB T8E 2A2			snippets/tjjm-gyms-data-42.liquid
AB	AB	Banff BJJ	Banff	https://banffbjj.com	Y			https://banffbjj.com	HAS_STORED			Y	snippets/tjjm-gyms-data.liquid
AB	AB	Brooks BJJ	Brooks	https://brooksbjj.com	Y			https://brooksbjj.com	HAS_STORED			Y	snippets/tjjm-gyms-data.liquid
AB	AB	101 Academy	Calgary	https://101academy.ca/	Y			https://101academy.ca/	HAS_STORED	5192 80 Ave SE, Calgary, AB			snippets/tjjm-gyms-data-42.liquid
AB	AB	101 Academy Jiu Jitsu	Calgary	https://101academyjiujitsu.com	Y		websites-2		HAS_STORED+BLANKED|RENDERS_BLANK			Y	snippets/tjjm-gyms-data.liquid
AB	AB	Affinity Academy Nolan Hill	Calgary	https://affinityacademy.ca	Y			https://affinityacademy.ca	HAS_STORED	318 Nolanridge Cres NW Unit 320, Calgary, AB T3R 1W9			snippets/tjjm-gyms-data-42.liquid
AB	AB	Affinity Academy Varsity	Calgary	https://affinityacademy.ca	Y			https://affinityacademy.ca	HAS_STORED	5403 Crowchild Trail NW Unit 215, Calgary, AB T3B 4Z1			snippets/tjjm-gyms-data-42.liquid
AB	AB	Alavanca	Calgary	https://www.alavanca.ca	Y			https://www.alavanca.ca	HAS_STORED	209 16 Ave NE, Calgary, AB T2E 1J9			snippets/tjjm-gyms-data-42.liquid
AB	AB	Alliance BJJ Calgary	Calgary	https://www.alliancebjjcalgary.com/	Y			https://www.alliancebjjcalgary.com/	HAS_STORED	Deer Run Shopping Center, 1172 137 Avenue SE, Calgary, AB T2J 6N5			snippets/tjjm-gyms-data-42.liquid
AB	AB	Alliance Jiu Jitsu Calgary	Calgary	https://alliancejiujitsucalgary.com	Y		websites-2		HAS_STORED+BLANKED|RENDERS_BLANK			Y	snippets/tjjm-gyms-data.liquid
AB	AB	Angry Monkey MMA	Calgary	https://angrymonkeymma.com	Y			https://angrymonkeymma.com	HAS_STORED			Y	snippets/tjjm-gyms-data.liquid
AB	AB	Arashi-Do Martial Arts Calgary NE Deerfoot McCall Lake	Calgary	https://arashido.com/location/calgary-deerfoot-north/	Y			https://arashido.com/location/calgary-deerfoot-north/	HAS_STORED	1120 53 Ave NE Unit 101C, Calgary, AB T2E 6N9			snippets/tjjm-gyms-data-42.liquid
AB	AB	Arashi-Do Martial Arts Calgary SE Deerfoot Douglasdale	Calgary	https://arashido.com/location/calgary-deerfoot-south-douglasdale/	Y			https://arashido.com/location/calgary-deerfoot-south-douglasdale/	HAS_STORED	252-11488 24 Street SE, Calgary, AB T2Z 4C9			snippets/tjjm-gyms-data-42.liquid
AB	AB	Arashi-Do Martial Arts Calgary SW Rutland Park	Calgary	https://arashido.com/location/calgary-south-rutland-park/	Y			https://arashido.com/location/calgary-south-rutland-park/	HAS_STORED	3130 40 Avenue SW, Calgary, AB T3E 4T2			snippets/tjjm-gyms-data-42.liquid
AB	AB	Arashi-Do Martial Arts Calgary South Acadia	Calgary	https://arashido.com/location/calgary-south-acadia/	Y			https://arashido.com/location/calgary-south-acadia/	HAS_STORED	8318 Fairmount Drive SE, Calgary, AB T2H 0Y8			snippets/tjjm-gyms-data-42.liquid
AB	AB	Arashi-Do Martial Arts Calgary West Springbank	Calgary	https://arashido.com/location/calgary-west-springbank/	Y			https://arashido.com/location/calgary-west-springbank/	HAS_STORED	250021 Mountain View Trail Bay D, Calgary, AB T3Z 3S3			snippets/tjjm-gyms-data-42.liquid
AB	AB	Authentic Jiu Jitsu	Calgary	https://authenticjiujitsu.com	Y			https://authenticjiujitsu.com	HAS_STORED	3616 52 Ave NW, Calgary, AB T2L 1V9			snippets/tjjm-gyms-data-42.liquid
AB	AB	Carlson Gracie Calgary	Calgary	https://www.carlsongraciecalgary.com	Y			https://www.carlsongraciecalgary.com	HAS_STORED	7060 Farrell Road SE Bay D, Calgary, AB T2H 0T2			snippets/tjjm-gyms-data-42.liquid
AB	AB	Champion's Creed Martial Arts North	Calgary	https://championscreed.ca	Y			https://championscreed.ca	HAS_STORED	Unit 13, 5720 Silver Springs Blvd NW, Calgary, AB T3B 4N7			snippets/tjjm-gyms-data-42.liquid
AB	AB	Champion's Creed Martial Arts South	Calgary	https://championscreed.ca/	Y			https://championscreed.ca/	HAS_STORED	119 42 Ave SW, Calgary, AB T2G 1Y2			snippets/tjjm-gyms-data-42.liquid
