result	ref	name	proposed_url	better_url	note
PASS	b10-3	Javier Blanchard Brazilian Jiu Jitsu / BJJ Anaheim CA 92801	https://www.facebook.com/javierblanchardbrazilianjiujitsu/		FB Details render 2139 W Lincoln Ave, Anaheim, CA 92801 and the bio names Jiu Jitsu under Rickson Gracie and the Machado brothers; javierblanchard.com confirmed NXDOMAIN by DNS.
PASS	b10-18	Checkmat Fresno-Roots Brazilian Jiu-Jitsu	https://www.facebook.com/rootsbjjfresno/		Page "Checkmat Fresno" lists 1835 E Dakota Ave, Fresno, CA 93726 and names a Brazilian Jiu Jitsu academy under Matheus Luna; checkmatfresno.com confirmed NXDOMAIN.
PASS	b10-26	Team Oyama MMA & Fitness	https://teamoyama.com/		Live site footer gives 16632 Hale Ave #100, Irvine, CA 92606 and (949) 250-3117; named No-Gi Jiu-Jitsu and Wrestling classes, Ron Turner on the instructor roster.
PASS_WITH_CAVEAT	b10-36	Merced Academy of Jiu Jitsu	https://www.facebook.com/mercedacademyofjiujitsu/		Details give 1725 G st Suite B, Merced, CA 95340, category Martial Arts School, but the page has no bio and no class list so BJJ rests on the page name alone.
PASS	b10-45	Flawless Victory MMA	https://www.facebook.com/FlawlessVictoryMma/		Details give 737 W Ridgecrest Blvd, Ridgecrest, CA 93555 and the bio names Brazilian Jiu Jitsu and submission grappling; fvmma.com and flawlessvictorymma.net confirmed NXDOMAIN.
PASS_WITH_CAVEAT	b10-54	Watts Brazilian Jiu-Jitsu & Muay Thai Academy	https://www.paragonsimivalley.com/		About page self-declares the former name Watts Brazilian Jiu-Jitsu and Muay Thai Academy at 4210 E Los Angeles Ave, Simi Valley, CA 93063, but it is now run by Edgar Gallegos under Paragon, not founder Dion Watts.
PASS	b10-57	DE LA O Jiu-Jitsu	https://www.facebook.com/p/De-La-O-Jiu-Jitsu-Training-Center-Stanton-CA-100067935109362/		Details give 8381 Katella Ave, Stanton, CA 90680 and (714) 527-1845, and the bio still links delaojiujitsu.com which DNS confirms is NXDOMAIN.
PASS	b10-71	Buena Vida Jiu Jitsu Academy	https://www.facebook.com/BuenaVidaJiuJitsuAcademy/		Details give 2551 Del Monte, West Sacramento, CA 95691 and the bio reads Brazilian Jiu-Jitsu Academy based out of West Sacramento California.
PASS_WITH_CAVEAT	b10-72	Gracie Jiu-Jitsu Whittier	https://graciejiu-jitsuwhittier.com/		Site is a live one-page GoDaddy build with real Gracie Combatives and BullyProof schedules but no address or phone; the Whittier tie comes from an external Nextdoor page for Gracie Jiu-Jitsu Whittier at 6723 Comstock Ave, Whittier, CA 90601, (562) 455-5691, which links this exact domain.
PASS_WITH_CAVEAT	b9-11	Grady's Family Mixed Martial Arts	https://www.facebook.com/gradysmma/		Exact name match with location shown only as Clearwater, FL 33764 (no street address or phone rendered); bio names Submission Grappling but no BJJ; gradysmma.com confirmed NXDOMAIN.
PASS_WITH_CAVEAT	b9-28	Gladiator Sports Fitness MMA	https://www.facebook.com/gladiatorsportsfitnessmma/		Details give 224 w 29 st, Hialeah, FL 33012 and (786) 304-0801, but the listed classes are Judo, kick boxing, mma and Muay Thai - Judo is the only grappling and no BJJ is named.
PASS	b9-68	GB Sebring	https://gbsebring.com/		Live site reads Gracie Barra Jiu-Jitsu Sebring, 99 Robin Avenue, Sebring, Florida 33870 with (863) 658-5689 and named Group Classes and Private Lessons.
PASS	b10-96	Gracie Humaita Conroe	https://www.facebook.com/yountbjj/		Page "Gracie Humaita - Conroe" gives 3708 West Davis Street, Suite D, Conroe, TX 77304 and (281) 883-7534; yountbjj.com and gymconroe.com confirmed NXDOMAIN.
PASS	b10-104	Amazonas MMA & Fitness Academy	https://www.facebook.com/amazonasmma/		Details give 4618 S US Highway 281, Edinburg, TX 78539 and (956) 513-8620; bio specialises in Muay Thai and Brazilian Jiu-jistu; amazonasmma.com confirmed NXDOMAIN.
PASS	b10-105	El Paso Jiujitsu / Jiu-Jitsu El Paso TX 79936	https://www.facebook.com/elpaso.jiujitsu/		Page "Alliance Jiu Jitsu El Paso" gives 11385 James Watt Dr, El Paso, TX 79936 matching the record zip, offers group private and kids Jiu Jitsu classes, and links the stored domain elpjiujitsu.com (DNS SERVFAIL, dead).
PASS_WITH_CAVEAT	b10-106	Warriors Lair MMA	https://www.facebook.com/LamarHarrisMMA/		Bio gives 8500 Dyer St Suite 20, 79904 El Paso, Texas and names a head BJJ instructor, but this is a personal-profile-style FB page for Lamar Harris rather than a business Page, so there is no verified Details block.
PASS	b10-114	Strike And Submit Martial Arts And Fitness	https://sasmartialarts.net/		Live site gives 1602 W. Stan Schlueter Loop, Killeen, TX 76549 and 254-432-8288 with a named Kids Brazilian Jiu-Jitsu in Killeen program.
PASS_WITH_CAVEAT	b10-115	Terra Leon Brazilian Jiu Jitsu	https://www.instagram.com/terra_leon_bjj/		Bio reads Terra Leon offers Brazilian Jiu Jitsu ... Located 3905 E Veterans Memorial, Killeen - it is not a G-Team page - but all 11 posts date to October 2019 and G-Team Grappling & MMA occupies the same address with its own FB now reading "Closed; online content only", so the school may be defunct.
