region	city	name	address	old_url
AL	Birmingham	Samuel Puccio Brazilian Jiu-Jitsu		https://bhmbjj.com/
AL	Calera	Calera Fitness and MMA		https://www.calerafitness.com/Calera_Fitness_%26_MMA/Home.html
AL	Daphne	Yamane Championship Mixed Martial Arts	1410 US-98 Ste D	http://www.ycmma.com/
AL	Fairhope	Port City Combat Sports	21611 AL-181 Suite B	https://www.pckickboxing.com/fairhope-schedule/
AL	Hoover	Champions Freestyle MMA & Fitness	3447 Lorna Ln	http://www.championsfreestylemma.com/
AL	Prattville	Prattville Fitness Kickboxing And MMA	2265 Cobbs Ford Rd	http://fitnesskickboxingandmmaprattville.com/
AR	El Dorado	ONE HEART DOJO		https://www.eldoradomartialarts.com/
AR	Hot Springs	Wolf's Hammer Martial Arts Academy	3907 Central Ave Ste E	https://hotspringsjiujitsu.com
AR	Jacksonville	USA Jiu-Jitsu Arkansas	820 Stone St	https://usajjarkansas.com
AR	Russellville	Martial Arts America Russellville	1704 E Parkway Dr	https://russellvilletkd.com
AZ	Chandler	Courage Honor Strength Brazilian Jiu-Jitsu	3155 N Nevada St #1	http://www.chsbjj.com/
AZ	Chandler	The Desert Dojo		https://thedesertdojo.com/
AZ	Glendale	Attitude First MMA	20633 N 39th Ave	http://www.attitudefirst.net/
AZ	Glendale	Black Flag Jiu-Jitsu Club	6960 N 57th Dr	http://www.blackflagjiujitsuclub.com/
AZ	Glendale	Black Flag Submission Co.		https://www.blackflagsubco.com/
AZ	Glendale	Cannon Brazilian Jiu-Jitsu	3830 W Pinnacle Peak Rd Ste 107	https://www.cannonbjj.net/
AZ	Goodyear	Knockout Fitness	13215 W Mcdowell Rd Ste D1/2	http://knockoutfitness.com
AZ	Green Valley	Dominate Fitness and MMA	630 W Ward Ln	http://www.dominatefitnessmma.com/
AZ	Kingman	Deets Jiu Jitsu Academy	2364 E Northern Ave	http://www.gladiatorunderground.com/
AZ	Lake Havasu City	Bridge City Combat	2143 McCulloch Blvd N Unit B	http://aaeamerica.com/
AZ	Mesa	Ruffhouse Jiu-Jitsu	1305 W. Guadalupe Rd	http://www.ruffhousejiujitsumesa.com/
AZ	Mesa	Southwest Judo Academy	145 W Broadway Rd Ste 8	http://www.southwestjudo.com
AZ	Mesa	Southwest MMA	1731 West Baseline Rd	http://southwestmma.com/
AZ	Mesa	Union Combat Academy	3820 E Main St	http://www.unioncombat.com/
AZ	Oro Valley	GB Oro Valley	1930 E Tangerine Rd #190	https://graciebarra.com/oro-valley-az/
AZ	Peoria	Allied Jiu Jitsu	10100 W Lake Pleasant Pkwy Ste 1300	http://alliedjiujitsu.com
AZ	Peoria	Gracie Peoria	10250 N 91st Ave Ste A-101	http://www.graciepeoria.com
AZ	Phoenix	Checkmat Phoenix		https://mkbjj.com/
AZ	Phoenix	Fury Brazilian Jiu Jitsu		https://www.furybjj.com/
AZ	Scottsdale	Gracie Jiu-Jitsu Scottsdale	7901 E Thomas Rd	http://graciescottsdale.com/
AZ	Sedona	Warrior Tribe	2035 Contractors Rd #5	http://www.sedonaselfdefense.com/
AZ	Sierra Vista	Flow Game Gym	1299 East Fry Blvd; Suite A	http://www.flowgamegym.org/
AZ	Tempe	American Pankration Fighting MMA	1310 E Broadway Rd #103	http://www.americanpankration.net/
AZ	Tempe	Dragon-Snake MMA & Fitness	425 S McClintock Dr #3	http://dragonsnakemma.com/
AZ	Tucson	Always Forward Jiu-Jitsu Academy	2500 N Silverbell Rd Suite 140	http://www.alwaysforwardjiujitsu.com/
AZ	Tucson	Daimyo Brazilian Jiujitsu	2840 W Ina #136	https://daimyobjj.com
AZ	Tucson	TeckHit Boxing, Kickboxing, & MMA Gym	8049 E Lakeside Pkwy Unit 210	https://teckhit.com/
BC	Abbotsford	Pacific Top Team Abbotsford	2427 Pauline Street, Abbotsford, BC	https://pttabbotsford.com
