verdict	region	city	name	new_url	evidence
FOUND	AL	Birmingham	Samuel Puccio Brazilian Jiu-Jitsu	https://www.samuelpucciobjj.com/	Birmingham, Alabama at 619 Robert Jemison Road
UNSURE	AL	Calera	Calera Fitness and MMA	https://calerafitness.com/	Root of old domain live; Rick Anderson bio, no address
FOUND	AL	Daphne	Yamane Championship Mixed Martial Arts	https://www.championshipmixedmartialarts.com/	1410 US HWY 98, Suite D, Daphne, Alabama 36526
FOUND	AL	Fairhope	Port City Combat Sports	https://portcitycombatsports.com/port-city-combat-sports-fairhope/	21611 AL-181 Suite B, Fairhope, AL 36532
UNSURE	AL	Hoover	Champions Freestyle MMA & Fitness	https://www.facebook.com/championscagemma	Facebook page titled Champions Freestyle MMA Hoover AL; body unreadable
UNSURE	AL	Prattville	Prattville Fitness Kickboxing And MMA	https://www.facebook.com/prattvillemmaandfitnesskickboxing/	Facebook page for Prattville gym; no live website found
FOUND	AR	El Dorado	ONE HEART DOJO	https://oneheartdojo.net/	828 West 14th Street, El Dorado, Arkansas, 71730
CLOSED	AR	Hot Springs	Wolf's Hammer Martial Arts Academy		Own Facebook page announced closing; last classes held
NOT_FOUND	AR	Jacksonville	USA Jiu-Jitsu Arkansas		no current site found
FOUND	AR	Russellville	Martial Arts America Russellville	https://www.russellvillemaa.com/	Russellville Martial Arts America, academy serving Russellville
UNSURE	AZ	Chandler	Courage Honor Strength Brazilian Jiu-Jitsu	https://adamanance.wixsite.com/chsbjj	Own Wix site, Chandler AZ, but older address 3002 N Arizona
NOT_FOUND	AZ	Chandler	The Desert Dojo		no current site found
FOUND	AZ	Glendale	Attitude First MMA	https://attitudefirst.com/	3530 W. Yorkshire Drive, Glendale, Az 85308
FOUND	AZ	Glendale	Black Flag Jiu-Jitsu Club	https://www.blackflagsubco.com/	Renamed Black Flag Submission Co., same 6960 N 57th Dr Glendale
NOT_FOUND	AZ	Glendale	Black Flag Submission Co.		no current site found
NOT_FOUND	AZ	Glendale	Cannon Brazilian Jiu-Jitsu		no current site found
FOUND	AZ	Goodyear	Knockout Fitness	https://knockout-fitness.com/arizona/	13215 W. McDowell Road, Suite D1, Goodyear, AZ 85395
NOT_FOUND	AZ	Green Valley	Dominate Fitness and MMA		no current site found
NOT_FOUND	AZ	Kingman	Deets Jiu Jitsu Academy		no current site found
UNSURE	AZ	Lake Havasu City	Bridge City Combat	https://www.facebook.com/bridgecitycombat/	Facebook page, Lake Havasu City AZ; no website, body unreadable
NOT_FOUND	AZ	Mesa	Ruffhouse Jiu-Jitsu		no current site found
UNSURE	AZ	Mesa	Southwest Judo Academy	https://www.facebook.com/SouthwestJudoAcademyArizona/	Facebook page for Mesa AZ judo academy; body unreadable
NOT_FOUND	AZ	Mesa	Southwest MMA		no current site found
FOUND	AZ	Mesa	Union Combat Academy	https://unioncombatacademy.com/	premier martial arts training in the heart of Mesa, Arizona
FOUND	AZ	Oro Valley	GB Oro Valley	https://graciebarraorovalley.com/	Explore Brazilian Jiu-Jitsu at Gracie Barra Oro Valley
NOT_FOUND	AZ	Peoria	Allied Jiu Jitsu		no current site found
NOT_FOUND	AZ	Peoria	Gracie Peoria		no current site found
NOT_FOUND	AZ	Phoenix	Checkmat Phoenix		no current site found
NOT_FOUND	AZ	Phoenix	Fury Brazilian Jiu Jitsu		no current site found
UNSURE	AZ	Scottsdale	Gracie Jiu-Jitsu Scottsdale	https://graciejiujitsuphoenix.com/	Successor site lists two Phoenix locations, not Scottsdale address
NOT_FOUND	AZ	Sedona	Warrior Tribe		no current site found
NOT_FOUND	AZ	Sierra Vista	Flow Game Gym		no current site found
NOT_FOUND	AZ	Tempe	American Pankration Fighting MMA		no current site found
NOT_FOUND	AZ	Tempe	Dragon-Snake MMA & Fitness		no current site found
NOT_FOUND	AZ	Tucson	Always Forward Jiu-Jitsu Academy		no current site found
NOT_FOUND	AZ	Tucson	Daimyo Brazilian Jiujitsu		no current site found
NOT_FOUND	AZ	Tucson	TeckHit Boxing, Kickboxing, & MMA Gym		no current site found
NOT_FOUND	BC	Abbotsford	Pacific Top Team Abbotsford		no current site found
NOT_FOUND	BC	Prince Rupert	Muscle Panda MMA		no current site found
FOUND	BC	Richmond	Gracie Barra Richmond Steveston	https://graciebarra.com/richmond-steveston-bc/	12211 First Ave, #340, Richmond, BC V7E 3M3, Canada
NOT_FOUND	BC	Richmond	Way Of BJJ Training Studio		no current site found
FOUND	CA	Arcadia	SCHOOL Brazilian Jiu-Jitsu Arcadia	https://schoolbjj.com/	24 W St Joseph St. Arcadia, CA 91007
NOT_FOUND	CA	Bakersfield	Eric Nolan’s Xtreme Training Center		no current site found
UNSURE	CA	Berkeley	Bay Jiu-Jitsu / BJJ Berkeley CA 94704	https://www.bayjiujitsu.com/	Same gym as baycombat, but site lists Mill Valley, San Francisco
NOT_FOUND	CA	Berkeley	Modern Combatives Mixed Martial Arts		no current site found
NOT_FOUND	CA	Brentwood	Ares BJJ Brentwood		no current site found
NOT_FOUND	CA	Brentwood	Ricardo Barros Brazilian Jiu-Jitsu		no current site found
NOT_FOUND	CA	Carlsbad	Gracie Jiu Jitsu Carlsbad and San Marcos		no current site found
NOT_FOUND	CA	Chino	Vital Force Muay Thai & MMA		no current site found
CLOSED	CA	Costa Mesa	UFC GYM Costa Mesa		UFC GYM costa-mesa page now redirects to Huntington Beach location
NOT_FOUND	CA	Culver City	Abrigo Martial Arts		no current site found
NOT_FOUND	CA	Dana Point	GB Dana Point		no current site found
NOT_FOUND	CA	East Los Angeles	Scorpion MMA (Aloisio Silva Associated Academy)		no current site found
NOT_FOUND	CA	Foster City	Fearless Fitness		no current site found
NOT_FOUND	CA	Garden Grove	Carlson Gracie Academy of Garden Grove		no current site found
NOT_FOUND	CA	Harbor City	Royce Gracie Jiu Jitsu Academy SoCal		no current site found
UNSURE	CA	Hayward	Hayward BJJ Darcio Lira	https://www.facebook.com/sparkmartialarts	Darcio Lira affiliate page links Hayward, CA to Spark Martial Arts
NOT_FOUND	CA	Inglewood	wolfpac combat ju-jitsu		no current site found
