name	stored_url	stored_host	alt_host	original_verdict	original_note
Mid Shore Martial Arts	fitnessrxworkout.com	fitnessrxworkout.com	www.fitnessrxworkout.com	WRONG_BUSINESS	Fitness Rx 24/7 gym, kids karate only
Midwest Judo & Jujitsu Club	http://www.midwestjudo.com	www.midwestjudo.com	midwestjudo.com	PARKED	HugeDomains domain-for-sale lander
Miller's Martial Arts Academy	www.mmaa.com	www.mmaa.com	mmaa.com	HIJACK	Injected pharma spam links in testimonials
Mix-It-Up Kickboxing & Brazilian Jiu-Jitsu	http://www.mixitupacademy.com	www.mixitupacademy.com	mixitupacademy.com	WRONG_BUSINESS	Spanish language school in Gran Canaria, Spain
Mmaxout Fitness And Martial Arts	bostonfight.com	bostonfight.com	www.bostonfight.com	HIJACK	now Chinese sports-betting spam page with gamb
Mountain Warrior Academy Of Martial Arts (Impact JJ)	https://www.mwama.com/	www.mwama.com	mwama.com	PARKED	HugeDomains for-sale lander
Mt. Hood Impact Jiu Jitsu	http://www.impactmthood.com/	www.impactmthood.com	impactmthood.com	PARKED	HugeDomains domain-for-sale lander
Murfreesboro BJJ	https://murfreesborobjj.com	murfreesborobjj.com	www.murfreesborobjj.com	PARKED	GoDaddy/Afternic lander, no price shown
Myrmidon Training Systems	http://www.myrmidontrained.com/	www.myrmidontrained.com	myrmidontrained.com	PARKED	redirects to /lander domain parking page
NH BJJ	https://nhbjj.com	nhbjj.com	www.nhbjj.com	PARKED	GoDaddy/Afternic for-sale lander
Neutral Grounds	https://www.bjjtexas.com	www.bjjtexas.com	bjjtexas.com	PARKED	GoDaddy for-sale lander, $399
New Vision Academy of Jiu Jitsu	nvajj.com	nvajj.com	www.nvajj.com	HIJACK	Indonesian slot/casino site, She777 APK
Oc Jiu-Jitsu & Mixed Martial Arts	http://www.ocjj.com/	www.ocjj.com	ocjj.com	PARKED	GoDaddy domain-for-sale lander ($22,999)
Odyssey MMA	http://www.odysseymma.com/	www.odysseymma.com	odysseymma.com	WRONG_BUSINESS	Odyssey MMA of South Amboy, NJ
Onnit Gym MMA	http://www.onnitgymmma.com/	www.onnitgymmma.com	onnitgymmma.com	WRONG_BUSINESS	redirects to 10th Planet Austin, different sch
Patriot Sports and Fitness	http://www.patriotsportsandfitness.com	www.patriotsportsandfitness.com	patriotsportsandfitness.com	WRONG_BUSINESS	redirects to Stronger Fighter MMA in Round Roc
Peak MMA & Fitness LLC Auburn	peakmmafitness.com	peakmmafitness.com	www.peakmmafitness.com	HIJACK	redirects to HUBET Vietnamese casino/sportsboo
Pejak Martial Arts	pejakmartialarts.com	pejakmartialarts.com	www.pejakmartialarts.com	HIJACK	redirects to Babe88 Indonesian slot gambling s
Pinelands Brazilian Jiu-Jitsu	http://pinelandsbjj.com/	pinelandsbjj.com	www.pinelandsbjj.com	PARKED	redirects to /lander domain parking page
Precision Movement	www.precisionmovement.org	www.precisionmovement.org	precisionmovement.org	WRONG_BUSINESS	massage therapy / Reformer Pilates studio, not
Private Jewels Fitness	privatejewelsfitness.com	privatejewelsfitness.com	www.privatejewelsfitness.com	HIJACK	Redirects to PGBET Indonesian slot gambling
Progressive Jiu Jitsu MMA and Fitness	projj.com	projj.com	www.projj.com	PARKED	HugeDomains for-sale lander
Quest Grappling Academy	questgrapplingacademy.com	questgrapplingacademy.com	www.questgrapplingacademy.com	PARKED	redirects to slider.com domain search parking 
RYSE Academy of Martial Arts	rysemma.com	rysemma.com	www.rysemma.com	HIJACK	Chinese-language SEO spam/industrial portal no
Relevant Martial Arts	relevantmartialarts.com	relevantmartialarts.com	www.relevantmartialarts.com	PARKED	GoDaddy Auctions lander, domain for sale
Renzo Gracie Pittsburgh	http://www.renzograciepittsburgh.com/	www.renzograciepittsburgh.com	renzograciepittsburgh.com	HIJACK	Indonesian gambling site DAUN123 (slots/togel)
Resolution Jiu Jitsu	http://www.resolutionjiujitsu.com/	www.resolutionjiujitsu.com	resolutionjiujitsu.com	PARKED	HugeDomains domain-for-sale lander
Reyes Jiu-Jitsu	http://www.reyesjiujitsu.com/	www.reyesjiujitsu.com	reyesjiujitsu.com	PARKED	HugeDomains listing, for sale at $2,995
Ricardo Barros Brazilian Jiu-Jitsu	http://www.rbbjj.com/	www.rbbjj.com	rbbjj.com	PARKED	Market Muscles host placeholder - Website Unav
Ring Sports United	ringsportsunited.com	ringsportsunited.com	www.ringsportsunited.com	HIJACK	Turkish casino spam blog, Vodkabet
Rio Pro Brazilian Jiu Jitsu	https://rioprobjj.com	rioprobjj.com	www.rioprobjj.com	PARKED	Afternic/GoDaddy for-sale lander
Risen Jiu-Jitsu and Fitness	http://www.risenbjj.com/	www.risenbjj.com	risenbjj.com	PARKED	redirects to Amazon affiliate deals, domain mo
Rocknroll Brazilian Jiu Jitsu & Fitness	http://www.rocknrollbjj.com	www.rocknrollbjj.com	rocknrollbjj.com	DEAD	
Rosendo Diaz Brazilian Jiu-Jitsu	http://www.graciepa.com/	www.graciepa.com	graciepa.com	WRONG_BUSINESS	"Shopify apparel/merch store ""Gracie PA Merch"","
Royal Art BJJ	http://bjjroyal.com/	bjjroyal.com	www.bjjroyal.com	HIJACK	Redirects to MACAN123 Indonesian slot casino
Ryoku Judo Club	http://www.ryokujudo.com	www.ryokujudo.com	ryokujudo.com	HIJACK	"re-registered as ""Remipoker"" Indonesian slots/"
SCHOOL Brazilian Jiu-Jitsu Arcadia	http://schoolbjjarcadia.com/	schoolbjjarcadia.com	www.schoolbjjarcadia.com	PARKED	redirects to UpLaunch Agency WordPress multisi
SIMGO Academy	http://ckjj.com	ckjj.com	www.ckjj.com	PARKED	redirects to /lander domain parking page
Sandro Sampaio Brazilian Jiu-Jitsu Academy	bjjokc.com	bjjokc.com	www.bjjokc.com	WRONG_BUSINESS	Redirects to Highland Jiu Jitsu, Bethany
Satsuma Jiu Jitsu	http://www.satsumaspiders.com	www.satsumaspiders.com	satsumaspiders.com	PARKED	"cPanel ""Coming Soon"" placeholder"
School of Combat Arts	https://schoolofcombatarts.com/	schoolofcombatarts.com	www.schoolofcombatarts.com	WRONG_BUSINESS	martial arts school in Niceville/Valparaiso FL
Scorpion MMA (Aloisio Silva Associated Academy)	http://scorpion-mma.us/index.html	scorpion-mma.us	www.scorpion-mma.us	HIJACK	redirects to thebest100hotels.com auto-generat
Scr Fight Club	http://www.stlmuaythai.com/	www.stlmuaythai.com	stlmuaythai.com	WRONG_BUSINESS	now STL Property & Real Estate architecture si
