id	region	name	city	proposed_url
1	CA	GB Agoura	Agoura Hills	https://gbagoura.com/
2	CA	Gracie Jiu-Jitsu Alameda	Alameda	https://www.graciealameda.com/
5	CA	The Chute MMA, Jiu Jitsu and Wrestling	Bakersfield	https://thechutemma.com/
6	CA	Gracie Jiu-Jitsu Barstow	Barstow	https://graciebarstow.com/
8	CA	Gracie Jiu-Jitsu Beverly Hills	Beverly Hills	https://www.graciejiujitsubeverlyhills.com/
12	CA	GB Chula Vista	Chula Vista	https://graciebarrachulavista.com/
13	CA	Gracie Jiu-Jitsu Clovis	Clovis	https://www.bjjclovis.com/
22	CA	Pedigo Submission Fighting Los Angeles	Hawthorne	https://www.psflosangeles.com/
23	CA	Hayward BJJ Darcio Lira	Hayward	https://tadanadojiujitsu.com/
24	CA	Flow Academy BJJ Indio	Indio	https://flowacademybjjindio.com/
25	CA	Gracie Jiu-Jitsu Indio	Indio	https://gjjindio.com/
28	CA	GB La Crescenta	La Crescenta	https://graciebarra.com/la-canada-ca/
31	CA	Alliance Jiu Jitsu Los Angeles	Los Angeles	https://www.cobrinhabjj.com/
35	CA	Uactp	Los Angeles	https://www.uactp.com/
38	CA	Gracie Jiu-Jitsu Monterey	Monterey	https://graciemonterey.com/
43	CA	10th Planet Redland	Redlands	https://10thplanetjiujitsuredlands.com/
46	CA	Academy Of Striking & Grappling	Riverside	https://www.asgmma.com/
48	CA	Alliance Jiu Jitsu San Diego	San Diego	https://alliancesandiego.com/
52	CA	Gracie Jiu-Jitsu Santa Clarita	Santa Clarita	https://graciejiujitsuscv.com/
53	CA	Gracie Jiu-Jitsu Santa Cruz	Santa Cruz	https://www.graciesantacruz.com/
56	CA	Stanford BJJ	Stanford	https://stanfordclubsports.com/sports/brazilian-jiu-jitsu
62	CA	10th Planet Torrance	Torrance	https://10ptorrance.com/
63	CA	GB Redondo Beach	Torrance	https://www.gbredondobeach.com/
65	CA	Rodrigo Cardoso Brazilian Jiu-Jitsu Academy	Vacaville	https://atlasbjj.com/
66	CA	Gracie Jiu-Jitsu Vallejo	Vallejo	https://www.gracievallejo.com/
67	CA	GB Ventura	Ventura	https://www.graciebarraventura.com/
73	CA	Gracie Jiu-Jitsu Woodland Hills	Woodland Hills	https://www.gracieuniversity.com/Pages/Public/AffiliateDetail?enc=qLoBB8zQLaHlpiOPxVswyw%3D%3D
77	TX	Gracie Jiu-Jitsu Adkins	Adkins	https://gracie-jiu-jitsu-adkins.gymdesk.com/
81	TX	Austin Fitness Martial Arts	Austin	https://www.thevoidmartialarts.com/
83	TX	Fight Factory Austin	Austin	https://fightfactoryjiujitsu.com/
84	TX	Austin Fitness Martial Arts - Now is THE VOID MArtial Arts	Austin	https://www.thevoidmartialarts.com/
85	TX	Brazilian Fight Factory	Austin	https://fightfactoryjiujitsu.com/
86	TX	GB Dripping Springs	Austin	https://www.gbdrip.com/
87	TX	GB Westlake	Austin	https://gbwestlakehills.com/
91	TX	GB Burleson	Burleson	https://www.graciebarraburleson.com/
97	TX	Jiu Jitsu Tech Mix martial arts and fitness	Corinth	https://www.jiujitsutech.com/
98	TX	Renzo Gracie	Corpus Christi	https://renzograciecorpuschristi.com/
101	TX	144 Academy Jiu Jitsu/Self-Defense/Fitness	Dallas	https://144academy.com/
112	TX	Gracie Jiu-Jitsu Highland Village	Highland Village	https://graciebarrahighlandvillage.com/
121	TX	Victory Combat Sports Academy	Lubbock	https://victorycombatsports.academy/
123	TX	GB McKinney	McKinney	https://gbmckinney.com/
125	TX	Midland BJJ Texas	Midland	https://midlandbjj.com/
127	TX	Gracie Jiu-Jitsu New Braunfels	New Braunfels	https://gjjnb.com/
135	TX	Gracie Jiu-Jitsu Salado	Salado	https://saladoma.com/
136	TX	American Kickboxing Academy Texas	San Antonio	https://akasanantonio.com/
137	TX	GB Alamo Ranch	San Antonio	https://graciebarra.com/alamo-ranch-tx/
142	TX	South Texas Grappling Team	San Benito	https://south-texas-grappling-team.ueniweb.com/
143	TX	Gracie Jiu-Jitsu Seguin	Seguin	https://graciejiujitsuseguin.com/
146	TX	GB Spring Branch	Spring Branch	https://graciebarra.com/spring-branch-tx/
147	TX	Spartan Fit MMA - Springtown TX	Springtown	https://spartanspringtown.com/
