result	id	name	proposed_url	dns_status	better_url	note
PASS	1	GB Agoura	https://gbagoura.com/	0 A=yes		Own site; 5883 Kanan Rd Ste 16-17 Agoura Hills CA 91301, +1 805-800-9681, GB BJJ kids/adults.
PASS	2	Gracie Jiu-Jitsu Alameda	https://www.graciealameda.com/	0 A=yes		Own site, phone (510) 260-0226, Gracie Combatives/Bullyproof; no street address published anywhere on site.
PASS	5	The Chute MMA, Jiu Jitsu and Wrestling	https://thechutemma.com/	0 A=yes		6801 White Ln Ste E3-4 Bakersfield CA 93309, (661) 369-0342; named No-Gi Jiu Jitsu classes.
PASS	6	Gracie Jiu-Jitsu Barstow	https://graciebarstow.com/	0 A=yes		312 E. Main St. Barstow CA 92311, 760-600-9087; Gracie CTC with full BJJ curriculum.
PASS	8	Gracie Jiu-Jitsu Beverly Hills	https://www.graciejiujitsubeverlyhills.com/	0 A=yes		Root is a splash page; /contact gives 324 S. Beverly Dr 2nd Fl, Beverly Hills CA 90212, (310) 553-0500.
PASS	12	GB Chula Vista	https://graciebarrachulavista.com/	0 A=yes		2015 Birch Rd #1207 Chula Vista CA 91915, +1 619-240-3404; schedules dated 29-06-26.
PASS	13	Gracie Jiu-Jitsu Clovis	https://www.bjjclovis.com/	0 A=yes		1521 Tollhouse Road Ste F Clovis CA 93611, 559-318-3136.
PASS	22	Pedigo Submission Fighting Los Angeles	https://www.psflosangeles.com/	0 A=yes		12958 Hawthorne Blvd, Hawthorne CA 90250, (731) 513-0341; coach Derek Featherstun.
FAIL_BODY	23	Hayward BJJ Darcio Lira	https://tadanadojiujitsu.com/	0 A=yes		Site is Ta Danado Jiu Jitsu (21463-B Foothill Blvd, Hayward) founded by Carlos Rocha; no mention of Darcio Lira or Hayward BJJ on home or instructor pages.
PASS	24	Flow Academy BJJ Indio	https://flowacademybjjindio.com/	0 A=yes		42425 Jackson Street Ste C112 Indio CA 92203, (951) 337-3781; Prof. Carlos Miller.
PASS	25	Gracie Jiu-Jitsu Indio	https://gjjindio.com/	0 A=yes		80150 Hwy 111 C1 Indio CA 92201, 760-775-0982.
PASS_WITH_CAVEAT	28	GB La Crescenta	https://graciebarra.com/la-canada-ca/	0 A=yes		Page renders as GB La Canada Flintridge, 645 Foothill Blvd, La Canada Flintridge CA 91011, 818-790-2500 - adjacent municipality, not La Crescenta.
PASS	31	Alliance Jiu Jitsu Los Angeles	https://www.cobrinhabjj.com/	0 A=yes		Alliance LA by Cobrinha, 4929 Wilshire Blvd #104, Los Angeles CA 90010.
PASS	35	Uactp	https://www.uactp.com/	0 A=yes		2200 Beverly Blvd, Los Angeles CA 90057, 213.352.4042; jiu-jitsu group classes listed.
PASS	38	Gracie Jiu-Jitsu Monterey	https://graciemonterey.com/	0 A=yes		800 Lighthouse Avenue Monterey CA 93940, 831-633-7141.
PASS	43	10th Planet Redland	https://10thplanetjiujitsuredlands.com/	0 A=yes		821 West Colton Ave, Redlands CA 92374, (909) 809-6694.
PASS_WITH_CAVEAT	46	Academy Of Striking & Grappling	https://www.asgmma.com/	0 A=yes		Correct school (owner Karl Glover, Wrestling/Jiu Jitsu Grappling page) but address is 24210 Postal Ave, Moreno Valley CA 92553, not Riverside.
PASS	48	Alliance Jiu Jitsu San Diego	https://alliancesandiego.com/	0 A=yes		8990 Miramar Rd Suite 225, San Diego CA 92126.
PASS	52	Gracie Jiu-Jitsu Santa Clarita	https://graciejiujitsuscv.com/	0 A=yes		26370 Diamond Pl Suite 501, Santa Clarita CA 91350, 661-513-3150.
PASS_WITH_CAVEAT	53	Gracie Jiu-Jitsu Santa Cruz	https://www.graciesantacruz.com/	0 A=yes		Address is 1408 41st Avenue, Capitola CA 95010 - adjacent city to Santa Cruz; no phone published.
PASS_WITH_CAVEAT	56	Stanford BJJ	https://stanfordclubsports.com/sports/brazilian-jiu-jitsu	0 A=yes		Official Stanford Club Sports BJJ page exists, but carries no address, phone or current content; schedule link still points to 2023-24 and events list is empty.
PASS	62	10th Planet Torrance	https://10ptorrance.com/	0 A=yes		24433 Hawthorne Blvd, Torrance CA 90505, (424) 999-0787; nogi jiu jitsu.
PASS	63	GB Redondo Beach	https://www.gbredondobeach.com/	0 A=yes		Own site for Gracie Barra Redondo Beach, mobile (424) 409-6755, Prof. Murillo; no street address published, Yelp link is the Torrance listing.
PASS	65	Rodrigo Cardoso Brazilian Jiu-Jitsu Academy	https://atlasbjj.com/	0 A=yes		Rebrand to Atlas BJJ Vacaville, 2068 Harbison Drive Vacaville CA 95687, (415) 466-5800; Facebook is /rodrigocardosoacademy and Prof. Rodrigo still teaches.
PASS_WITH_CAVEAT	66	Gracie Jiu-Jitsu Vallejo	https://www.gracievallejo.com/	0 A=yes		Vallejo Gracie CTC under Miro Ayala confirmed, but site publishes no street address and no phone; contact email and Yelp link go to Miro's Taekwondo Vallejo.
PASS	67	GB Ventura	https://www.graciebarraventura.com/	0 A=yes		3503 Arundell Circle, Ventura CA, (805) 663-9220.
PASS	73	Gracie Jiu-Jitsu Woodland Hills	https://www.gracieuniversity.com/Pages/Public/AffiliateDetail?enc=qLoBB8zQLaHlpiOPxVswyw%3D%3D	0 A=yes		Franchisor CTC page renders with specifics: 5340 Topanga Canyon Blvd, Woodland Hills CA 91364, 818-884-0663, instructor Rocky Glenn, Apr-May 2026 schedule.
PASS_WITH_CAVEAT	77	Gracie Jiu-Jitsu Adkins	https://gracie-jiu-jitsu-adkins.gymdesk.com/	0 A=yes		Adkins/Wilson County and full Gracie curriculum confirmed (instructors Gabriel and Ashley Sabin), but no address or phone renders and the schedule page defaults to the week of 03/09/2025.
PASS_WITH_CAVEAT	81	Austin Fitness Martial Arts	https://www.thevoidmartialarts.com/	0 A=yes		The Void Martial Arts, 701 Tillery St Suite A7B, Austin TX 78702, named BJJ class; page never mentions "Austin Fitness Martial Arts" so the rename is unverified from the site.
