id	region	name	city	proposed_url
8	CO	Carlson Gracie Jiujitsu Team Castle Rock	Castle Rock	https://therockjiujitsuteam.com/
16	CO	Conifer Jiu Jitsu & Fitness	Conifer	https://www.conifermartialarts.com/
17	CO	Low Summit Jiu Jitsu	Denver	https://rebellionselfdefensegjj.com/
27	CO	Lakewood Martial Arts	Lakewood	https://peakmartialartsdenver.com/
36	LA	Gracie Barra Amite	Amite City	https://www.championfactory.com/gyms/amite
43	LA	Gladiators Academy of Crowley	Crowley	https://www.gladiatorsacademyofcrowley.com/
62	LA	Carlos Machado Jiu Jitsu of Shreveport	Shreveport	https://cmjjshreveport.com/
71	NJ	AMA Fight Club	Cedar Knolls	https://www.joinamafightclub.com/
88	NJ	Thiago Rela BJJ	Jersey City	https://www.trajiujitsu.com/
90	NJ	Amorosi's Mixed Martial Arts	Livingston	https://amorosimma.com/
108	NJ	Gym-Jitsu Mobile Martial Arts	Whippany	https://square.site/book/ENGYJXSXQZP1Y/gym-jitsu-mobile-martial-arts-whippany-nj
115	OK	Munoz BJJ and Combat Sports	Blanchard	https://www.munozmma.net/
116	OK	Brothers Jiu Jitsu	Broken Arrow	https://brothersjiujitsu.wordpress.com/
117	OK	Cohesion Brazilian Jiu-Jitsu & Judo Academy	Broken Arrow	https://www.cohesiontrainingacademy.com/
124	OK	Prodigy Jiu-Jitsu	Edmond	https://www.prodigyjj.com/
142	OK	Jackson Academy Martial Art Fitness	Stillwater	https://www.jackson-academy.com/
144	OK	Tulsa Judo and Jiu Jitsu	Tulsa	https://tulsajudo.org/
