result	id	name	proposed_url	dns_status	better_url	note
PASS_WITH_CAVEAT	8	Carlson Gracie Jiujitsu Team Castle Rock	https://therockjiujitsuteam.com/	0 A=yes		Same entity rebranded: site is 488 Crystal Valley Pkwy C with owner email jared@, matching Jared Leblanc's Carlson Gracie Castle Rock move to that address; BJJ classes named.
PASS	16	Conifer Jiu Jitsu & Fitness	https://www.conifermartialarts.com/	0 A=yes		Site is Conifer Jiu Jitsu at 25797 Conifer Rd Ste B219, Conifer CO, BJJ named throughout.
PASS_WITH_CAVEAT	17	Low Summit Jiu Jitsu	https://rebellionselfdefensegjj.com/	0 A=yes		Renamed to Rebellion Self Defense and GJJ and moved to Westminster; both phones (303)570-3887 and (720)218-6317 match Low Summit listings.
PASS_WITH_CAVEAT	27	Lakewood Martial Arts	https://peakmartialartsdenver.com/	0 A=yes		Now Peak Martial Arts, 9100 W 6th Ave Lakewood; phone (303) 986-4255 matches the Lakewood Martial Arts listing; named Adult Jiu-Jitsu program.
PASS_WITH_CAVEAT	36	Gracie Barra Amite	https://www.championfactory.com/gyms/amite	0 A=yes		Subpage is real and location-specific: Gracie United Amite, 102 Central Ave Amite LA, (985) 687-7088, full BJJ schedule; school now brands as Gracie United not Gracie Barra.
PASS	43	Gladiators Academy of Crowley	https://www.gladiatorsacademyofcrowley.com/	0 A=yes		Exact name match, 209 East Park Street Crowley LA 70526, (337) 789-4389, named BJJ Classes program.
PASS	62	Carlos Machado Jiu Jitsu of Shreveport	https://cmjjshreveport.com/	0 A=yes		Carlos Machado Jiujitsu Shreveport, 2539 E. 70th Street Shreveport LA, 318-658-3035, named kids/teen/adult BJJ classes.
PASS	71	AMA Fight Club	https://www.joinamafightclub.com/	0 A=yes		AMA Fight Club, 8 East Frederick Place Unit 106, Cedar Knolls NJ 07927, (973) 877-8294, dedicated Brazilian Jiu Jitsu program page.
PASS_WITH_CAVEAT	88	Thiago Rela BJJ	https://www.trajiujitsu.com/	0 A=yes		School's own domain, now branded The Relentless Art Jiu Jitsu Academy, Jersey City since 2018, (201) 614-3502; page itself never names Thiago Rela or a street address.
FAIL_BODY	90	Amorosi's Mixed Martial Arts	https://amorosimma.com/	0 A=yes		Phone 973.533.9112 matches the school, but the site names only a PreK and an Adults program, no BJJ, jiu jitsu or grappling class anywhere, and never states Livingston.
PASS_WITH_CAVEAT	108	Gym-Jitsu Mobile Martial Arts	https://square.site/book/ENGYJXSXQZP1Y/gym-jitsu-mobile-martial-arts-whippany-nj	0 A=yes		Claimed booking page with real services and staff: 156 Algonquin Parkway Whippany NJ 07981, (862) 701-3733; grappling named only inside the Leadership class blurb, and its own domain gjmma.com is NXDOMAIN.
PASS	115	Munoz BJJ and Combat Sports	https://www.munozmma.net/	0 A=yes		Munoz Mixed Martial Arts Academy, 109 SE 3rd Street Blanchard OK 73010, BJJ and No Gi Grappling listed as programs, IG handle munozbjjcombatsports.
PASS	116	Brothers Jiu Jitsu	https://brothersjiujitsu.wordpress.com/	0 A=yes		Nogi BJJ academy in Broken Arrow OK owned by James Partridge; contact page gives 3081 W Albany St STE #117, Broken Arrow OK 74012.
PASS_WITH_CAVEAT	117	Cohesion Brazilian Jiu-Jitsu & Judo Academy	https://www.cohesiontrainingacademy.com/	0 A=yes		Programs page names Brazilian Jiu Jitsu and Judo, matching the school name; but the location page address is 14720 East Admiral Place Suite E, Tulsa, (918) 944-9415, not Broken Arrow.
PASS	124	Prodigy Jiu-Jitsu	https://www.prodigyjj.com/	0 A=yes		Page itself states Edmond OK headquarters at 11571 Black Sand Dr Suite B with phone 405-501-1104 and names jiujitsu and no-gi classes; no inference needed.
PASS	142	Jackson Academy Martial Art Fitness	https://www.jackson-academy.com/	0 A=yes		Jackson Academy, 1401 S. Western Rd, Stillwater OK 74074, (405) 780-5961; Jiu Jitsu is one of three named arts with its own section and instructor.
PASS_WITH_CAVEAT	144	Tulsa Judo and Jiu Jitsu	https://tulsajudo.org/	0 A=yes		Tulsa Judo Club, 4343 S Memorial Dr Tulsa OK 74145, +1 918-521-2163, socials tulsajudojiujitsu; judo classes and Judo Open Mat meet the grappling bar though no separate BJJ class is listed.
