verdict	id	region	name	city	url	action	evidence	source_url
DEAD	4	CO	Alliance Jiu Jitsu Boulder	Boulder		KEEP_BLANK	alliancejiujitsububoulder.com is NXDOMAIN and alliancebjjboulder.com is NXDOMAIN; no Alliance-affiliated Boulder academy address or phone found anywhere	https://dns.google/resolve?name=alliancejiujitsububoulder.com&type=A
CONFIRMED	13	CO	GB Colorado Springs	Colorado Springs	https://graciebarra.com/colorado-springs-co/	SET_OVERRIDE	Page body states 1360 N Academy Blvd, Colorado Springs, CO 80909 and phone 719-246-1111 with GB1/GB2 Jiu-Jitsu classes	https://graciebarra.com/colorado-springs-co/
DEAD	22	CO	Shugyo Training Center	Fort Collins		KEEP_BLANK	shugyodojo.com and shugyotrainingcenter.com are both NXDOMAIN; search engines still serve a stale cached copy of the old 2721 S College Ave page	https://dns.google/resolve?name=shugyodojo.com&type=A
NEEDS_BROWSER	31	CO	Rocky Mountain Jiu Jitsu	Northglenn		NEEDS_BROWSER	rockymountainjj.com and invisiblejiujitsu.org are NXDOMAIN and rockymountainjiujitsu.com now redirects to Six Blades Jiu Jitsu at 7444 S University Blvd Littleton (different school); only an Instagram remains to check	https://www.rockymountainjiujitsu.com/?cb=2
NEEDS_BROWSER	40	LA	Fight to Win Lafayette Jiu -Jitsu	Broussard		NEEDS_BROWSER	fighttowinlafayette.com is NXDOMAIN; the only remaining presence is a Facebook page for the 1212 Albertson Pkwy Suite D Broussard academy, which web_fetch cannot render	https://dns.google/resolve?name=fighttowinlafayette.com&type=A
DEAD	49	LA	Acadiana Martial Arts Academy	Lafayette		KEEP_BLANK	acadianamartialarts.com is NXDOMAIN; acadianakarate.com at 1921 Kaliste Saloom Rd Ste 122 is a karate-only school under a different name and acadianajiujitsu.com is at 5537 Cameron St in Scott, so neither matches	https://dns.google/resolve?name=acadianamartialarts.com&type=A
CONFIRMED	58	LA	The Dojang New Orleans	New Orleans	https://thedojangnola.com/	SET_OVERRIDE	Body lists 1920 Williams Boulevard, Kenner, Louisiana 70062 and 504-353-4434 with named Carlos Machado Brazilian JiuJitsu classes (school sits in Kenner, serving metro New Orleans)	https://thedojangnola.com/?cb=3
DEAD	67	LA	Power Extreme Fitness Training Center	Terrytown		KEEP_BLANK	mmanola.com and powerextremefitness.com are both NXDOMAIN; the 900 Terry Pkwy Terrytown location appears only in Yelp and MMA directory listings, with no live site	https://dns.google/resolve?name=mmanola.com&type=A
NEEDS_BROWSER	76	NJ	Jaguar BJJ	Edison		NEEDS_BROWSER	jaguarbjj.com and jaguarbrazilianjiujitsu.com are both NXDOMAIN; the 518 Old Post Road Edison academy appears to run only an Instagram, which web_fetch cannot render	https://dns.google/resolve?name=jaguarbjj.com&type=A
CONFIRMED	85	NJ	David Branch Jiu Jitsu	Hoboken	https://dbjjhoboken.com/	SET_OVERRIDE	Body lists 720 Monroe Street, Building C, Suite 410/411, Hoboken, NJ 07030 with Adult and Youth BJJ programs and a live Wodify trial signup	https://dbjjhoboken.com/?cb=4
NEEDS_BROWSER	94	NJ	Jbm Brazilian Jiu-Jitsu Academy	Mt. Holly		NEEDS_BROWSER	jbmbjj.com is NXDOMAIN; jbmjiujitsu.com has live Squarespace A records but returns an empty body to web_fetch, so it cannot be told apart from a parked or unpublished site	https://jbmjiujitsu.com/?cb=8
DEAD	103	NJ	US Martial Arts Academy Inc	Vineland		KEEP_BLANK	usmartialarts.biz is NXDOMAIN; the 3430 E Oak Rd Vineland school appears only in directory listings and those list Hapkido, Tae Kwon Do and kickboxing with no BJJ	https://dns.google/resolve?name=usmartialarts.biz&type=A
CONFIRMED	112	OK	Rebellion Martial Arts	Ada	https://www.rebellionmartialarts.com/	SET_OVERRIDE	Body reads ADA - OKLAHOMA, names Ricardo Cavalcanti BJJ affiliation and instructor Jeanelle Hebert, and posts recurring schedules for the Ada (Byng) and Duncan locations; no street address or phone is published on the site so I matched on city, lineage and instructor	https://www.rebellionmartialarts.com/?cb=5
NEEDS_BROWSER	121	OK	Empire Jiu-Jitsu Durant	Durant		NEEDS_BROWSER	empirejiujitsudurant.com and empirebjjdurant.com are both NXDOMAIN; empirebjjok.com is Empire BJJ at 704 City Ave, Moore OK under coach Dustin Brooks, a different location, so only the Durant Facebook page is left to check	https://www.empirebjjok.com/?cb=6
UNRESOLVED	130	OK	Thunder MMA	Muskogee		FLAG	No Muskogee site exists and thundermmamuskogee.com is NXDOMAIN; thundermuaythai.gymdesk.com lists coach Ty Pilgrim, a named Brazilian Jiu Jitsu class and a weekly Sparring in Muskogee session, but its address is 1002 South College Ave Tahlequah and it carries a different name, so I could not confirm it is the same entity	https://thundermuaythai.gymdesk.com/?cb=5
NEEDS_BROWSER	139	OK	Oklahoma Combat Sports / KORE BJJ	Poteau		NEEDS_BROWSER	site.oklahomacombatsports.com and oklahomacombatsports.com are both NXDOMAIN; korebjj.com redirects to koremartialarts.com, the KORE association HQ under Luigi Mondelli rather than the Poteau school, leaving only a Facebook page	https://korebjj.com/?cb=8
