verdict	id	region	name	city	url	action	evidence	source_url
DEAD	9	CO	Valor BJJ & Fitness	Centennial		KEEP_BLANK	valorbjjfit.com NXDOMAIN (Status 3). valorbjj.com resolves but redirects to fightdrive.com = Dauntless BJJ, 13 Prestbury Square, Newark DE - different school.	https://valorbjj.com/
DEAD	18	CO	Durango BJJ	Durango		KEEP_BLANK	durangobjj.com and durangobrazilianjiujitsu.com both NXDOMAIN. durangomartialarts.com is live but is Durango Martial Arts Academy, 970-259-3398, a separate academy; Durango BJJ is at 194 Bodo Dr per third-party listings only.	https://durangomartialarts.com/
CONFIRMED	27	CO	Lakewood Martial Arts	Lakewood	https://peakmartialartsdenver.com/	SET_OVERRIDE	Read on site: Peak Martial Arts, 9100 W 6th Ave, Lakewood, CO 80215, (303) 986-4255, with a named Adult Jiu-Jitsu program. Old domain campmartialarts.com is NXDOMAIN; its association with the same 9100 W 6th Ave address comes from search-result titles, not a page I fetched.	https://peakmartialartsdenver.com/
CONFIRMED	36	LA	Gracie Barra Amite	Amite City	https://www.championfactory.com/gyms/amite	SET_OVERRIDE	Read on site: Gracie United Amite, 102 Central Ave, Amite, LA 70422, (985) 687-7088 - matches the Amite record address and phone; Gracie Barra Louisiana schools rebranded to Gracie United under Rafael Ellwanger.	https://www.championfactory.com/gyms
DEAD	45	LA	Body Elite Boxing & MMA	Houma		KEEP_BLANK	No school domain found. bodyelitefitness.com resolves but serves an empty body at both apex and www. Address 1221 Grand Caillou Rd from third-party listings only; sibling Body Elite Fitness locations are listed as closed.	https://www.bodyelitefitness.com/
DEAD	54	LA	Progressive Martial Arts Training Center	New Iberia		KEEP_BLANK	pmatc.com resolves but redirects to sireimplement.com/h5e8vxwdr0 - a hijacked domain now serving an ad/redirect farm, not the school. No replacement domain found; Yelp lists the New Iberia location (1752 Center St) as closed.	https://www.pmatc.com/
DEAD	63	LA	Alliance Jiu Jitsu Slidell	Slidell		KEEP_BLANK	alliancebjjslidell.com NXDOMAIN (Status 3). No Alliance-affiliated academy in Slidell found; the Slidell BJJ schools that do exist are Rogue Jiu Jitsu, Raposo BJJ and Gracie United Slidell (2020 Gause Blvd W), all different entities and lineages.
NOT_BJJ	72	NJ	AJW Martial Arts Academy & Fitness Center	City Of Orange		KEEP_BLANK	ajwmartialarts.com is live and is the correct entity - 356 Main St. 2nd floor, Orange, NJ 07050, 973-674-5500 (old ajwmartialartsacademy.com is NXDOMAIN). But the site names only Childrens / Teens / Adults / Cardio Kickboxing; chief instructor Aaron J. Walker is a 10th Degree Red Belt in Shito Ryu Japanese Karate. No BJJ or grappling class named anywhere on the site.	https://ajwmartialarts.com/about-us/
DEAD	81	NJ	Alliance Jiu Jitsu Freehold	Freehold		KEEP_BLANK	alliancejiujitsufreehold.com NXDOMAIN (Status 3). No Alliance affiliate in Freehold found; Freehold BJJ is Dante Rivera BJJ Academy (3333 Rt 9) and Tiger Schulmann's, both different entities.
CONFIRMED	90	NJ	Amorosi's Mixed Martial Arts	Livingston	https://amorosimma.com/	SET_OVERRIDE	Read on site: Amorosi Martial Arts, phone 973.533.9112 - matches the Livingston record's phone; info@amorosimma.com. Old amorosikarate.com is NXDOMAIN. Caveat: the site is thin (PreK and Adults programs only) and names no BJJ/grappling class; grappling is attested only by third-party listings.	https://amorosimma.com/
DEAD	99	NJ	Advantage MMA	South Pennsauken		KEEP_BLANK	advantagemixedmartialarts.com NXDOMAIN (Status 3). No trace of an operating "Advantage MMA" in Pennsauken/Merchantville in any search; no replacement domain or social presence found.
