verdict	id	region	name	city	url	action	evidence	source_url
DEAD	7	CO	Carbondale Training Center (Rising Crane)	Carbondale		KEEP_BLANK	risingcrane.net NXDOMAIN (Status 3); risingcranetrainingcenter.com and carbondaletrainingcenter.com also NXDOMAIN; risingcrane.com resolves (217.160.0.229) but serves an empty body. Only remaining presence is an UNCLAIMED WellnessLiving directory stub (768 Highway 133, Carbondale CO 81623 - third-party listing, not a school page) and a Facebook page web_fetch cannot render.	
CONFIRMED	8	CO	Carlson Gracie Jiujitsu Team Castle Rock	Castle Rock	https://therockjiujitsuteam.com/	SET_OVERRIDE	Rebrand: 488 Crystal Valley Pkwy C, Castle Rock CO 80104 - the address Carlson Gracie Team Castle Rock announced it was moving to; contact email jared@therockjiujitsuteam.com matches CG Castle Rock black-belt owner Jared Leblanc (whatnow.com article 2022-03-25, which I fetched). Stored carlsongracieteamcastlerock.com is NXDOMAIN.	https://therockjiujitsuteam.com/
DEAD	9	CO	Valor BJJ & Fitness	Centennial		KEEP_BLANK	valorbjjfit.com NXDOMAIN (Status 3). valorbjj.com resolves but redirects to fightdrive.com = Dauntless BJJ, 13 Prestbury Square, Newark DE - different school.	https://valorbjj.com/
CONFIRMED	16	CO	Conifer Jiu Jitsu & Fitness	Conifer	https://www.conifermartialarts.com/	SET_OVERRIDE	Read on the site's own Location page: 25797 Conifer Rd. Conifer, CO 80433 Suite B219. Homepage names Brazilian Jiu Jitsu classes, IBJJF-registered academy, established April 2022. DNS Status 0, A records 104.21.19.35 / 172.67.184.241.	https://www.conifermartialarts.com/location/
CONFIRMED	17	CO	Low Summit Jiu Jitsu	Denver	https://rebellionselfdefensegjj.com/	SET_OVERRIDE	"Rebrand/relocation to 3047 W 74th Ave Unit B, Westminster CO 80030. Both phones on the page, (303) 570-3887 and (720) 218-6317, are the two numbers listed for Low Summit Jiu Jitsu in third-party listings (Yelp/Manta - not pages I fetched); class hours Mon-Thu 4-6pm / Sat 8-10am match those listings; Facebook handle facebook.com/lowsummitbjj is now titled ""Rebellion Self Defense and Jiu Jitsu"". Stored domain NXDOMAIN."	https://rebellionselfdefensegjj.com/
DEAD	18	CO	Durango BJJ	Durango		KEEP_BLANK	durangobjj.com and durangobrazilianjiujitsu.com both NXDOMAIN. durangomartialarts.com is live but is Durango Martial Arts Academy, 970-259-3398, a separate academy; Durango BJJ is at 194 Bodo Dr per third-party listings only.	https://durangomartialarts.com/
UNRESOLVED	25	CO	Atos BJJ Lakewood	Lakewood		FLAG	"atosbjjlakewood.com NXDOMAIN. Atos HQ's LIVE affiliate directory (read in full, 2026 copyright) lists NO Colorado/Denver/Lakewood affiliate, so the Atos-branded entity appears gone. A live gym, Peak Martial Arts (https://peakmartialartsdenver.com/), reads on its own page ""(303) 986-4255 / 9100 W 6th Ave / Lakewood, CO 80215"" with a named Adult Jiu-Jitsu program under Professor Nick Mota; a member testimonial says ""Peak Kickboxing and Brazilian Jiu Jitsu"" for 6 years. SELF-FLAG: the address/phone for ""Atos BJJ Lakewood"" came only from aggregator listings, not a primary Atos source, and the Peak site never states a former Atos name - cannot distinguish rebrand from separate entity. Not repointing."	https://atosjiujitsuhq.com/affiliates/
DEAD	26	CO	Flo Life BJJ + Colorado Holistic Martial Arts	Lakewood		KEEP_BLANK	flolifebjj.com is NXDOMAIN at both apex and www (registry-level, com. SOA) though search engines still index stale flolifebjj.com pages. No alternate domain found; owners' other domain bjjafter40.com resolves but returns an empty body and is a personal blog brand, not the school site. Address 9191 W Jewell Ave, Lakewood CO 80232 appears only in third-party listings.	
CONFIRMED	27	CO	Lakewood Martial Arts	Lakewood	https://peakmartialartsdenver.com/	SET_OVERRIDE	Read on site: Peak Martial Arts, 9100 W 6th Ave, Lakewood, CO 80215, (303) 986-4255, with a named Adult Jiu-Jitsu program. Old domain campmartialarts.com is NXDOMAIN; its association with the same 9100 W 6th Ave address comes from search-result titles, not a page I fetched.	https://peakmartialartsdenver.com/
DEAD	34	CO	Discipleship Jiu-Jitsu	Woodland Park		KEEP_BLANK	discipleshipjiujitsu.com and www.discipleshipjiujitsu.com both NXDOMAIN (Status 3). Search engines still index the old title and a /schedule path but the domain does not resolve. No replacement domain or primary page found.	
NEEDS_BROWSER	35	LA	Vermilion Martial Arts Academy	Abbeville		NEEDS_BROWSER	"Stored abbevillesummercamp.com is NXDOMAIN. Candidate vmaaskillz.com is also NXDOMAIN; vermilionmartialarts.com (from listed email garrett@vermilionmartialarts.com) resolves but serves a one.com ""Hosted by one.com / Build your website"" parked lander. Only remaining presence is facebook.com/VMAAacademy and instagram.com/vermilion_martialarts_academy, which web_fetch cannot render. Also unverified whether BJJ is a named class - listings describe SKILLZ child-development / youth MMA."	http://www.vermilionmartialarts.com/
CONFIRMED	36	LA	Gracie Barra Amite	Amite City	https://www.championfactory.com/gyms/amite	SET_OVERRIDE	Read on site: Gracie United Amite, 102 Central Ave, Amite, LA 70422, (985) 687-7088 - matches the Amite record address and phone; Gracie Barra Louisiana schools rebranded to Gracie United under Rafael Ellwanger.	https://www.championfactory.com/gyms
CONFIRMED	43	LA	Gladiators Academy of Crowley	Crowley	https://www.gladiatorsacademyofcrowley.com/	SET_OVERRIDE	Read in the site footer: 209 East Park Street, Crowley, LA 70526; phone (337) 789-4389. Named BJJ (Brazilian Jiu-Jitsu) Classes program. DNS Status 0 (Wix, 34.149.87.45).	https://www.gladiatorsacademyofcrowley.com/
DEAD	44	LA	Combat Athletics	Denham Springs		KEEP_BLANK	"Stored ccrosbyjiujitsu.com is NXDOMAIN. combatathletic.com is a DIFFERENT gym - Combat Athletics of 419 Twins Way, Bermuda Run NC 27006, founder Josh Stanley, (336) 414-7930 - not Chris Crosby's Denham Springs gym. The Denham Springs unit at 34130 LA Hwy 16 / (225) 460-1422 is now branded ""Movement Jiu Jitsu and MMA"" / ""Movement Martial Arts and Fitness"" (third-party listings, not a page I fetched); that operation has no website of its own, only facebook.com/movementmaf plus MindBody/WellnessLiving booking pages."	https://www.combatathletic.com/
DEAD	45	LA	Body Elite Boxing & MMA	Houma		KEEP_BLANK	No school domain found. bodyelitefitness.com resolves but serves an empty body at both apex and www. Address 1221 Grand Caillou Rd from third-party listings only; sibling Body Elite Fitness locations are listed as closed.	https://www.bodyelitefitness.com/
NEEDS_BROWSER	52	LA	Ground Zero Combat Sports Academy	Leesville		NEEDS_BROWSER	groundzerocombatsportsacademy.com is NXDOMAIN (Status 3) although search still indexes an /about page on it. No live replacement domain found. Only candidate presence is https://www.facebook.com/groundzerospark1000/ which web_fetch cannot render - a browser agent must check whether it is current.	
DEAD	53	LA	Louisiana Martial Arts Academy	Metairie		KEEP_BLANK	"Stored louisianamaa.com is NXDOMAIN at both apex and www. Yelp lists ""Louisiana Martial Arts Academy - CLOSED, 2309 Clearview Pkwy, Metairie"" (third-party listing, not a page I fetched). No successor domain found; other Metairie schools (Cajun Combat, Gracie United Kenner) are unrelated entities."	
DEAD	54	LA	Progressive Martial Arts Training Center	New Iberia		KEEP_BLANK	pmatc.com resolves but redirects to sireimplement.com/h5e8vxwdr0 - a hijacked domain now serving an ad/redirect farm, not the school. No replacement domain found; Yelp lists the New Iberia location (1752 Center St) as closed.	https://www.pmatc.com/
DEAD	61	LA	Warrior Training Center	Shreveport		KEEP_BLANK	"warriortrainingcenterla.com NXDOMAIN (Status 3). Searched Shreveport BJJ/martial arts listings; no school of this name has a live site. ""Iron Warrior Training Center LLC"" in Shreveport is a different, personal-training gym, not this entity. No replacement found."	
CONFIRMED	62	LA	Carlos Machado Jiu Jitsu of Shreveport	Shreveport	https://cmjjshreveport.com/	SET_OVERRIDE	2539 E. 70th Street, Shreveport LA 71106; phone 318-658-3035; named Kids/Teen/Adult Brazilian Jiu-Jitsu classes; links to facebook.com/RCJMJJSHREVEPORT. Stored shreveportmartialart.com is NXDOMAIN (old site).	https://cmjjshreveport.com/
