verdict	id	region	name	city	url	action	evidence	source_url
CONFIRMED	1	GA	Carlos Machado Jiu-Jitsu North Atlanta	Acworth	https://acworthjiujitsu.com/	SET_OVERRIDE	3335 Cobb Parkway Acworth GA 30101 and phone 404-829-8353 read on page - identical address and phone to the record; stored cmjjnatl.com is NXDOMAIN; now branded Campeao United Jiu-Jitsu HQ, affiliation changed from Carlos Machado to Campeao United (Master Leao Teixeira) - rebrand inferred from address+phone continuity, the site does not state the former name	https://acworthjiujitsu.com/
CONFIRMED	2	GA	James Shook Brazilian Jiu-Jitsu	Acworth	https://tier1jiujitsu.com/	SET_OVERRIDE	Rebrand+relocation: site names owner black belt James Shook and phone (678) 983-8089 (same phone as the Acworth listing); now at 10175 Dallas Acworth Hwy Suite 109, Dallas GA 30132. Old jamesshookbjj.com is now a Norwegian casino hijack; zenith.jamesshookbjj.com is NXDOMAIN.	https://tier1jiujitsu.com/
CONFIRMED	3	GA	Hamby Freestyle Jiu Jitsu	Albany	https://lavianobjj.com/	SET_OVERRIDE	"Rebrand at the identical unit: 2231 Dawson Rd STE K, Albany, GA 31707 (Hamby occupied 2231 Dawson Rd Ste K/L). Site body still carries a Hamby-era testimonial (""you won't regret trying Hamby out""). Named Adult/Kids/No-Gi BJJ classes on its own pages. Old hambyfreestyle.com is NXDOMAIN."	https://lavianobjj.com/
CONFIRMED	4	GA	Atlanta Kyusho and Jujitsu	Atlanta	https://evolutionxma.com/	SET_OVERRIDE	"Rebranded to Evolution X Martial Arts. Read the school's own Gymdesk portal: address 2000 Cheshire Bridge Rd, Ste G, Atlanta, GA 30324, phone 7706485059, email evxatlanta@evolutionxma.com (ties the domain to the school), and named Brazilian Jiu Jitsu / Modern Arnis classes. Old atlantajujitsu.com is NXDOMAIN. Rebrand also asserted by three YouTube video titles reading ""formerly Atlanta Kyusho and Jujitsu"" (titles only, not read). Address moved within Atlanta 30324 from the 2213 Faulkner Rd NE listed on third-party directories."	https://evolutionxma.gymdesk.com/book
DEAD	5	GA	Gracie Barra - Augusta	Augusta		KEEP_BLANK	stored gbaugusta.com is NXDOMAIN; focabjj.com and graciebarraaugusta.com are also NXDOMAIN; graciebarra.com/augusta-ga returns an empty body (no such page) and graciebarra.com/georgia-ga is a different school (5505 Bells Ferry Rd Ste 220, Acworth GA, 770-485-2403) - no first-party site for the Augusta/Martinez school exists	https://dns.google/resolve?name=gbaugusta.com&type=A
NEEDS_BROWSER	6	GA	Port City Jiu Jitsu	Bainbridge		NEEDS_BROWSER	No first-party site; portcityjiujitsu.com NXDOMAIN; portcitybjj.com is a different school (280 Route 1, Kittery ME). Only presence is facebook.com/PortCityJiuJitsu which web_fetch cannot render.	https://portcitybjj.com/
DEAD	7	GA	Hybrid Fitness MMA	Between		KEEP_BLANK	No live domain exists; hybridfitnessmma.com hybridfitnessga.com hybridjiujitsuandfitness.com hybridjiujitsumonroe.com georgiafightclub.com hybridjiujitsu.com all NXDOMAIN; only Facebook and Instagram presence found for owner Andy Stolarik (Monroe / Loganville GA) which web_fetch cannot render; no address confirmed from a page I read	
CONFIRMED	8	GA	Iron Wolf Academy	Braselton	https://www.ironwolfacademy.org/	SET_OVERRIDE	1247 Tuscany Dr Suite D, Braselton, GA 30517; tel 770-940-4680. Own page lists a Brazilian Jiu Jitsu program (wrestling/judo/jiu-jitsu grappling).	https://www.ironwolfacademy.org/
DEAD	9	GA	Ruff House Boxing and MMA	Covington		KEEP_BLANK	ruffhouseboxing.com and www.ruffhouseboxing.com are both NXDOMAIN (Status 3). The alternate ruffhousemma.com resolves but lands on a HugeDomains for-sale lander. A facebook.com/ruffhousemma page exists but bjjmetrics attributes that handle to a Texas gym, so it is probably a different business. No school-owned page found; 4111A Robinson St NW appears only in directories.	
NEEDS_BROWSER	10	GA	Prime Combat Sports	Cumming		NEEDS_BROWSER	primecombatsports.com resolves (Cloudflare, 104.21.46.102 / 172.67.137.194) but every path including /robots.txt returns an empty body to web_fetch, so I could not read the page. Third-party listings give 4415 Front Nine Dr Ste 500, Cumming, GA 30041 and (470) 326-6228, but I did not read that on a first-party page.	https://primecombatsports.com/?cb=1
DEAD	11	GA	World Jiu-Jitsu Academy	Cumming		KEEP_BLANK	"stored worldjiujitsuatlanta.com is NXDOMAIN; worldjiujitsuacademy.com resolves but serves only an empty ""Index of /"" directory listing"	http://worldjiujitsuacademy.com/?cb=1
CONFIRMED	12	GA	Tect Center	Eastman	https://middlegamartialarts.com/	SET_OVERRIDE	"Address: 5223 3rd Ave, Eastman, GA 31023; Phone (478) 231-6352; page footer reads ""TECT Center (DBA: Middle GA Martial Arts)"""	https://middlegamartialarts.com/contact/
CONFIRMED	13	GA	Full Throttle Fitness	Flowery Branch	https://fullthrottlemma.com/	SET_OVERRIDE	Phone 678-896-7846 read on contact page - identical to the phone listed for the record; contact Kelly Leo, 843 Main Street Gainesville GA 30501 (relocated from 3616 Atlanta Hwy Flowery Branch); named BJJ/Judo class Tue/Thu 6:45pm; Pedro Sauer BJJ affiliate; copyright 2026; stored fullthrottleoakwood.com is NXDOMAIN	https://fullthrottlemma.com/contact/
DEAD	14	GA	Blalock International Mixed Martial Arts Academy	Fort Oglethorpe		KEEP_BLANK	blalocksimb.com is NXDOMAIN at apex. No replacement domain found; only a Facebook page (facebook.com/BlalocksMMA), which web_fetch cannot render. Address 747 Battlefield Pkwy seen only on third-party listings, not on any live site.	
CONFIRMED	15	GA	Gracie Barra Gainesville	Gainesville	https://graciebarra.com/gainesville-ga/	SET_OVERRIDE	2197 Dawsonville Hwy Suite B, Gainesville, GA 30506 / 678-943-8228 read in the body of the official Gracie Barra school subsite. Old gbgainesville.com is NXDOMAIN. Caveat: Yelp marks this listing CLOSED, but GB corporate still serves an active school page with school-specific hours.	https://graciebarra.com/gainesville-ga/school/
UNRESOLVED	16	GA	Absolute Martial Arts	Gainesville		FLAG	"No first-party web presence found for a Gainesville, GA school of this name. absolute-martial-arts.square.site exists but returns an empty body and no search result ties it to Gainesville GA; the ""Absolute Martial Arts"" hits found are in Johnston IA and St. Louis MO (different schools). Gainesville GA directory sweeps list Team Doan, Gracie Barra, Edge and Budo Tatami but not this school."	https://absolute-martial-arts.square.site/
DEAD	17	GA	Praxis MMA	Griffin		KEEP_BLANK	"no stored URL; praxisma.com (the domain directories list for Praxis Martial Arts, 1607 Williamson Rd, Griffin GA, 770-228-6328) now serves ""Praxisma | Urban design, planning, and place-making"", an unrelated urban-design studio - domain repurposed"	https://praxisma.com/?cb=1
DEAD	18	GA	Invictus Brazilian Jiu Jitsu & Defensive Arts	Hoboken		KEEP_BLANK	invictusbjj.online returns NXDOMAIN (Status 3); invictusbjj.com nameservers REFUSED. No first-party site for 4869 E Main St Ste D, Hoboken GA. Note: relentless.gymdesk.com is a different school (Relentless BJJ, 4638 West Main St, Hoboken GA, 912-227-1060, instructor Jay Edwards) - not a rebrand.	
DEAD	19	GA	Rodriguez MMA	Lawrenceville		KEEP_BLANK	No website exists; rodriguezmma.com and rodriguezmmaga.com both NXDOMAIN; only Facebook and Instagram found, which web_fetch cannot render; 485 Buford Dr Suite 300 Lawrenceville GA and (404) 431-2940 come from third-party listings (Yelp/Nextdoor), not a page I read	
CONFIRMED	20	GA	Gwinnett Training Academy	Lawrenceville	https://attofgwinnett.com/	SET_OVERRIDE	3315 Sugarloaf Pkwy, Lawrenceville, GA 30044; tel 470-545-4732. Site is branded Gwinnett Training Academy and lists a Brazilian Jiu Jitsu program. Old gwinnetttrainingacademy.com has no A record at apex or www.	https://attofgwinnett.com/Contact
DEAD	21	GA	Macon Jiu Jitsu Academy	Macon		KEEP_BLANK	No live domain. maconjiujitsu.com is NXDOMAIN, and maconjiujitsu.academy (the URL chamberofcommerce.com asserts) is also NXDOMAIN. Address 3258 Vineville Ave / 478-207-7485 appears only in third-party directories, which I did not treat as sources.	
DEAD	22	GA	Advantage Jiu-Jitsu and Self Defense	Marietta		KEEP_BLANK	advantagejj.com is NXDOMAIN (Status 3). Repeated searches surface only aggregators (fightaholic, matmade, yourlocaldojo, lessons.com) all still citing the dead advantagejj.com for 3951 Mary Eliza Trace NW, Marietta, GA 30064 / 678-707-1991. No replacement first-party site or booking portal exists.	https://dns.google/resolve?name=advantagejj.com&type=A
NEEDS_BROWSER	23	GA	East Cobb Martial Arts	Marietta		NEEDS_BROWSER	stored eastcobbma.com is NXDOMAIN (school's own domain, 2635 Sandy Plains Rd Ste 106, 770-679-3626, owner Jeremiah Claybrooks); eastcobbmartialarts.com resolves (3.33.243.145 / 15.197.204.56) but web_fetch returns an empty body on /, /contact and /contact-best-martial-arts - page is JS-rendered. Caution: third-party listings tie eastcobbmartialarts.com to a same-name different school (PRO Martial Arts East Cobb, 4880 Lower Roswell Rd Ste 610, 404-474-2350), so identity must be read in a browser before any override	https://eastcobbmartialarts.com/contact-best-martial-arts/?cb=3
