region	name	city	stored_w	override_w	why_blank	src
AL	Ultimate MMA	Albertville			no w key	snippets/tjjm-gyms-data-18.liquid
AL	Brewton Olympic Wrestling and Gracie Jiu Jitsu	Brewton			no w key	snippets/tjjm-gyms-data-18.liquid
AL	Calera Fitness and MMA	Calera	https://www.calerafitness.com/Calera_Fitness_%26_MMA/Home.html		override blanks it	snippets/tjjm-gyms-data.liquid
AL	Gracie Jiu-Jitsu Centreville	Centreville			no w key	snippets/tjjm-gyms-data-18.liquid
AL	Yamane Championship Mixed Martial Arts	Daphne	http://www.ycmma.com/		override blanks it	snippets/tjjm-gyms-data-18.liquid
AL	The Academy	Foley			no w key	snippets/tjjm-gyms-data-18.liquid
AL	Champions Freestyle MMA & Fitness	Hoover	http://www.championsfreestylemma.com/		override blanks it	snippets/tjjm-gyms-data-18.liquid
AL	10th Planet Mobile	Mobile			no w key	snippets/tjjm-gyms-data-18.liquid
AL	Karate 4 Kids, Dutch Kickboxing, Jujitsu & MMA	Mobile			no w key	snippets/tjjm-gyms-data-18.liquid
AL	Prattville Fitness Kickboxing And MMA	Prattville	http://fitnesskickboxingandmmaprattville.com/		override blanks it	snippets/tjjm-gyms-data-18.liquid
AL	Combat Survival of Alabama	Rainbow City			no w key	snippets/tjjm-gyms-data-18.liquid
AL	Koryu Martial arts	Scottsboro			stored w is empty string	snippets/tjjm-gyms-data.liquid
AL	Lions Pride Jiu Jitsu	Trussville			no w key	snippets/tjjm-gyms-data-18.liquid
AL	Blue Hawk MMA	Tuscaloosa			no w key	snippets/tjjm-gyms-data-18.liquid
AL	The Cage MMA & Fitness	Vestavia Hills			stored w is empty string	snippets/tjjm-gyms-data.liquid
AZ	State 48 Brazilian Jiu Jitsu	Cottonwood			no w key	snippets/tjjm-gyms-data-11.liquid
AZ	Empire Martial Arts	El Mirage			no w key	snippets/tjjm-gyms-data-11.liquid
AZ	Sunnyside Boxing MMA	Flagstaff			no w key	snippets/tjjm-gyms-data-11.liquid
AZ	Dominate Fitness and MMA	Green Valley	http://www.dominatefitnessmma.com/		override blanks it	snippets/tjjm-gyms-data-11.liquid
AZ	Deets Jiu Jitsu Academy	Kingman	http://www.gladiatorunderground.com/		override blanks it	snippets/tjjm-gyms-data-11.liquid
AZ	Ruffhouse Jiu-Jitsu	Mesa	http://www.ruffhousejiujitsumesa.com/		override blanks it	snippets/tjjm-gyms-data-11.liquid
AZ	Caza BJJ	Nogales			no w key	snippets/tjjm-gyms-data-11.liquid
AZ	Allied Jiu Jitsu	Peoria	http://alliedjiujitsu.com		override blanks it	snippets/tjjm-gyms-data-11.liquid
AZ	Gracie Peoria	Peoria	http://www.graciepeoria.com		override blanks it	snippets/tjjm-gyms-data-11.liquid
AZ	Oss MMA	Peoria			no w key	snippets/tjjm-gyms-data-11.liquid
AZ	Fury Brazilian Jiu Jitsu	Phoenix	https://www.furybjj.com/		override blanks it	snippets/tjjm-gyms-data.liquid
AZ	Gracie Jiu-Jitsu Scottsdale	Scottsdale	http://graciescottsdale.com/		override blanks it	snippets/tjjm-gyms-data-11.liquid
AZ	Flow Game Gym	Sierra Vista	http://www.flowgamegym.org/		override blanks it	snippets/tjjm-gyms-data-11.liquid
AZ	Kickers Mixed Martial Arts	Surprise			no w key	snippets/tjjm-gyms-data-11.liquid
AZ	Tough Survival Martial Arts Academy	Surprise			no w key	snippets/tjjm-gyms-data-11.liquid
AZ	American Pankration Fighting MMA	Tempe	http://www.americanpankration.net/		override blanks it	snippets/tjjm-gyms-data-11.liquid
AZ	Dragon-Snake MMA & Fitness	Tempe	http://dragonsnakemma.com/		override blanks it	snippets/tjjm-gyms-data-11.liquid
AZ	Always Forward Jiu-Jitsu Academy	Tucson	http://www.alwaysforwardjiujitsu.com/		override blanks it	snippets/tjjm-gyms-data-11.liquid
AZ	Carlson Gracie Jiu Jitsu	Yuma			no w key	snippets/tjjm-gyms-data-11.liquid
AZ	Rogue Wave Brazilian Jiu Jitsu	Yuma			no w key	snippets/tjjm-gyms-data-11.liquid
CA	Sovereign Brazilian Jiu Jitsu (BJJ)	Antioch			no w key	snippets/tjjm-gyms-data-5.liquid
CA	Team Mata Brazilian Jiu Jitsu	Bell			no w key	snippets/tjjm-gyms-data-5.liquid
CA	Ares BJJ Brentwood	Brentwood	http://aresbrentwood.com/		override blanks it	snippets/tjjm-gyms-data-5.liquid
CA	Bond Squad MMA	Camarillo			no w key	snippets/tjjm-gyms-data-5.liquid
CA	Alliance MMA Gym	Chula Vista			no w key	snippets/tjjm-gyms-data-5.liquid
CA	Abrigo Martial Arts	Culver City	http://www.abrigomartialarts.com/index02.php		override blanks it	snippets/tjjm-gyms-data-5.liquid
CA	Fabio Prado Brazilian Jiu-Jitsu Academy	Dixon			no w key	snippets/tjjm-gyms-data-5.liquid
CA	Gracie Jiu-Jitsu El Sobrante	El Sobrante			no w key	snippets/tjjm-gyms-data-5.liquid
CA	Piranha Jiu Jitsu	Fountain Valley			no w key	snippets/tjjm-gyms-data-5.liquid
CA	Gracie Jiu-Jitsu Fullerton	Fullerton			no w key	snippets/tjjm-gyms-data-5.liquid
CA	Granada Hills Martial Arts & Fitness	Granada Hills			no w key	snippets/tjjm-gyms-data-5.liquid
CA	Royce Gracie Jiu Jitsu Academy SoCal	Harbor City	https://roycegraciesouthbay.com/		override blanks it	snippets/tjjm-gyms-data-5.liquid
CA	Hayward BJJ Darcio Lira	Hayward	https://www.haywardbjjdarciolira.com/		override blanks it	snippets/tjjm-gyms-data-5.liquid
CA	Valhalla Jiu Jitsu	Irvine	http://www.valhallabjj.com/		override blanks it	snippets/tjjm-gyms-data-5.liquid
CA	Gracie Jiu-Jitsu Laguna Hills	Laguna Hills			no w key	snippets/tjjm-gyms-data-5.liquid
CA	Joker's MMA	Laguna Hills	http://www.jokersmma.com/		override blanks it	snippets/tjjm-gyms-data-5.liquid
CA	Bang Bang Power Fit	Los Angeles	http://bangbangpowerfit.com/		override blanks it	snippets/tjjm-gyms-data-5.liquid
CA	Hollywood BJJ	Los Angeles			no w key	snippets/tjjm-gyms-data-5.liquid
CA	Independent Jiu-Jitsu	Los Angeles	https://www.independentjiujitsu.co/calendar		override blanks it	snippets/tjjm-gyms-data-5.liquid
CA	MMA Cardio Fitness Center	Modesto			no w key	snippets/tjjm-gyms-data-5.liquid
CA	Rise Jiu Jitsu Academy	Murrieta	https://risejiujitsumurrieta.com		override blanks it	snippets/tjjm-gyms-data-5.liquid
CA	Gracie Jiu-Jitsu Nipomo	Nipomo			no w key	snippets/tjjm-gyms-data-5.liquid
CA	Kihon Traditional MMA	Oakhurst			no w key	snippets/tjjm-gyms-data-6.liquid
CA	GB Paso Robles	Paso Robles	https://gbpasorobles.com/		override blanks it	snippets/tjjm-gyms-data-6.liquid
CA	Pinnacle Mixed Martial Arts, Inc.	Redlands			no w key	snippets/tjjm-gyms-data-6.liquid
CA	Next Generation MMA & Fitness	Sacramento			no w key	snippets/tjjm-gyms-data-6.liquid
CA	Ralston Gracie Jiu Jitsu	San Francisco	http://www.ralstongracie.com		override blanks it	snippets/tjjm-gyms-data-6.liquid
CA	I M C Survival Center	San Jose	http://www.imcsurvivalcenter.com/		override blanks it	snippets/tjjm-gyms-data-6.liquid
CA	Knoxx Martial Arts and Fitness	San Jose	https://knoxxgym.com		override blanks it	snippets/tjjm-gyms-data-6.liquid
CA	GB Santa Ynez Valley	Solvang			no w key	snippets/tjjm-gyms-data-6.liquid
CA	Andre de Freitas Brazilian Jiu-Jitsu / BJJ Stockton CA 95210	Stockton	http://andredefreitasbjj.com/index.html		override blanks it	snippets/tjjm-gyms-data-6.liquid
CA	Ares BJJ Stockton	Stockton	http://www.aresbjjstockton.com		override blanks it	snippets/tjjm-gyms-data-6.liquid
CA	Shingu Fighter	Stockton	http://www.shingufighter.com/		override blanks it	snippets/tjjm-gyms-data-6.liquid
CA	Underground MMA and Amador gym and fitness	Sutter Creek			no w key	snippets/tjjm-gyms-data-6.liquid
CA	The Agoge	Twentynine Palms			no w key	snippets/tjjm-gyms-data-6.liquid
CA	Gracie Jiu-Jitsu Vallejo	Vallejo			no w key	snippets/tjjm-gyms-data-6.liquid
CA	Rock And Roll Fight Company	Ventura	https://rocknrollfightcompany.com/		override blanks it	snippets/tjjm-gyms-data-6.liquid
CA	Outlaw MMA & Fitness	Visalia	http://outlaw559gym.com/		override blanks it	snippets/tjjm-gyms-data-6.liquid
CA	Gracie Jiu-Jitsu Vista	Vista			no w key	snippets/tjjm-gyms-data-6.liquid
CA	ZR Brazilian Jiu-jitsu Thousand Oaks / BJJ Thousand Oaks CA 91362	Woodland Hills	http://zrwoodlandhills.com/index.html		override blanks it	snippets/tjjm-gyms-data-6.liquid
CA	BloodSpillerBJJ & Caveirinha Jiu Jitsu Academy	Yucaipa	http://www.cjjfsocal.com/		override blanks it	snippets/tjjm-gyms-data-6.liquid
CO	Genesis Training Academy	Arvada	http://www.fightgta.com		override blanks it	snippets/tjjm-gyms-data-3.liquid
