id	region	name	city	proposed_url
1	AL	Athens Jiu Jitsu	Athens	https://www.ajjathens.com
2	FL	Marcus Aurelio Jiu Jitsu Academy	Aventura	https://aureliobjj.com/
3	FL	GB Boca Raton	Boca Raton	https://gbbocaraton.com/
4	FL	Gracie Jiu-Jitsu Boca Raton	Boca Raton	https://graciejiujitsubocaraton.com/
6	FL	Xcell Jiu Jitsu	Boynton Beach	https://www.xcellbjj.com/
8	FL	Brazilian Jiu Jitsu Academy Cape Coral	Cape Coral	https://steve6139.wixsite.com/bjjacademy
14	FL	GB Crestview	Crestview	https://graciebarra.com/crestview-fl/
16	FL	GB Davie	Davie	https://gbdavie.com/
21	FL	Destin Academy of Mixed Martial Arts	Destin	https://www.destinmma.com/
22	FL	Renzo Gracie Fort Lauderdale	Fort Lauderdale	https://renzogracieftl.com/
25	FL	Gulf Breeze Jiu Jitsu	Gulf Breeze	https://gulfbreezebjj.com/
27	FL	GB Hialeah	Hialeah	https://graciebarrahialeah.com/
29	FL	Paladin MMA Academy	Hialeah	https://paladinmma.com/
35	FL	The Hidden Lotus	Kendale Lakes	https://www.zenroninmma.com/
36	FL	Alliance Jiu Jitsu	Key Biscayne	https://alliancejjkb.com/
38	FL	Combat Club Lake Worth	Lake Worth	https://www.combatclub.com/
39	FL	Gracie Jiu-Jitsu Largo	Largo	https://gracielargowest.com/
42	FL	Teknica MMA	Miami	https://teknicajj.com/
45	FL	Team Alpha Miami	Miami	https://alphamiamigrappling.com/
52	FL	Ocala Brazilian Jiu Jitsu Academy	Ocala	https://www.bjjocala.com/
56	FL	Alliance Jiu Jitsu Orlando	Orlando	https://www.brunomalfacine.com/academy/
58	FL	GB Palm Coast	Orlando	https://graciebarra.com/palm-coast-fl/
59	FL	Gracie Jiu-Jitsu Orlando	Orlando	https://gjjorlando.com/
65	FL	Fight Sports Daytona	Port Orange	https://www.cutlerbjj.com/
66	FL	Cogito Jiu Jitsu	Sanford	https://www.sanfordmartialarts.com/
69	FL	GB Saint Augustine	St. Augustine	https://graciebarra.com/saint-augustine-fl/
74	FL	GB Stuart	Stuart	https://graciebarra.com/stuart-fl/
77	FL	American Top Team – Vero Beach	Vero Beach	https://rtmartialartsvb.com/
80	FL	GB Melbourne	West Melbourne	https://graciebarra.com/melbourne-fl/
81	FL	GB West Palm Beach	West Palm Beach	https://graciebarrawestpalm.com/
85	NC	Ethos BJJ	Wilmington	https://ethosjitsu.com/
88	TX	Ironside Martial Arts	Bedford	https://doublefivemidcities.com/
