result	id	name	proposed_url	dns_status	better_url	note
PASS	1	Athens Jiu Jitsu	https://www.ajjathens.com	0 A=yes		Body names Athens Jiu Jitsu, 1659 S Jefferson St Athens AL 35613, with Jiu Jitsu and kids programs.
PASS_WITH_CAVEAT	2	Marcus Aurelio Jiu Jitsu Academy	https://aureliobjj.com/	0 A=yes		Site is real BJJ academy but describes itself as North Miami with map pin 1928 NE 154th St (North Miami Beach), not Aventura.
PASS_WITH_CAVEAT	3	GB Boca Raton	https://gbbocaraton.com/	0 A=yes		Address 1141 S Rogers Cir Boca Raton and phone confirm, but two body sections say Gracie Barra Boynton Beach (sibling-school template copy).
PASS	4	Gracie Jiu-Jitsu Boca Raton	https://graciejiujitsubocaraton.com/	0 A=yes		Certified Gracie training centre at 11401 West Palmetto Park Rd Boca Raton with full BJJ program list.
PASS	6	Xcell Jiu Jitsu	https://www.xcellbjj.com/	0 A=yes		Body confirms Xcell Jiu-Jitsu, 975 Gateway Blvd Boynton Beach FL 33426, kids and adult BJJ.
PASS_WITH_CAVEAT	8	Brazilian Jiu Jitsu Academy Cape Coral	https://steve6139.wixsite.com/bjjacademy	0 A=yes		Own site, 1423 SE 10th St Cape Coral, BJJ confirmed, but visibly stale (dead Google Plus link, Wix free subdomain, AdvoCare promo); no newer domain found.
PASS	14	GB Crestview	https://graciebarra.com/crestview-fl/	0 A=yes		Real location subpage: 751 N Ferdon Blvd Crestview FL 32536, phone 850-634-7248, GB1/GB2/GB3 classes.
PASS_WITH_CAVEAT	16	GB Davie	https://gbdavie.com/	0 A=yes		Body confirms a Brazilian Jiu Jitsu academy in Davie with kids and adult classes, but the words Gracie Barra appear only in logo images and the domain, not in readable text.
PASS_WITH_CAVEAT	21	Destin Academy of Mixed Martial Arts	https://www.destinmma.com/	0 A=yes	https://www.destinmma.com/About/about.html	Root redirects to graciejiujitsudestin.com which renders an empty JS-only body; the About subpath reads fine and shows Gracie Jiu-Jitsu Destin at 12273 Emerald Coast Pkwy, Miramar Beach FL 32550.
PASS	22	Renzo Gracie Fort Lauderdale	https://renzogracieftl.com/	0 A=yes		Body confirms Renzo Gracie Fort Lauderdale, 535 NE 13th St #1 Fort Lauderdale FL 33304, gi and no-gi BJJ.
PASS_WITH_CAVEAT	25	Gulf Breeze Jiu Jitsu	https://gulfbreezebjj.com/	0 A=yes		Same school and address (1626 Beechwood Dr, Gulf Breeze FL 32563) with a named BJJ program, but it now brands as Checkmat Gulf Breeze.
PASS	27	GB Hialeah	https://graciebarrahialeah.com/	0 A=yes		Gracie Barra Hialeah, 1001 W 49th St Suite 6 Hialeah FL 33012, kids/adult/women jiu-jitsu programs.
FAIL_BODY	29	Paladin MMA Academy	https://paladinmma.com/	0 A=yes		School and Hialeah address (2091 W 76th St) confirm, but every named class is MMA/personal training; Brazilian Jiu-Jitsu appears only in the meta description and keywords, never in body copy.
PASS_WITH_CAVEAT	35	The Hidden Lotus	https://www.zenroninmma.com/	0 A=yes		Page never says Hidden Lotus, but rename corroborated: same address 8530 SW 124th Ave Ste 201 and same phone 786-343-0332 as the Hidden Lotus listing; the school's own Instagram is Hidden Lotus MMA/Zen Jiu Jitsu.
PASS	36	Alliance Jiu Jitsu	https://alliancejjkb.com/	0 A=yes		Alliance Key Biscayne Jiu-Jitsu Academy, 971 Crandon Blvd Unit 927-929 Key Biscayne FL 33149, adult/kids jiu jitsu.
PASS_WITH_CAVEAT	38	Combat Club Lake Worth	https://www.combatclub.com/	0 A=yes		Named Submission Grappling (No-Gi BJJ) program confirmed, but the listed address is 6240 S Congress Ave Suite G1, Lantana FL 33462, not Lake Worth.
PASS_WITH_CAVEAT	39	Gracie Jiu-Jitsu Largo	https://gracielargowest.com/	0 A=yes		This is the West branch at 12662 Starkey Rd Largo FL 33773; graciejiujitsulargo.com now redirects here and the East branch at 5047 Ulmerton Rd Clearwater is listed as closed.
PASS_WITH_CAVEAT	42	Teknica MMA	https://teknicajj.com/	0 A=yes		Teknica Jiu Jitsu with gi and no-gi classes, but the address is 11829 S Dixie Hwy 2nd floor, Pinecrest FL 33156, not Miami proper.
PASS	45	Team Alpha Miami	https://alphamiamigrappling.com/	0 A=yes		Alpha Miami Grappling, 850 SW 69th Ave Miami FL 33144, named Submission Grappling and Wrestling programs.
PASS	52	Ocala Brazilian Jiu Jitsu Academy	https://www.bjjocala.com/	0 A=yes		Ocala BJJ, 7365 SW 38th St #203 Ocala FL 34474, fundamentals/advanced/kids jiu jitsu classes.
PASS_WITH_CAVEAT	56	Alliance Jiu Jitsu Orlando	https://www.brunomalfacine.com/academy/	0 A=yes	https://brunomalfacine.com/	The /academy path just redirects to the site root; the root confirms Alliance Jiu Jitsu Orlando / Bruno Malfacine at 3029 Edgewater Dr Orlando FL 32804.
PASS_WITH_CAVEAT	58	GB Palm Coast	https://graciebarra.com/palm-coast-fl/	0 A=yes		Live location subpage with full GB class list, but the school is at 160 Cypress Point Pkwy Palm Coast FL 32164 - the city field in the source row says Orlando, which is wrong.
PASS	59	Gracie Jiu-Jitsu Orlando	https://gjjorlando.com/	0 A=yes		Body states Certified Gracie Jiu-Jitsu Training Center in East Orlando teaching the Gracie University curriculum; page is sparse and lists no street address.
PASS_WITH_CAVEAT	65	Fight Sports Daytona	https://www.cutlerbjj.com/	0 A=yes		Site brands as Todd Cutler Martial Arts (logo alt Fight Sports Club, Todd Cutler is a Cyborg Abreu black belt) at 2841 S Nova Rd Ste 9, South Daytona FL 32119, adjacent to Port Orange.
PASS	66	Cogito Jiu Jitsu	https://www.sanfordmartialarts.com/	0 A=yes		Cogito Jiu-Jitsu, 2499 Old Lake Mary Rd STE 106 Sanford FL 32771, Brazilian Jiu-Jitsu and Muay Thai programs.
PASS	69	GB Saint Augustine	https://graciebarra.com/saint-augustine-fl/	0 A=yes		Real location subpage: 3501 N Ponce De Leon Blvd #K, St. Augustine FL 32084, phone 904-815-2734, GB class list.
PASS	74	GB Stuart	https://graciebarra.com/stuart-fl/	0 A=yes		Real location subpage: 2250 SE Federal Hwy Stuart FL 34994, phone 772-600-7857, GB class list and local news post.
