verdict	id	region	name	city	url	action	evidence	source_url
CONFIRMED	2	FL	Marcus Aurelio Jiu Jitsu Academy	Aventura	https://aureliobjj.com/	SET_OVERRIDE	Body is Marcus Aurelio BJJ Academy with kids and adult BJJ programs and a map pin at 1928 NE 154th St, but it calls itself North Miami rather than Aventura; stored maximusmartialarts.com is NXDOMAIN	https://aureliobjj.com/
CONFIRMED	8	FL	Brazilian Jiu Jitsu Academy Cape Coral	Cape Coral	https://steve6139.wixsite.com/bjjacademy	SET_OVERRIDE	Body headline reads Brazilian Jiu Jitsu Academy Cape Coral and lists address 1423 SE 10TH ST UNITS 2 & 3 Cape Coral FL 33990 with BJJ, MMA and boxing programs	https://steve6139.wixsite.com/bjjacademy
CONFIRMED	14	FL	GB Crestview	Crestview	https://graciebarra.com/crestview-fl/	SET_OVERRIDE	Body shows GB Crestview at 751 N Ferdon Blvd Unit 763-775D Crestview FL 32536 with GBK, GB1 and GB2 jiu-jitsu class listings and school hours	https://graciebarra.com/crestview-fl/
NEEDS_BROWSER	20	FL	Carlson Gracie Manny Soares	Delray Beach		NEEDS_BROWSER	Stored mannysoaresbjj.com is NXDOMAIN; candidate southfljiujitsu.com resolves to 74.220.199.6 but returned an empty body on both the home page and the about page so no content could be read	https://www.southfljiujitsu.com/
DEAD	26	FL	Gracie Barra Hallandale Beach	Hallandale Beach		KEEP_BLANK	Stored gbhallandale.com returns NXDOMAIN from the .com gTLD servers, the gbhallandalebeach.com domain named by search results is also NXDOMAIN, and no graciebarra.com Hallandale location page could be found	https://dns.google/resolve?name=gbhallandale.com&type=A
DEAD	32	FL	Agogi Academy of Combatives	Inverness		KEEP_BLANK	agogiac.com returns NXDOMAIN for A, NS and SOA from the .com gTLD servers so the domain is deleted; the Pedro Sauer page body that web_fetch returned was a cached copy, not a live site	https://dns.google/resolve?name=agogiac.com&type=NS
CONFIRMED	38	FL	Combat Club Lake Worth	Lake Worth	https://www.combatclub.com/	SET_OVERRIDE	Body reads About Combat Club and lists submission grappling no-gi BJJ, wrestling and MMA programs at 6240 S Congress Ave Suite G1 Lantana FL 33462; stored combatclublakeworth.com is NXDOMAIN	https://www.combatclub.com/
WRONG_ENTITY	44	FL	Miami Jiu Jitsu	Miami		KEEP_BLANK	miamijiujitsu.com redirects to startjiujitsu.com whose body is START Jiu Jitsu Academy at 12335 Pembroke Rd Pembroke Pines FL 33025, a different business in a different city	https://miamijiujitsu.com/
DEAD	50	FL	Gracie Jiu-Jitsu North Palm Beach	North Palm Beach		KEEP_BLANK	The only candidate site, graciejiujitsunorthpalmbeach.com, which two separate search result sets cited as the official website, returns NXDOMAIN from the .com gTLD servers	https://dns.google/resolve?name=graciejiujitsunorthpalmbeach.com&type=A
CONFIRMED	56	FL	Alliance Jiu Jitsu Orlando	Orlando	https://www.brunomalfacine.com/academy/	SET_OVERRIDE	Body reads Alliance Jiu Jitsu Bruno Malfacine located in historic College Park Orlando Florida offering five BJJ classes a day; stored alliancejiujitsuorlando.com is NXDOMAIN	https://www.brunomalfacine.com/academy/
WRONG_ENTITY	62	FL	Team Remedy	Pensacola		KEEP_BLANK	Team Remedy BJJ live site miltonflbjj.com footer lists exactly two locations, Pace FL and 6333 Old Bagdad Hwy Milton FL, with no Pensacola address anywhere in the body; stored teamremedymma.com is NXDOMAIN	https://miltonflbjj.com/
NEEDS_BROWSER	68	FL	GB Sebring	Sebring		NEEDS_BROWSER	graciebarra.com/sebring-fl/ returns an empty body and its contact-us path redirects to the national GB contact page, indicating the subsite is gone; gbsebring.com resolves to AWS addresses but returns an empty body	https://gbsebring.com/
CONFIRMED	74	FL	GB Stuart	Stuart	https://graciebarra.com/stuart-fl/	SET_OVERRIDE	Body shows GB Stuart at 2250 SE Federal Hwy Stuart FL 34994 with GBK, GB1 and GB2 jiu-jitsu class listings and school hours	https://graciebarra.com/stuart-fl/
CONFIRMED	80	FL	GB Melbourne	West Melbourne	https://graciebarra.com/melbourne-fl/	SET_OVERRIDE	Body shows GB Melbourne at 1131 South Wickham Road West Melbourne Florida 32904 with GBK, GB1 and GB2 jiu-jitsu class listings	https://graciebarra.com/melbourne-fl/
NEEDS_BROWSER	86	NL	Labrador City BJJ	Labrador City		NEEDS_BROWSER	Stored novauniao.ca is NXDOMAIN at the .ca registry; successor novauniaocanada.com resolves via Wix but the /lab-city page returns an empty body so no content could be read	https://www.novauniaocanada.com/lab-city
