verdict	id	region	name	city	url	action	evidence	source_url
CONFIRMED	1	AL	Athens Jiu Jitsu	Athens	https://www.ajjathens.com	SET_OVERRIDE	Body footer gives 1659 S Jefferson St Ste 5, Athens, AL 35613 with Jiu Jitsu and Muay Thai program pages and a class schedule	https://ajjathens.com/
CONFIRMED	2	FL	Marcus Aurelio Jiu Jitsu Academy	Aventura	https://aureliobjj.com/	SET_OVERRIDE	Body is Marcus Aurelio BJJ Academy with kids and adult BJJ programs and a map pin at 1928 NE 154th St, but it calls itself North Miami rather than Aventura; stored maximusmartialarts.com is NXDOMAIN	https://aureliobjj.com/
CONFIRMED	3	FL	GB Boca Raton	Boca Raton	https://gbbocaraton.com/	SET_OVERRIDE	"Body carries Gracie Barra branding with kids/women/adults BJJ programs and contact block ""1141 S Rogers Cir Suite 1, Boca Raton, FL 33487""; DNS A 195.179.239.15. Stored braziliantopteamflorida.com is alive but 301s to Brazilian Top Team Boca Raton, a different academy."	https://gbbocaraton.com/
CONFIRMED	4	FL	Gracie Jiu-Jitsu Boca Raton	Boca Raton	https://graciejiujitsubocaraton.com/	SET_OVERRIDE	"Body footer reads ""11401 West Palmetto Park Road, Boca Raton, FL 33428"" with Gracie Combatives and Master Cycle BJJ program pages; DNS A record 138.68.15.202 (Status 0)."	https://graciejiujitsubocaraton.com/
UNRESOLVED	5	FL	R2F Boxing & MMA Fitness Studio	Boca Raton		KEEP_BLANK	Both domains the studio's own blog advertises (r2fboxing.com, r2frocks.com) return DNS Status 3 NXDOMAIN; the only live presence is r2fboxing.blogspot.com, a nutrition blog whose newest post is Feb 2014 and which contains no class schedule or grappling content	https://r2fboxing.blogspot.com/
CONFIRMED	6	FL	Xcell Jiu Jitsu	Boynton Beach	https://www.xcellbjj.com/	SET_OVERRIDE	"Stored xcelljiujitsu.com is NXDOMAIN; live xcellbjj.com about page reads ""XCell Jiu Jitsu was founded in 2016"" under 5th-degree BJJ black belt Jorge Santiago in Boynton Beach."	https://www.xcellbjj.com/about
NEEDS_BROWSER	7	FL	Champion Mma of Bradenton	Bradenton		NEEDS_BROWSER	No website found for this gym; only candidate is a Facebook page for CHAMPIONS MMA BRADENTON, which web_fetch cannot render	https://www.facebook.com/p/CHAMPIONS-MMA-BRADENTON-100057168082220/
CONFIRMED	8	FL	Brazilian Jiu Jitsu Academy Cape Coral	Cape Coral	https://steve6139.wixsite.com/bjjacademy	SET_OVERRIDE	Body headline reads Brazilian Jiu Jitsu Academy Cape Coral and lists address 1423 SE 10TH ST UNITS 2 & 3 Cape Coral FL 33990 with BJJ, MMA and boxing programs	https://steve6139.wixsite.com/bjjacademy
DEAD	9	FL	Cali Style MMA	Cape Coral		KEEP_BLANK	Both calistylemma.com and www.calistylemma.com return DNS Status 3 (NXDOMAIN) with SOA from the .com zone, even though two separate search summaries still assert the site is live.	https://dns.google/resolve?name=calistylemma.com&type=A
UNRESOLVED	10	FL	Mata Leao BJJ/MMA Academy	Casselberry		KEEP_BLANK	No official domain surfaced in repeated searches; only a Facebook page and Instagram account exist, neither renderable by web_fetch, and directory listings indicate the Casselberry location is closed (not independently verified by a page I fetched).	
NEEDS_BROWSER	11	FL	Grady's Family Mixed Martial Arts	Clearwater		NEEDS_BROWSER	Stored gradysmma.com returns DNS Status 3 NXDOMAIN despite still appearing in search results with a live-looking title; the only remaining candidate is facebook.com/gradysmma which web_fetch cannot render	https://dns.google/resolve?name=gradysmma.com&type=A
DEAD	12	FL	Refit Academy - Coral Gables	Coral Gables		KEEP_BLANK	Stored refitacademycoralgables.com is NXDOMAIN and operator Andre Gusmao's live site lists only 1657 N Miami Ave Miami (the former Refit Wynwood site) with no Coral Gables location.	https://andregusmaoacademy.com/
NEEDS_BROWSER	13	FL	Real World M.M.A. Training Center	Coral Springs		NEEDS_BROWSER	The only website ever advertised for this gym, realworldmma.com, returns NXDOMAIN from Google DoH; the remaining candidate is a Facebook page web_fetch cannot render	https://dns.google/resolve?name=realworldmma.com&type=A
CONFIRMED	14	FL	GB Crestview	Crestview	https://graciebarra.com/crestview-fl/	SET_OVERRIDE	Body shows GB Crestview at 751 N Ferdon Blvd Unit 763-775D Crestview FL 32536 with GBK, GB1 and GB2 jiu-jitsu class listings and school hours	https://graciebarra.com/crestview-fl/
DEAD	15	FL	Marcelo Meleiro BJJ – Nova Uniao South Florida	Dania Beach		KEEP_BLANK	novauniaosouthflorida.com returns DNS Status 3 (NXDOMAIN); the only live successor read, 305grappling.com, names Marcelo Meleiro but is located at 10 NW 32nd St Miami FL 33127, not Dania Beach.	https://dns.google/resolve?name=novauniaosouthflorida.com&type=A
CONFIRMED	16	FL	GB Davie	Davie	https://gbdavie.com/	SET_OVERRIDE	"Body reads ""Discover the Premium Brazilian Jiu Jitsu Experience in Davie"" and ""We are serving the Davie, Cooper City, Plantation, Dania Beach and Hollywood communities""; DNS A record 198.187.31.83 (Status 0)."	https://gbdavie.com/
UNRESOLVED	17	FL	Complete MMA Fitness	DeBary		KEEP_BLANK	No website of any kind surfaced for this school across four search formulations; only aggregator entries (matmade) at 961 Diplomat Dr, an address shared with unrelated gyms Force2Reckon Fitness and Black Lightning Martial Arts	
DEAD	18	FL	West Volusia Academy Of Mixed Martial Arts	DeLand		KEEP_BLANK	Stored theacademyofmma.com is NXDOMAIN and the alternate westvolusiamma.com is also NXDOMAIN; note this same dead domain also backs id 54 in Orange City, so one of the pair is a stale duplicate.	https://dns.google/resolve?name=westvolusiamma.com&type=A
NEEDS_BROWSER	19	FL	Burns Bros Jiu Jitsu	Deerfield Beach		NEEDS_BROWSER	Stored burnsbrosjiujitsu.com is NXDOMAIN; the readable page at burns-bjj.com describes the Burns brothers' system and a kids program at Sanford MMA with no Deerfield Beach location, so only a Facebook page remains unverified	https://www.burns-bjj.com/biography
NEEDS_BROWSER	20	FL	Carlson Gracie Manny Soares	Delray Beach		NEEDS_BROWSER	Stored mannysoaresbjj.com is NXDOMAIN; candidate southfljiujitsu.com resolves to 74.220.199.6 but returned an empty body on both the home page and the about page so no content could be read	https://www.southfljiujitsu.com/
CONFIRMED	21	FL	Destin Academy of Mixed Martial Arts	Destin	https://www.destinmma.com/	SET_OVERRIDE	"About page reads ""Since 2003, we've been dedicated to teaching Gracie Jiu-Jitsu and Thai Boxing"" with a 3rd Degree Gracie Jiu-Jitsu black belt instructor; DNS A 67.20.76.65. Discrepancy: the site's own address is Miramar Beach FL 32550 (adjacent to Destin), not Destin proper."	https://www.destinmma.com/About/about.html
CONFIRMED	22	FL	Renzo Gracie Fort Lauderdale	Fort Lauderdale	https://renzogracieftl.com/	SET_OVERRIDE	"About page body gives ""535 NE 13th St #1, Fort Lauderdale, FL 33304"" for Renzo Gracie Ft.Lauderdale BJJ; DNS A 160.153.0.61 (Status 0), while the stored renzogracieftlauderdale.com is NXDOMAIN (Status 3)."	https://renzogracieftl.com/about/
NEEDS_BROWSER	23	FL	Fight Zone MMA	Fort Myers		NEEDS_BROWSER	Stored fightzonefl.com returns DNS Status 3 NXDOMAIN; no replacement domain exists and the only candidate is facebook.com/fightzonechamps which web_fetch cannot render	https://dns.google/resolve?name=fightzonefl.com&type=A
NEEDS_BROWSER	24	FL	Gainesville BJJ Florida	Gainesville		NEEDS_BROWSER	Stored gainesvillebjjfl.com is NXDOMAIN and two distinct live Gainesville academies exist (bjjgainesville.com = Marcelo Garcia Association, jiujitsugainesville.com = BJJ Gainesville); the latter returns an empty JS-rendered body I could not read, so I cannot tell which record this is.	https://www.jiujitsugainesville.com/
CONFIRMED	25	FL	Gulf Breeze Jiu Jitsu	Gulf Breeze	https://gulfbreezebjj.com/	SET_OVERRIDE	Body reads GULF BREEZE BRAZILIAN JIU JITSU with a Brazilian Jiu-Jitsu program and the address 1626 Beechwood Dr, Gulf Breeze, FL 32563	https://gulfbreezebjj.com/
DEAD	26	FL	Gracie Barra Hallandale Beach	Hallandale Beach		KEEP_BLANK	Stored gbhallandale.com returns NXDOMAIN from the .com gTLD servers, the gbhallandalebeach.com domain named by search results is also NXDOMAIN, and no graciebarra.com Hallandale location page could be found	https://dns.google/resolve?name=gbhallandale.com&type=A
CONFIRMED	27	FL	GB Hialeah	Hialeah	https://graciebarrahialeah.com/	SET_OVERRIDE	"Body has a ""GB HIALEAH PROGRAMS"" section with kids/adults/women's jiu-jitsu and contact ""Address: 1001 W 49th St Suite #6, Hialeah, FL 33012""; DNS A 145.14.146.97."	https://graciebarrahialeah.com/
NEEDS_BROWSER	28	FL	Gladiator Sports Fitness MMA	Hialeah		NEEDS_BROWSER	No website domain surfaced in searches; the only first-party presence found is facebook.com/gladiatorsportsfitnessmma, which web_fetch cannot render.	
CONFIRMED	29	FL	Paladin MMA Academy	Hialeah	https://paladinmma.com/	SET_OVERRIDE	Homepage body is Paladin MMA Academy's own copy naming instructor Jorge, a kids MMA program with after-school van pickup, a women-only program and a weekly class grid; caveat: that grid lists only MMA classes and grappling/ground fighting appears only as a described component of MMA, and no address is printed on the page I read	https://paladinmma.com/
NEEDS_BROWSER	30	FL	Round 5 MMA and Jiu-Jitsu	Hialeah		NEEDS_BROWSER	Record never had a URL; round5mma.com resolves but returns a completely empty body via web_fetch, and the only other presences are Facebook and Instagram which web_fetch cannot render.	https://round5mma.com/
UNRESOLVED	31	FL	BLTeam Brazilian Jiu-Jitsu and Muay Thai Academy	Indian Harbour Beach		FLAG	Stored blteam1.com is NXDOMAIN and no website, Facebook page or other live page for this Indian Harbour Beach academy could be located; only an aggregator listing exists	https://dns.google/resolve?name=blteam1.com&type=A
DEAD	32	FL	Agogi Academy of Combatives	Inverness		KEEP_BLANK	agogiac.com returns NXDOMAIN for A, NS and SOA from the .com gTLD servers so the domain is deleted; the Pedro Sauer page body that web_fetch returned was a cached copy, not a live site	https://dns.google/resolve?name=agogiac.com&type=NS
DEAD	33	FL	Alpha Dogs Martial Arts	Jacksonville		KEEP_BLANK	Both alphadogsmartialarts.com and www.alphadogsmartialarts.com return DNS Status 3 (NXDOMAIN) from the .com zone; aggregator listings still quote the domain but it does not resolve.	https://dns.google/resolve?name=alphadogsmartialarts.com&type=A
NEEDS_BROWSER	34	FL	Armory Training Center	Jupiter		NEEDS_BROWSER	"The only domain any source cites, thearmory.tv, is NXDOMAIN (DNS Status 3); the WellnessLiving page is an unclaimed third-party listing showing placeholder ""Service Name""/""Instructor Name"" rows and ""Online booking not available yet"", leaving Instagram @teamarmory as the sole first-party candidate."	https://www.wellnessliving.com/explore/locations/personal-training/us-fl-jupiter/armorytrainingcenter/
CONFIRMED	35	FL	The Hidden Lotus	Kendale Lakes	https://www.zenroninmma.com/	SET_OVERRIDE	Site's contact block reads 8530 SW 124th Ave Ste 201, Miami 33183 with phone 786-343-0332, matching The Hidden Lotus's address and phone exactly, and lists kids jiu jitsu and grappling; school now trades as Zen Ronin under Alex Caceres and Enrico Cocco, and the site says Kendall/Miami rather than Kendale Lakes though the ZIP 33183 is identical	https://zenroninmma.com/
CONFIRMED	36	FL	Alliance Jiu Jitsu	Key Biscayne	https://alliancejjkb.com/	SET_OVERRIDE	"Stored alliancekb.com is NXDOMAIN; live alliancejjkb.com homepage reads ""Welcome to Alliance Key Biscayne Jiu-Jitsu Academy"" at 971 Crandon Blvd, Key Biscayne, FL 33149 with Adult and Kids Jiu Jitsu programs."	https://alliancejjkb.com/
NEEDS_BROWSER	37	FL	Hardkore MMA & Jiu-Jitsu	Lake City		NEEDS_BROWSER	hardkoremma.com returns NXDOMAIN; the only remaining candidate is the HardKore MMA Facebook page, which web_fetch cannot render	https://dns.google/resolve?name=hardkoremma.com&type=A
CONFIRMED	38	FL	Combat Club Lake Worth	Lake Worth	https://www.combatclub.com/	SET_OVERRIDE	Body reads About Combat Club and lists submission grappling no-gi BJJ, wrestling and MMA programs at 6240 S Congress Ave Suite G1 Lantana FL 33462; stored combatclublakeworth.com is NXDOMAIN	https://www.combatclub.com/
