name	region	url	original_note	source
10th Planet Boca Raton	FL	https://10thplanetboca.com/	Brazilian Jiu-Jitsu Boca Raton, live site	verdict-suspect.tsv
10th Planet Corvallis	OR	https://www.facebook.com/10PCorvallis/	195 SE Crystal Lake Dr, Corvallis OR	verdict-suspect.tsv
13 Jiu Jitsu	KY	https://www.facebook.com/13JiuJitsu	105 Samson St, Glasgow KY	verdict-suspect.tsv
360 Defense Martial Arts Colchester CT	CT	https://www.facebook.com/ABDColchesterCT/	52 Mill St, Colchester CT; BJJ taught	verdict-suspect.tsv
719 Fight Team MMA	CO	https://www.facebook.com/719FightTeamMma/	2551 Airport Rd, Colorado Springs; MMA, BJJ, Greco	verdict-suspect.tsv
10th Planet Sedalia MO	MO	https://www.facebook.com/p/10th-Planet-Jiu-Jitsu-Sedalia-100027128487044/	510 S Ohio Ave, Sedalia MO 65301	verdict-suspect.tsv
Alex Daltro Jiu-Jitsu	GA	https://www.facebook.com/Alexdaltrojiujitsu-104683961825611	1342 Auburn Rd, Dacula GA 30019	verdict-suspect.tsv
American Top Team Happy Valley	PA	https://atthappyvalleypa.com/	Pleasant Gap PA MMA gym, BJJ coaching staff	verdict-suspect.tsv
Averitt Jiu Jitsu	AZ	https://averittjiujitsu.com/	1510 S Riordan Ranch St, Flagstaff AZ	verdict-suspect.tsv
Bad Company Jiu-Jitsu	PA	https://www.badcompanybjj.com/	24 Forrest Street, Wilkes-Barre PA	verdict-suspect.tsv
Black Diamond Brazilian Jiu-Jitsu	NV	https://blackdiamondbjj.com/schedule	Live Reno NV BJJ site; /schedule subpage 404s	verdict-suspect.tsv
Combat Sport and Fitness	NV	https://m.facebook.com/combatsportandfitnessreno	542 Greenbrae, Sparks NV; MMA/BJJ/wrestling gym	verdict-suspect-2.tsv
Criterion Jiu Jitsu	LA	https://www.facebook.com/people/Criterion-Jiu-Jitsu/100064091672810/	40017 LA-42, Prairieville LA; BJJ	verdict-suspect-2.tsv
CrowesNest BJJ	MI	https://www.facebook.com/CRowesNestBJJ/	67964 Myrtle Rd, White Pigeon MI; BJJ academy	verdict-suspect-2.tsv
Cultr Fight Club	NJ	https://www.cultrfightclub.com/brazilianjiujitsu	Jersey City BJJ gym; deep link 404s, site live	verdict-suspect-2.tsv
DE LA O Jiu-Jitsu	CA	https://www.facebook.com/p/De-La-O-Jiu-Jitsu-Training-Center-Stanton-CA-100067935109362/	8381 Katella Ave, Stanton CA; jiu jitsu	verdict-suspect-2.tsv
Decatur Brazilian Jiu Jitsu	IL	https://www.facebook.com/DecaturBJJ/	133 E Barnett Ave, Forsyth IL; BJJ club	verdict-suspect-2.tsv
Denver Jiu Jitsu - Rodrigo Salazar Team	CO	https://www.denverjiujitsu.com	6750 E Chenango Ave, Denver; real BJJ site, no spam	verdict-suspect-2.tsv
Different Breed MMA	TX	https://www.facebook.com/differentbreedmma/	313 Paris Ave, Lubbock TX; BJJ, Muay Thai, MMA	verdict-suspect-2.tsv
East West Karate and BJJ Somerset	KY	https://www.facebook.com/eastwestmartialarts/	East West Martial Arts Somerset; karate and BJJ	verdict-suspect-2.tsv
Edge MMA and Fitness	CO	https://www.facebook.com/teamedgemma	5305 E Colfax Ave, Denver CO; grappling	verdict-suspect-2.tsv
El Dorado Martial Arts	AR	https://www.facebook.com/people/El-Dorado-Martial-Arts/100092167328803/	1920 North College, El Dorado AR; BJJ	verdict-suspect-2.tsv
El Paso Jiujitsu / Jiu-Jitsu El Paso TX 79936	TX	https://www.facebook.com/elpaso.jiujitsu/	Alliance Jiu Jitsu El Paso, 11385 James Watt Dr	verdict-suspect-2.tsv
Elite Martial Arts Center	PA	https://www.facebook.com/EliteFamilyMA/	Waynesboro PA, jiu-jitsu; FB flags Permanently Closed	verdict-suspect-2.tsv
Elkhorn BJJ	NE	https://www.elkhornbjj.com	3203 N 204th St, Elkhorn NE; BJJ and judo	verdict-suspect-2.tsv
Endure Cross- Training	TX	https://www.facebook.com/pages/category/Martial-Arts-School/Endure-Cross-Training-102074864972461/	1647 N Frazier St, Conroe TX; martial arts school	verdict-suspect-2.tsv
Ethos Martial Arts	AZ	https://ethosmartialartsaz.com/about-us/	Queen Creek AZ BJJ; about-us 404s, homepage live	verdict-suspect-2.tsv
Evolution Jiu Jitsu Burlington	WI	https://facebook.com/EvolutionBJJ.Burlington	Underground, Burlington WI; Brazilian Jiu Jitsu	verdict-suspect-2.tsv
Evolution X Martial Arts and Fitness	GA	https://evolutionxma.com/try-a-drop-in-class/	East Cobb/Marietta GA BJJ; deep link 404s	verdict-suspect-2.tsv
F-5 Grappling	OK	https://www.facebook.com/f5grappling/	660 W SW 59th St, Mustang OK; wrestling	verdict-suspect-2.tsv
Fight Sports Charlotte	NC	https://fightsportscharlotte.com	Charlotte NC; Brazilian Jiu Jitsu school	verdict-suspect-2.tsv
Finishers Jiu Jitsu	OH	https://business.facebook.com/10thplanetmasury/	847 Brookfield Ave, Masury OH; 10th Planet jiu-jitsu	verdict-suspect-2.tsv
Flawless Victory MMA	CA	https://www.facebook.com/FlawlessVictoryMma/	737 W Ridgecrest Blvd, Ridgecrest CA; BJJ, grappling	verdict-suspect-2.tsv
Flood City JiuJitsu	PA	https://www.facebook.com/Flood-City-Jiu-Jitsu-102267197991568/	445 Schoolhouse Rd, Johnstown PA; jiu jitsu	verdict-suspect-2.tsv
Foley's Martial Arts	NL	https://foleysmartialarts.com	Newfoundland Canada; thin one-page site, Gracie Jiu Jitsu	verdict-suspect-2.tsv
GB Cedar Hill	TX	https://www.gbcedarhill.com	329 N Hwy 67, Cedar Hill TX; Gracie Barra	verdict-suspect-2.tsv
GB Lake Charles	LA	https://gblakecharles.com/	Gracie Barra Lake Charles LA; BJJ programs	verdict-suspect-2.tsv
GB Northridge	CA	https://www.gbnorthridge.com/	19520 Nordhoff St, Northridge CA; Gracie Barra	verdict-suspect-2.tsv
Gladiator Sports Fitness MMA	FL	https://www.facebook.com/gladiatorsportsfitnessmma/	224 W 29 St, Hialeah FL; judo and MMA	verdict-suspect-2.tsv
Glory Martial Arts and Fitness	NC	https://www.facebook.com/spencerthekingfisher/	58 Sunrise Park, Sylva NC; jiu-jitsu taught	verdict-suspect-2.tsv
Go Hard MMA & Fitness	OR	https://www.facebook.com/Gohardmmafitness/	10534 NE Sandy Blvd, Portland OR; jiu-jitsu	verdict-suspect-2.tsv
Golden Eagle Judo & Jiu-Jitsu	NJ	https://www.facebook.com/Goldeneaglejudo/	313 1st Ave, Elizabeth NJ; judo and jiu-jitsu	verdict-suspect-2.tsv
Gracie Barra Calgary	AB	https://graciebarracalgary.ca	Gracie Barra Calgary; BJJ programs, site renders fine	verdict-suspect-2.tsv
Grady's Family Mixed Martial Arts	FL	https://www.facebook.com/gradysmma/	Clearwater FL 33764; submission grappling listed	verdict-suspect-3.tsv
Gulf Coast Jujutsu	AL	https://www.facebook.com/Gulf-Coast-Jujutsu-184652755613880/	7369 Alamo Circle, Gulf Shores AL 36542	verdict-suspect-3.tsv
Helix Brazilian Jiu-Jitsu	GA	https://www.facebook.com/helixbjj/	2073 Westside Ct Ste A, Snellville GA 30078	verdict-suspect-3.tsv
Ilimitadas Brazilian Jiu-Jitsu	OH	https://www.facebook.com/limitlessbjjmma/	500 E Main St, Trotwood OH (Dayton metro)	verdict-suspect-3.tsv
Impact Jiu Jitsu Keizer	OR	https://salemimpactjj.com/	Redirects to Courthouse Impact Jiu Jitsu; Keizer listed	verdict-suspect-3.tsv
Impact Jiu Jitsu Salem	OR	https://salemimpactjj.com/	Redirects to Courthouse Impact Jiu Jitsu; West Salem listed	verdict-suspect-3.tsv
Impact Jiu Jitsu at Crossfit Wilsonville	OR	https://www.crossfitwilsonville.com/jiu-jitsu-at-cfw	Given path 404s; live at /impact-jiu-jitsu, Wilsonville	verdict-suspect-3.tsv
