verdict	name	region	url	note	agrees_with_original
OK	10th Planet Boca Raton	FL	https://10thplanetboca.com/	Boca Raton FL, BJJ programs	YES
OK	10th Planet Corvallis	OR	https://www.facebook.com/10PCorvallis/	195 SE Crystal Lake Dr, Corvallis OR	YES
OK	13 Jiu Jitsu	KY	https://www.facebook.com/13JiuJitsu	105 Samson St, Glasgow KY 42141	YES
OK	360 Defense Martial Arts Colchester CT	CT	https://www.facebook.com/ABDColchesterCT/	52 Mill St, Colchester CT; BJJ	YES
OK	719 Fight Team MMA	CO	https://www.facebook.com/719FightTeamMma/	Colorado Springs; MMA, BJJ, Greco	YES
OK	10th Planet Sedalia MO	MO	https://www.facebook.com/p/10th-Planet-Jiu-Jitsu-Sedalia-100027128487044/	510 S Ohio Ave, Sedalia MO 65301	YES
OK	Alex Daltro Jiu-Jitsu	GA	https://www.facebook.com/Alexdaltrojiujitsu-104683961825611	1342 Auburn Rd, Dacula GA 30019	YES
OK	American Top Team Happy Valley	PA	https://atthappyvalleypa.com/	Happy Valley PA MMA gym, own site	YES
OK	Averitt Jiu Jitsu	AZ	https://averittjiujitsu.com/	Averitt BJJ own site, Flagstaff AZ	YES
OK	Bad Company Jiu-Jitsu	PA	https://www.badcompanybjj.com/	Gracie NEPA affiliate, Wilkes-Barre PA	YES
DEAD	Black Diamond Brazilian Jiu-Jitsu	NV	https://blackdiamondbjj.com/schedule	404 Page not found; homepage live, Reno NV	NO
OK	Combat Sport and Fitness	NV	https://m.facebook.com/combatsportandfitnessreno	542 Greenbrae, Sparks NV	YES
OK	Criterion Jiu Jitsu	LA	https://www.facebook.com/people/Criterion-Jiu-Jitsu/100064091672810/	40017 LA-42, Prairieville LA	YES
OK	CrowesNest BJJ	MI	https://www.facebook.com/CRowesNestBJJ/	67964 Myrtle Rd, White Pigeon MI	YES
DEAD	Cultr Fight Club	NJ	https://www.cultrfightclub.com/brazilianjiujitsu	404 page; main site live, Jersey City	NO
OK	DE LA O Jiu-Jitsu	CA	https://www.facebook.com/p/De-La-O-Jiu-Jitsu-Training-Center-Stanton-CA-100067935109362/	8381 Katella Ave, Stanton CA	YES
OK	Decatur Brazilian Jiu Jitsu	IL	https://www.facebook.com/DecaturBJJ/	133 E Barnett Ave, Forsyth IL	YES
OK	Denver Jiu Jitsu - Rodrigo Salazar Team	CO	https://www.denverjiujitsu.com	Rodrigo Salazar BJJ own site, Denver CO	YES
OK	Different Breed MMA	TX	https://www.facebook.com/differentbreedmma/	313 Paris Ave, Lubbock TX; BJJ	YES
OK	East West Karate and BJJ Somerset	KY	https://www.facebook.com/eastwestmartialarts/	Somerset KY; karate, jiu-jitsu, grappling	YES
OK	Edge MMA and Fitness	CO	https://www.facebook.com/teamedgemma	Denver CO; Colorado grappling and jiu-jitsu	YES
OK	El Dorado Martial Arts	AR	https://www.facebook.com/people/El-Dorado-Martial-Arts/100092167328803/	1920 North College, El Dorado AR 71730	YES
OK	El Paso Jiujitsu / Jiu-Jitsu El Paso TX 79936	TX	https://www.facebook.com/elpaso.jiujitsu/	11385 James Watt Dr, El Paso TX 79936	YES
DEAD	Elite Martial Arts Center	PA	https://www.facebook.com/EliteFamilyMA/	Page states school permanently closed, Waynesboro PA	NO
OK	Elkhorn BJJ	NE	https://www.elkhornbjj.com	3203 N 204th St, Elkhorn NE	YES
UNSURE	Endure Cross- Training	TX	https://www.facebook.com/pages/category/Martial-Arts-School/Endure-Cross-Training-102074864972461/	Conroe TX page; stub, no grappling content	NO
DEAD	Ethos Martial Arts	AZ	https://ethosmartialartsaz.com/about-us/	404 Netlify page not found; homepage separate	NO
OK	Evolution Jiu Jitsu Burlington	WI	https://facebook.com/EvolutionBJJ.Burlington	Underground, Burlington WI; BJJ	YES
DEAD	Evolution X Martial Arts and Fitness	GA	https://evolutionxma.com/try-a-drop-in-class/	EVX 404 page; homepage separate, Marietta GA	NO
OK	F-5 Grappling	OK	https://www.facebook.com/f5grappling/	Mustang OK; wrestling club	YES
OK	Fight Sports Charlotte	NC	https://fightsportscharlotte.com	Charlotte NC; Brazilian Jiu Jitsu school	YES
OK	Finishers Jiu Jitsu	OH	https://business.facebook.com/10thplanetmasury/	847 Brookfield Ave, Masury OH; 10th Planet	YES
OK	Flawless Victory MMA	CA	https://www.facebook.com/FlawlessVictoryMma/	737 W Ridgecrest Blvd, Ridgecrest CA	YES
OK	Flood City JiuJitsu	PA	https://www.facebook.com/Flood-City-Jiu-Jitsu-102267197991568/	Schoolhouse Rd, Johnstown PA 15904	YES
OK	Foley's Martial Arts	NL	https://foleysmartialarts.com	Newfoundland Canada; Gracie Jiu Jitsu BJJ	YES
OK	GB Cedar Hill	TX	https://www.gbcedarhill.com	Redirects graciebarra.com/cedar-hill-tx; Cedar Hill TX	YES
OK	GB Lake Charles	LA	https://gblakecharles.com/	Gracie Barra Lake Charles LA; BJJ	YES
OK	GB Northridge	CA	https://www.gbnorthridge.com/	19520 Nordhoff St, Northridge CA 91324	YES
OK	Gladiator Sports Fitness MMA	FL	https://www.facebook.com/gladiatorsportsfitnessmma/	224 W 29 St, Hialeah FL; judo, MMA	YES
OK	Glory Martial Arts and Fitness	NC	https://www.facebook.com/spencerthekingfisher/	58 Sunrise Park, Sylva NC; jiu-jitsu	YES
OK	Go Hard MMA & Fitness	OR	https://www.facebook.com/Gohardmmafitness/	Sandy Blvd, Portland OR; jiu-jitsu taught	YES
