orig_verdict	name	region	city	url	note	group
SUSPECT	Pressure Brazilian Jiu-Jitsu Academy	VA	Harrisonburg	https://m.facebook.com/pressurebjj17/about/	Facebook fetch returned blank body, needs browser	id13
SUSPECT	Quincy Brazilian JiuJitsu	CA	Quincy	https://www.facebook.com/p/Quincy-Brazilian-JiuJitsu-100057115883887/	Facebook fetch returned blank body, needs browser	id13
SUSPECT	RH Studios BJJ	PA	Philadelphia	https://www.instagram.com/rhstudios_bjj/	Instagram fetch returned blank body, needs browser	id13
SUSPECT	Real Fighters Gym, LLC	KY	Louisville	https://www.realfightersgym.com/	Striking only, no grappling on programs page	id13
SUSPECT	Renegade BJJ and MMA	CO	Greeley	https://www.facebook.com/Rbjjmma	Facebook fetch returned blank body, needs browser	id13
SUSPECT	Renegade Combat Sports Club	VA	Fredericksburg	https://www.renegadecombatsports.com/	Fetch returned completely empty body, needs browser	id13
SUSPECT	Renzo Gracie PEI Lot 36	PE	Charlottetown	https://www.facebook.com/p/Renzo-Gracie-PEI-Lot-36-100069410847003	Facebook fetch returned blank body, needs browser	id13
SUSPECT	Renzo Gracie Ramapo Valley	NJ	Mahwah	https://ramapovalleyjiujitsu.com/	Javascript redirect wall, no body returned	id13
SUSPECT	Resilience Brazilian Jiu-Jitsu Academy	CA	Visalia	https://www.facebook.com/resiliencebrazilianjiujitsu/	Facebook fetch returned blank body, needs browser	id13
SUSPECT	Revolution Modern Martial Arts	NC	Clayton	https://revolutionselfdefense.com/	Karate school, programs page lists no grappling	id13
SUSPECT	Rey Diogo Brazilian Jiu Jitsu	CA	Los Angeles	https://www.reydiogojiujitsu.com/	Fetch returned completely empty body, needs browser	id13
SUSPECT	Ric Centron Brazilian Jiu Jitsu Academy	AZ	Chandler	https://riccentronbjj.com/	Stub page only, rebranded Generational Grappling Club	id13
SUSPECT	Ringtime Fitness	CA	Santa Rosa	https://ringtimefitness.com/	Boxing gym only, no grappling programmes	id14
SUSPECT	Roanoke Judo & Jiu Jitsu Club	VA	Vinton	https://instagram.com/roanokejudoandjiujitsu	Instagram page not found, removed or renamed	id14
SUSPECT	Roanoke Jujutsu Club	VA	Salem	https://www.facebook.com/roanokejujutsu/	Facebook page unavailable, deleted or restricted	id14
SUSPECT	Rocket City MMA	AL	Huntsville	https://rocketcitymma.com/	Hijacked, redirects to Indonesian gambling site	id14
SUSPECT	Rodriguez Brazilian Jiu Jitsu	IL	Peru	https://drodriguezbjj.business.site/	Google business.site page returns 404	id14
SUSPECT	Rogue 22 BJJ	LA	Bossier City	https://bookeo.com/rogue22bjj	Bookeo booking page not found, dead	id14
SUSPECT	Rogue Jiu Jitsu Studio	TX	Grapevine	https://www.roguebjj.com	Wix domain disconnected, site no longer live	id14
SUSPECT	RuFFhouse MMA & Fitness	TX	Odessa	https://m.facebook.com/ruffhousemma/	Redirects to Endure Cross Training, no address	id14
SUSPECT	START Jiu Jitsu Academy	FL	Miramar	https://startjiujitsu.com/facilities-pembroke-pines/	URL 404s; root site Start Jiu Jitsu	id14
SUSPECT	San Pedro Fight Club/ Ribeiro Jiu-Jitsu San Pedro	CA	San Pedro	https://www.facebook.com/ribeirojjsanpedro/	Facebook page unavailable, deleted or restricted	id14
SUSPECT	Sardinha BJJ Cape Cod	MA	Dennis	https://www.sardinhabjjcapecod.com	Wix domain disconnected, site no longer live	id14
SUSPECT	School of Combative Arts	OH	Cincinnati	https://www.schoolcombativearts.com/schedule-a-class	Muay Thai, Silat, Kali only; no grappling	id14
SUSPECT	Sheridan Brazillian Jiu Jitsu	NJ	Vauxhall	https://www.sheridanbjj.com/home-adult-jiu-jitsu	Stored deep link 404s; homepage still exists	id14
NO_CITY	Silva BJJ Cajon CA (Aloisio Silva Associated Academy)	CA	El Cajon	https://silvabjjacademy.com/	Placeholder BJJ site, no address anywhere	id14
