verdict	name	region	city	url	note
WRONG_BUSINESS	Silva BJJ Lawndale CA (Aloisio Silva Affiliated Academy)	CA	Lawndale	https://www.facebook.com/SilvaArmy/	Page now Aloisio Silva BJJ, Lewisville TX
DEAD	South Prospect Martial Arts Gym	OH	Ravenna	https://southprospectgym.quest/	Redirects to platform "gym not found" page
OK	Southeast Jiu Jitsu	GA	Baxley	https://www.facebook.com/southeastjiujitsu/	51 NE Park Avenue, Baxley, GA 31513
OK	Southern Karate Jiu-Jitsu	LA	Covington	https://www.facebook.com/SouthernKarate/	330 Falconer Dr, Covington, LA 70433
OK	Southern Maryland Martial Arts & Fitness Bryans Road	MD	Bryans Road	https://smmafitness.com	Bryans Road MD; JTR Jigo Tenshin-Ryu Jujutsu program
OK	Southside Combat Academy	AZ	Flagstaff	https://www.facebook.com/wearesouthside/	2568 E 7th Ave, Flagstaff, AZ 86004
OK	Squared Brazilian Jiu-Jitsu Danielson, CT	CT	Danielson	https://www.facebook.com/Squaredbjjdanielsonct/	208 Providence Rd, Brooklyn CT (moved from Danielson)
STRIKING_ONLY	St. Matthews Martial Arts	KY	Louisville	https://www.gokempo.com/	Shaolin Kempo, Tai Chi only; 4160 Westport Rd
OK	Steamboat Springs BJJ	CO	Steamboat Springs	https://steamboatbjj.com	1955 Bridge Lane Suite 1500, Steamboat Springs
OK	Stock Martial Arts	MN	Rochester	https://www.stockmartialarts.com	Brazilian Jiu-Jitsu gym in Rochester, MN
UNSURE	Straight Blast Gym New Jersey	NJ	Montclair	https://www.sbgnj.com/	Never resolved to own host; unreadable after retries
OK	Strike And Submit Martial Arts And Fitness	TX	Killeen	https://sasmartialarts.net/	Killeen TX; kids and adult Brazilian Jiu-Jitsu
OK	Studio 334	LA	Rayne	https://www.facebook.com/studio334la/	Live Studio 334 page; 337 Louisiana phone number
STRIKING_ONLY	Success Martial Arts	AZ	Tucson	https://smatucson.com/	Tucson AZ; Korean traditional only, no grappling
OK	Summit Jiu Jitsu	BC	Revelstoke	https://www.summitjjrevelstoke.com	1240 Powerhouse Road Unit 3103, Revelstoke BC
PARKED	TK Martial Arts	AR	Lowell	https://www.tkmartialarts.com/	GoDaddy parking lander at /lander
DEAD	TMAC Tipton Martial Arts Club	TX	Azle	https://tonytiptontraining.wixsite.com/website	Empty Wix placeholder, subscribe form only
HIJACK	Tarpein's Dojo	IA	Davenport	https://tarpeinsdojo.com	Injected spam links euro-system-ai.org, forum.north-app.com
OK	Team Caique Jiu-Jitsu Alaska	AK	Palmer	https://cjjusaalaska.com/	Pioneer Grappling Academy, Matanuska Valley near Palmer AK
