verdict	name	region	city	url	note
OK	Team Chaotic Combat Sports and Fitness	CO	Colorado Springs	https://m.facebook.com/TeamChaoticCombatSports	Fountain / south Colorado Springs, CO
OK	Team Flow State	NB	Saint John	https://www.facebook.com/FlowstateJJ	8 Bayside Drive, Saint John, NB
OK	Team Fortitude NS	NS	Bridgewater	https://www.facebook.com/FortitudeJiujitsu	543 Glen Allen Drive, Bridgewater, NS
DEAD	Team Hopkins Jiu Jitsu Mobile	AL	Mobile	https://www.facebook.com/GracieJiuJitsuOfAlabama/	Facebook page deleted or unavailable
OK	Team Jucao Newark Brazilian Jiu Jitsu	NJ	Newark	https://www.facebook.com/teamjucaonewark/	Newark, NJ 07105
OK	Team Oyama MMA & Fitness	CA	Irvine	https://teamoyama.com/	16632 Hale Ave, Irvine CA; no-gi, wrestling
OK	Team Real USA	NY	Staten Island	https://teamrealusa.com/wp	Staten Island NY; MMA and jiu-jitsu
OK	Team Rubao Carioca BJJ	NC	Durham	https://www.facebook.com/teamrubao/	Own page; BJJ, MMA, Judo, Wrestling
OK	Team SFS - Scorpion Fighting System at Michigan Institute of Athletics	MI	Brighton	https://www.facebook.com/SFSMMA/	2244 Euler Rd, Brighton, MI 48114
HIJACK	Tennessee Brazilian Jiu-Jitsu Academy	TN	Spring Hill	https://www.tbjja.com	92 hidden German casino links injected on-domain
OK	Tensei Jiu-Jitsu	MN	Richfield	https://tenseibjj.com	Live BJJ academy site; gi and no-gi
OK	The Flow Lab Owatonna	MN	Owatonna	https://theflowlabowatonna.com	Owatonna, MN; BJJ and submission wrestling
WRONG_BUSINESS	The Hidden Lotus	FL	Kendale Lakes	https://www.zenroninmma.com/	Site is Zen Ronin MMA, 8530 SW 124th Ave Miami
DEAD	The Komodo Academy	AB	Grande Prairie	https://www.thekomodoacademy.com/	404 Page not found, www and non-www
OK	The Tap Room Grappling Group	NS	Middle Sackville	https://www.facebook.com/p/The-Tap-Room-Grappling-Group-61571256489758	55 Hanwell Dr, Middle Sackville, NS
OK	Titan Brazilian Jiu Jitsu	NC	Marion	https://www.facebook.com/p/Titan-Brazilian-Jiu-Jitsu-100049469036429/	29 Logan St., Marion, NC 28752
OK	Total MMA Studios	CA	Tustin	https://www.totalmmastudios.com/	Orange County, CA; Brazilian Jiu-Jitsu offered
DEAD	Tower 1 Combat Sports	NS	Dartmouth	https://www.tower1combatsports.com	Disconnected Wix domain, both host forms
OK	Tristar Gym Montreal	QC	Montreal	https://tristargym.com	Montreal MMA/BJJ gym, Firas Zahabi
